"","System","System.element","Type","Depth","Weight","LINES_OF_CODE","DUPLICATION","CODE_BREAKDOWN","CODE_BREAKDOWN.Rating","DEPLOYMENT_BREAKDOWN","DEPLOYMENT_BREAKDOWN.Rating","INTER_COMPONENT_DUPLICATION","INTER_COMPONENT_DUPLICATION.Rating","SHARED_CODE","SHARED_CODE.Rating","SHARED_DEPENDENCIES","SHARED_DEPENDENCIES.Rating","COMMUNICATION_CENTRALIZATION","COMMUNICATION_CENTRALIZATION.Rating","INTERFACE_CENTRALIZATION","INTERFACE_CENTRALIZATION.Rating","DATA_STORE_ENCAPSULATION","DATA_STORE_ENCAPSULATION.Rating","COMPONENT_COHESION","COMPONENT_COHESION.Rating","USAGE_COHESION","USAGE_COHESION.Rating","INCOMING_DEPENDENCIES","INCOMING_DEPENDENCIES.Rating","OUTGOING_DEPENDENCIES","OUTGOING_DEPENDENCIES.Rating","COMMUNICATION_COMPLEXITY","COMMUNICATION_COMPLEXITY.Rating","STATELESSNESS","STATELESSNESS.Rating","ASYNCHRONOUS_COMMUNICATION","ASYNCHRONOUS_COMMUNICATION.Rating","COMMUNICATION_BOTTLENECKS","COMMUNICATION_BOTTLENECKS.Rating","DATA_STORE_SCALABILITY","DATA_STORE_SCALABILITY.Rating","TECHNOLOGY_COHESION","TECHNOLOGY_COHESION.Rating","CBA.Rating","SOA.Rating","CLOUD_NATIVENESS.Rating","ARCHITECTURE_MAINTAINABILITY.Rating","ID","Parent.ID"
"1","opensource-dubbo","opensource-dubbo","SystemLevel","",77108,77108,13.9,4631,3.1,23668,3.3,10.1,4,18.7,4.9,4,5.1,46.9,1.5,NA,NA,1,4.1,0.7,4.1,NA,NA,1532,4.3,1533,2.9,0.1,2.2,65.1,0.5,NA,NA,NA,NA,NA,NA,1.5,2.3,3.4,3.9,0.5,2.6,"b668fc9a-7d7d-4f72-9a48-14cf315752a1","b668fc9a-7d7d-4f72-9a48-14cf315752a1"
"2","opensource-hystrix","opensource-hystrix","SystemLevel","",13794,13794,8.6,1398,5.2,13075,3.3,3.8,5.4,0,5.5,0,5.5,5.4,1.5,NA,NA,NA,NA,1,5.2,NA,NA,27,5.4,27,5.2,0,5.5,0,5.5,NA,NA,NA,NA,NA,NA,1.4,2.6,4.8,4.2,5.5,4.8,"7ec88851-ae1a-44dc-9589-a717fd5f8a11","7ec88851-ae1a-44dc-9589-a717fd5f8a11"
"3","opensource-elasticsearch","opensource-elasticsearch","SystemLevel","",332600,332600,6.6,2219,2.2,662414,0.6,3.6,5.2,100,0.5,16,3.8,92.8,0.9,NA,NA,8,3.4,0.9,4.4,NA,NA,1857,5.4,1861,5.4,0,5.5,0,5.5,NA,NA,100,0.6,3,NA,1,3.5,4.2,2.1,3,3.1,"6ccb261f-eca8-4f99-9905-8fe430cdda76","6ccb261f-eca8-4f99-9905-8fe430cdda76"
"4","opensource-opendaylight-controller","opensource-opendaylight-controller","SystemLevel","",101171,101171,8,597,4.5,995831,2.5,8.3,0.6,98.3,1.2,2006,2,94,2.5,NA,NA,NA,NA,0.9,2.8,NA,NA,214,5.4,214,5.4,0,5.5,0,5.5,NA,NA,97.5,3.4,NA,NA,0.2,4.2,4,2.5,4.4,3.6,"28b6cf52-8e96-4b4a-af70-57d17ef86346","28b6cf52-8e96-4b4a-af70-57d17ef86346"
"5","opensource-elasticsearch","DB","DataStore","",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,"4fca0fe6-64a4-45a4-ba1b-edbac917a4f3","4fca0fe6-64a4-45a4-ba1b-edbac917a4f3"
"6","opensource-openstack-keystone","opensource-openstack-keystone","SystemLevel","",34301,34301,7.2,21358,1.6,28787,2.4,2.1,5.4,NA,NA,NA,NA,29.2,4.4,94.5,4.4,3,3.5,0.3,1.5,1,5.5,476,4.3,489,3.3,0.2,2.1,0,5.5,NA,NA,NA,NA,1,NA,NA,NA,3.5,3.9,5.5,4.3,"a3e51b45-e02e-4192-9233-cfb8f0ac099b","a3e51b45-e02e-4192-9233-cfb8f0ac099b"
"7","opensource-openstack-neutron","opensource-openstack-neutron","SystemLevel","",71690,71690,3.6,26943,1.7,66832,2,1,5.3,NA,NA,NA,NA,24.7,3.8,NA,NA,6,3.5,0.4,2.3,NA,NA,674,3.9,679,3,0.2,2.1,0,5.5,NA,NA,NA,NA,1,NA,NA,NA,3.3,2,5.5,3.6,"e2e1a244-94c1-4e04-b9d6-e30184a7d260","e2e1a244-94c1-4e04-b9d6-e30184a7d260"
"8","opensource-openstack-cinder","opensource-openstack-cinder","SystemLevel","",126567,126567,13,24487,1.8,119718,1.5,6.8,4.9,NA,NA,NA,NA,50.4,4.4,NA,NA,15,3.3,0.8,3.1,NA,NA,210,4.4,216,2.7,0.1,2.5,100,0.5,NA,NA,NA,NA,1,NA,NA,NA,3.5,1.5,0.5,1.8,"7a9c3b5e-bb0b-49db-b261-94bd7bb215a6","7a9c3b5e-bb0b-49db-b261-94bd7bb215a6"
"9","opensource-openstack-glance","opensource-openstack-glance","SystemLevel","",30108,30108,11.7,12857,1.6,25726,2.4,6.2,4.7,NA,NA,NA,NA,30.5,3.4,NA,NA,28,3.1,0.5,1.8,NA,NA,125,5.2,144,2.7,0.1,2.2,0,5.5,NA,NA,NA,NA,1,NA,NA,NA,3.3,2.4,5.5,3.7,"a6fa984f-be19-44e4-83bf-0f7ea7f02d69","a6fa984f-be19-44e4-83bf-0f7ea7f02d69"
"10","opensource-openstack-nova","opensource-openstack-nova","SystemLevel","",113477,113477,5.4,55872,1.4,103073,1.7,1.5,4.5,NA,NA,NA,NA,25.6,3.9,NA,NA,4,3.8,0.5,2.3,NA,NA,521,3.3,524,2.8,0.1,2.3,0,5.5,NA,NA,NA,NA,1,NA,NA,NA,3.1,1.7,5.5,3.4,"4b85d4d7-9d5a-4f60-a49e-6c2a3f67d6d7","4b85d4d7-9d5a-4f60-a49e-6c2a3f67d6d7"
