System;System element;Type;Depth;Weight;LINES_OF_CODE;DUPLICATION;CODE_BREAKDOWN;CODE_BREAKDOWN Rating;DEPLOYMENT_BREAKDOWN;DEPLOYMENT_BREAKDOWN Rating;INTER_COMPONENT_DUPLICATION;INTER_COMPONENT_DUPLICATION Rating;SHARED_CODE;SHARED_CODE Rating;SHARED_DEPENDENCIES;SHARED_DEPENDENCIES Rating;COMMUNICATION_CENTRALIZATION;COMMUNICATION_CENTRALIZATION Rating;INTERFACE_CENTRALIZATION;INTERFACE_CENTRALIZATION Rating;DATA_STORE_ENCAPSULATION;DATA_STORE_ENCAPSULATION Rating;COMPONENT_COHESION;COMPONENT_COHESION Rating;USAGE_COHESION;USAGE_COHESION Rating;INCOMING_DEPENDENCIES;INCOMING_DEPENDENCIES Rating;OUTGOING_DEPENDENCIES;OUTGOING_DEPENDENCIES Rating;COMMUNICATION_COMPLEXITY;COMMUNICATION_COMPLEXITY Rating;STATELESSNESS;STATELESSNESS Rating;ASYNCHRONOUS_COMMUNICATION;ASYNCHRONOUS_COMMUNICATION Rating;COMMUNICATION_BOTTLENECKS;COMMUNICATION_BOTTLENECKS Rating;DATA_STORE_SCALABILITY;DATA_STORE_SCALABILITY Rating;TECHNOLOGY_COHESION;TECHNOLOGY_COHESION Rating;CBA Rating;SOA Rating;CLOUD_NATIVENESS Rating;ARCHITECTURE_MAINTAINABILITY Rating;ID;Parent ID
opensource-angel;opensource-angel;SystemLevel;;55810.0;55810.0;11.0;538.0;3.0;;;6.1;3.5;;;;;51.2;1.0;;;;;1.0;2.2;;;11.0;4.5;11.0;3.1;0.0;5.5;;;;;;;;;;;3.4;;;3.4;9ebdce64-6c75-45e9-823b-4ab5369bde0f;9ebdce64-6c75-45e9-823b-4ab5369bde0f
opensource-angel;com.tencent.angel;CodeComponent;3L;223.0;223.0;4.0;223.0;3.2;;;4.0;3.6;;;;;9.4;2.5;;;;;;;;;97.0;1.3;3.0;4.0;;;;;;;;;;;;;;;;;857d01f0-f440-47c9-8e7d-64349f7373cf;857d01f0-f440-47c9-8e7d-64349f7373cf a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4
opensource-angel;com.tencent.angel.client;CodeComponent;3L;841.0;841.0;11.8;841.0;2.2;;;6.7;3.2;;;;;9.6;2.5;;;;;;;;;2.0;3.8;28.0;2.1;;;;;;;;;;;;;;;;;948ac09a-550b-45a8-978e-105d70e3e417;948ac09a-550b-45a8-978e-105d70e3e417 a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4
opensource-angel;com.tencent.angel.client.local;CodeComponent;3L;97.0;97.0;0.0;97.0;4.2;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;1.0;4.1;8.0;3.2;;;;;;;;;;;;;;;;;df680032-deed-4e51-88c5-cb42603f7857;df680032-deed-4e51-88c5-cb42603f7857 a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4
opensource-angel;com.tencent.angel.client.yarn;CodeComponent;3L;510.0;510.0;0.0;510.0;2.4;;;0.0;5.5;;;;;15.1;2.8;;;;;;;;;1.0;4.1;10.0;3.0;;;;;;;;;;;;;;;;;0e57923d-d591-46f2-a6f5-2b121e4618c3;a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4 0e57923d-d591-46f2-a6f5-2b121e4618c3
opensource-angel;com.tencent.angel.common;CodeComponent;3L;135.0;135.0;6.7;135.0;3.7;;;6.7;3.2;;;;;;;;;;;;;;;86.0;1.4;0.0;5.5;;;;;;;;;;;;;;;;;51e35e35-f803-4b47-8d28-f6349f8a5218;a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4 51e35e35-f803-4b47-8d28-f6349f8a5218
opensource-angel;com.tencent.angel.conf;CodeComponent;3L;408.0;408.0;0.0;408.0;2.4;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;79.0;1.4;11.0;2.9;;;;;;;;;;;;;;;;;fb63e667-5818-499f-b21c-fc6fc95b9bbf;fb63e667-5818-499f-b21c-fc6fc95b9bbf a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4
opensource-angel;com.tencent.angel.data.inputformat;CodeComponent;3L;481.0;481.0;6.0;481.0;2.4;;;6.0;3.3;;;;;;;;;;;;;;;0.0;5.5;0.0;5.5;;;;;;;;;;;;;;;;;3552ce5a-c19a-4260-b94a-eb02579a2462;3552ce5a-c19a-4260-b94a-eb02579a2462 a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4
opensource-angel;com.tencent.angel.exception;CodeComponent;3L;234.0;234.0;0.0;234.0;3.1;;;0.0;5.5;;;;;;;;;;;;;;;60.0;1.4;0.0;5.5;;;;;;;;;;;;;;;;;78ec966e-8133-402e-aa87-3875a65553c2;a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4 78ec966e-8133-402e-aa87-3875a65553c2
opensource-angel;com.tencent.angel.io;CodeComponent;3L;27.0;27.0;0.0;27.0;5.5;;;0.0;5.5;;;;;;;;;;;;;;;2.0;3.8;0.0;5.5;;;;;;;;;;;;;;;;;18cd0230-a0d8-4914-9581-2c0520e198b3;18cd0230-a0d8-4914-9581-2c0520e198b3 a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4
