Source;Source top level component;Target;Target top level component;Dependency type
REMAINDER::CodeComponent;REMAINDER;.mvn/wrapper/maven-wrapper.properties;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;ci/deploy.yml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;ci/documentation.yml;REMAINDER;CONTAINS
cloudfoundry-client-reactor/src/main/java/org/cloudfoundry/reactor/_DefaultConnectionContext.java;org.cloudfoundry:cloudfoundry-client-reactor;org.cloudfoundry.reactor.util::CodeComponent;org.cloudfoundry:cloudfoundry-client-reactor;CODE_CALL
cloudfoundry-client-reactor/src/main/java/org/cloudfoundry/reactor/_DefaultConnectionContext.java;org.cloudfoundry:cloudfoundry-client-reactor;org.cloudfoundry.reactor.util::CodeComponent;org.cloudfoundry:cloudfoundry-client-reactor;CODE_CALL
cloudfoundry-client-reactor/src/main/java/org/cloudfoundry/reactor/_DefaultConnectionContext.java;org.cloudfoundry:cloudfoundry-client-reactor;org.cloudfoundry.reactor.util::CodeComponent;org.cloudfoundry:cloudfoundry-client-reactor;CODE_CALL
cloudfoundry-client-reactor/src/main/java/org/cloudfoundry/reactor/_DefaultConnectionContext.java;org.cloudfoundry:cloudfoundry-client-reactor;org.cloudfoundry.reactor.util::CodeComponent;org.cloudfoundry:cloudfoundry-client-reactor;CODE_CALL
cloudfoundry-client-reactor/src/main/java/org/cloudfoundry/reactor/_DefaultConnectionContext.java;org.cloudfoundry:cloudfoundry-client-reactor;org.cloudfoundry.reactor.util::CodeComponent;org.cloudfoundry:cloudfoundry-client-reactor;CODE_CALL
cloudfoundry-client-reactor/src/main/java/org/cloudfoundry/reactor/client/CloudFoundryClientCompatibilityChecker.java;org.cloudfoundry:cloudfoundry-client-reactor;org.cloudfoundry.client.v2.info::CodeComponent;org.cloudfoundry:cloudfoundry-client;CODE_CALL
cloudfoundry-client-reactor/src/main/java/org/cloudfoundry/reactor/client/CloudFoundryClientCompatibilityChecker.java;org.cloudfoundry:cloudfoundry-client-reactor;org.cloudfoundry.client.v2.info::CodeComponent;org.cloudfoundry:cloudfoundry-client;CODE_CALL
cloudfoundry-client-reactor/src/main/java/org/cloudfoundry/reactor/client/CloudFoundryClientCompatibilityChecker.java;org.cloudfoundry:cloudfoundry-client-reactor;org.cloudfoundry.client::CodeComponent;org.cloudfoundry:cloudfoundry-client;CODE_CALL
cloudfoundry-client-reactor/src/main/java/org/cloudfoundry/reactor/client/CloudFoundryExceptionBuilder.java;org.cloudfoundry:cloudfoundry-client-reactor;org.cloudfoundry.client.v2::CodeComponent;org.cloudfoundry:cloudfoundry-client;CODE_CALL
