ID;Length;File;Start line;End line
1;31;cloudfoundry-client/src/main/java/org/cloudfoundry/client/v2/applications/_UpdateApplicationRequest.java;66;136
1;31;cloudfoundry-client/src/main/java/org/cloudfoundry/client/v2/applications/_CreateApplicationRequest.java;66;136
2;27;cloudfoundry-util/pom.xml;1;30
2;27;cloudfoundry-operations/pom.xml;1;30
2;27;cloudfoundry-client/pom.xml;1;30
2;27;cloudfoundry-client-reactor/pom.xml;1;30
4;27;cloudfoundry-util/pom.xml;75;103
5;27;cloudfoundry-operations/pom.xml;46;72
5;27;cloudfoundry-client-reactor/pom.xml;46;72
6;24;cloudfoundry-client/src/main/java/org/cloudfoundry/client/v2/spaces/_SpaceApplicationSummary.java;33;84
6;24;cloudfoundry-client/src/main/java/org/cloudfoundry/client/v2/applications/_SummaryApplicationResponse.java;33;84
8;21;cloudfoundry-operations/pom.xml;71;92
8;21;cloudfoundry-client-reactor/pom.xml;71;92
9;20;cloudfoundry-client/src/main/java/org/cloudfoundry/client/v2/organizations/_ListOrganizationAuditorsRequest.java;31;74
9;20;cloudfoundry-client/src/main/java/org/cloudfoundry/client/v2/organizations/_ListOrganizationManagersRequest.java;31;74
9;20;cloudfoundry-client/src/main/java/org/cloudfoundry/client/v2/organizations/_ListOrganizationBillingManagersRequest.java;31;74
9;20;cloudfoundry-client/src/main/java/org/cloudfoundry/client/v2/organizations/_ListOrganizationUsersRequest.java;31;74
10;20;cloudfoundry-client-reactor/pom.xml;126;146
11;20;cloudfoundry-client/src/main/java/org/cloudfoundry/client/v2/spaces/_ListSpaceManagersRequest.java;31;74
11;20;cloudfoundry-client/src/main/java/org/cloudfoundry/client/v2/spaces/_ListSpaceDevelopersRequest.java;31;74
11;20;cloudfoundry-client/src/main/java/org/cloudfoundry/client/v2/spaces/_ListSpaceAuditorsRequest.java;31;74
12;18;cloudfoundry-client/src/main/java/org/cloudfoundry/client/v2/users/_ListUsersRequest.java;31;68
12;18;cloudfoundry-client/src/main/java/org/cloudfoundry/client/v2/spaces/_ListSpaceAuditorsRequest.java;31;68
