Source;Source top level component;Target;Target top level component;Dependency type
DB::DataStore;;_int_1000_::DataStoreEntity;;STORES
DB::DataStore;;druid_app::DataStoreEntity;;STORES
DB::DataStore;;druid_cluster::DataStoreEntity;;STORES
DB::DataStore;;druid_const::DataStoreEntity;;STORES
DB::DataStore;;druid_inst::DataStoreEntity;;STORES
DB::DataStore;;pg_catalog.pg_tables::DataStoreEntity;;STORES
DB::DataStore;;user_tables::DataStoreEntity;;STORES
REMAINDER::CodeComponent;REMAINDER;src/main/resources/META-INF/druid-driver.properties;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/META-INF/druid-filter.properties;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/support/http/resources/activeConnectionStackTrace.html;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/support/http/resources/api.html;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/support/http/resources/connectionInfo.html;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/support/http/resources/css/bootstrap.min.css;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/support/http/resources/css/style.css;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/support/http/resources/datasource.html;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/support/http/resources/header.html;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/support/http/resources/index.html;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/support/http/resources/js/common.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/support/http/resources/js/doT.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/support/http/resources/js/lang.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/support/http/resources/login.html;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/support/http/resources/nopermit.html;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/support/http/resources/spring-detail.html;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/support/http/resources/spring.html;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/support/http/resources/sql-detail.html;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/support/http/resources/sql.html;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/support/http/resources/wall.html;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/support/http/resources/webapp.html;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/support/http/resources/websession-detail.html;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/support/http/resources/websession.html;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/support/http/resources/weburi-detail.html;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/support/http/resources/weburi.html;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main/resources/support/monitor/resources/index.html;REMAINDER;CONTAINS
com.alibaba.druid.filter.config::CodeComponent;com.alibaba.druid.filter.config;src/main/java/com/alibaba/druid/filter/config/ConfigFilter.java;com.alibaba.druid.filter.config;CONTAINS
com.alibaba.druid.filter.config::CodeComponent;com.alibaba.druid.filter.config;src/main/java/com/alibaba/druid/filter/config/ConfigFilter.java;com.alibaba.druid.filter.config;CONTAINS
