ID;Length;File;Start line;End line
0;125;src/main/java/com/alibaba/druid/sql/dialect/oracle/visitor/OracleOutputVisitor.java;3234;3428
0;125;src/main/java/com/alibaba/druid/sql/dialect/postgresql/visitor/PGOutputVisitor.java;3234;3428
1;102;src/main/java/com/alibaba/druid/sql/dialect/mysql/visitor/OracleToMySqlOutputVisitor.java;966;1167
1;102;src/main/java/com/alibaba/druid/sql/dialect/oracle/visitor/OracleSchemaStatVisitor.java;966;1167
2;88;src/main/java/com/alibaba/druid/sql/ast/statement/SQLAlterViewStatement.java;83;241
2;88;src/main/java/com/alibaba/druid/sql/ast/statement/SQLCreateViewStatement.java;83;241
3;73;src/main/java/com/alibaba/druid/sql/dialect/mysql/visitor/OracleToMySqlOutputVisitor.java;714;858
3;73;src/main/java/com/alibaba/druid/sql/dialect/postgresql/visitor/PGOutputVisitor.java;714;858
4;70;src/main/java/com/alibaba/druid/sql/parser/SQLStatementParser.java;2777;2880
4;70;src/main/java/com/alibaba/druid/sql/dialect/mysql/parser/MySqlStatementParser.java;2777;2880
5;67;src/main/java/com/alibaba/druid/sql/dialect/oracle/visitor/OracleOutputVisitor.java;2072;2173
5;67;src/main/java/com/alibaba/druid/sql/dialect/postgresql/visitor/PGOutputVisitor.java;2072;2173
6;67;src/main/java/com/alibaba/druid/sql/dialect/oracle/visitor/OracleOutputVisitor.java;2253;2379
6;67;src/main/java/com/alibaba/druid/sql/dialect/postgresql/visitor/PGOutputVisitor.java;2253;2379
7;63;src/main/java/com/alibaba/druid/sql/dialect/mysql/visitor/OracleToMySqlOutputVisitor.java;865;989
7;63;src/main/java/com/alibaba/druid/sql/dialect/postgresql/visitor/PGOutputVisitor.java;865;989
8;62;src/main/java/com/alibaba/druid/sql/dialect/odps/visitor/OdpsASTVisitorAdapter.java;102;223
8;62;src/main/java/com/alibaba/druid/sql/dialect/odps/visitor/OdpsSchemaStatVisitor.java;102;223
9;58;src/main/java/com/alibaba/druid/sql/dialect/postgresql/visitor/PGOutputVisitor.java;1048;1162
9;58;src/main/java/com/alibaba/druid/sql/dialect/oracle/visitor/OracleSchemaStatVisitor.java;1048;1162
10;55;src/main/java/com/alibaba/druid/sql/dialect/oracle/visitor/OracleOutputVisitor.java;373;454
10;55;src/main/java/com/alibaba/druid/sql/dialect/postgresql/visitor/PGOutputVisitor.java;373;454
11;54;src/main/java/com/alibaba/druid/sql/dialect/oracle/ast/OracleSegmentAttributesImpl.java;39;143
11;54;src/main/java/com/alibaba/druid/sql/dialect/oracle/ast/stmt/OracleCreateIndexStatement.java;39;143
12;52;src/main/java/com/alibaba/druid/mock/MockCallableStatement.java;880;971
12;52;src/main/java/com/alibaba/druid/util/jdbc/ResultSetBase.java;880;971
13;51;src/main/java/com/alibaba/druid/sql/dialect/h2/visitor/H2EvalVisitor.java;52;144
13;51;src/main/java/com/alibaba/druid/sql/dialect/db2/visitor/DB2EvalVisitor.java;52;144
13;51;src/main/java/com/alibaba/druid/sql/dialect/oracle/visitor/OracleEvalVisitor.java;52;144
13;51;src/main/java/com/alibaba/druid/sql/dialect/sqlserver/visitor/SQLServerEvalVisitor.java;52;144
13;51;src/main/java/com/alibaba/druid/sql/dialect/postgresql/visitor/PGEvalVisitor.java;52;144
14;51;src/main/java/com/alibaba/druid/sql/dialect/mysql/parser/MySqlLexer.java;272;347
14;51;src/main/java/com/alibaba/druid/sql/dialect/odps/parser/OdpsLexer.java;272;347
15;50;src/main/java/com/alibaba/druid/sql/ast/statement/SQLDeleteStatement.java;205;291
15;50;src/main/java/com/alibaba/druid/sql/ast/statement/SQLUpdateStatement.java;205;291
16;49;src/main/java/com/alibaba/druid/sql/dialect/mysql/parser/MySqlStatementParser.java;3152;3216
17;48;src/main/java/com/alibaba/druid/sql/dialect/mysql/ast/statement/MySqlAlterEventStatement.java;52;139
17;48;src/main/java/com/alibaba/druid/sql/dialect/mysql/ast/statement/MySqlCreateEventStatement.java;52;139
18;47;src/main/java/com/alibaba/druid/sql/dialect/oracle/visitor/OracleOutputVisitor.java;800;867
18;47;src/main/java/com/alibaba/druid/sql/dialect/postgresql/visitor/PGOutputVisitor.java;800;867
19;45;src/main/java/com/alibaba/druid/wall/spi/PGWallVisitor.java;240;310
19;45;src/main/java/com/alibaba/druid/wall/spi/DB2WallVisitor.java;240;310
20;45;src/main/java/com/alibaba/druid/sql/visitor/SQLASTOutputVisitor.java;3176;3241
21;44;src/main/java/com/alibaba/druid/sql/ast/statement/SQLDeleteStatement.java;575;650
21;44;src/main/java/com/alibaba/druid/sql/ast/statement/SQLSelectQueryBlock.java;575;650
