System;System element;Type;Depth;Weight;LINES_OF_CODE;DUPLICATION;CODE_BREAKDOWN;CODE_BREAKDOWN Rating;DEPLOYMENT_BREAKDOWN;DEPLOYMENT_BREAKDOWN Rating;INTER_COMPONENT_DUPLICATION;INTER_COMPONENT_DUPLICATION Rating;SHARED_CODE;SHARED_CODE Rating;SHARED_DEPENDENCIES;SHARED_DEPENDENCIES Rating;COMMUNICATION_CENTRALIZATION;COMMUNICATION_CENTRALIZATION Rating;INTERFACE_CENTRALIZATION;INTERFACE_CENTRALIZATION Rating;DATA_STORE_ENCAPSULATION;DATA_STORE_ENCAPSULATION Rating;COMPONENT_COHESION;COMPONENT_COHESION Rating;USAGE_COHESION;USAGE_COHESION Rating;INCOMING_DEPENDENCIES;INCOMING_DEPENDENCIES Rating;OUTGOING_DEPENDENCIES;OUTGOING_DEPENDENCIES Rating;COMMUNICATION_COMPLEXITY;COMMUNICATION_COMPLEXITY Rating;STATELESSNESS;STATELESSNESS Rating;ASYNCHRONOUS_COMMUNICATION;ASYNCHRONOUS_COMMUNICATION Rating;COMMUNICATION_BOTTLENECKS;COMMUNICATION_BOTTLENECKS Rating;DATA_STORE_SCALABILITY;DATA_STORE_SCALABILITY Rating;TECHNOLOGY_COHESION;TECHNOLOGY_COHESION Rating;CBA Rating;SOA Rating;CLOUD_NATIVENESS Rating;ARCHITECTURE_MAINTAINABILITY Rating;ID;Parent ID
opensource-dubbo;opensource-dubbo;SystemLevel;;77108.0;77108.0;13.9;4631.0;3.1;23668.0;3.3;10.1;4.0;18.7;4.9;4.0;5.1;46.9;1.5;;;1.0;4.1;0.7;4.1;;;1532.0;4.3;1533.0;2.9;0.1;2.2;65.1;0.5;;;;;;;1.5;2.3;3.4;3.9;0.5;2.6;b668fc9a-7d7d-4f72-9a48-14cf315752a1;b668fc9a-7d7d-4f72-9a48-14cf315752a1
opensource-dubbo;com.alibaba.com.caucho.hessian;CodeComponent;2L;18.0;18.0;0.0;18.0;5.5;;;0.0;5.5;;;;;;;;;;;;;;;0.0;5.5;0.0;5.5;;;;;;;;;;;;;;;;;29cb3cb0-e385-437e-b69e-5cba0b8f9f32;56dff225-8eb4-4a08-a376-ffb95e1a20d6 29cb3cb0-e385-437e-b69e-5cba0b8f9f32
opensource-dubbo;com.alibaba.com.caucho.hessian.io;CodeComponent;2L;10306.0;10306.0;22.2;10306.0;1.1;;;12.7;2.5;;;;;91.4;5.1;;;;;;;;;5.0;3.2;1.0;4.3;;;;;;;;;;;;;;;;;52640fa7-288d-4827-bda5-d1892b37cc50;52640fa7-288d-4827-bda5-d1892b37cc50 56dff225-8eb4-4a08-a376-ffb95e1a20d6
opensource-dubbo;com.alibaba.com.caucho.hessian.security;CodeComponent;2L;476.0;476.0;31.9;476.0;2.4;;;17.9;2.3;;;;;0.0;0.5;;;;;;;;;0.0;5.5;2.0;4.1;;;;;;;;;;;;;;;;;b49d56ff-d302-4b46-85d3-6c90232f6709;b49d56ff-d302-4b46-85d3-6c90232f6709 56dff225-8eb4-4a08-a376-ffb95e1a20d6
opensource-dubbo;com.alibaba.com.caucho.hessian.util;CodeComponent;2L;258.0;258.0;65.1;258.0;3.0;;;32.6;2.0;;;;;;;;;;;;;;;1.0;4.1;0.0;5.5;;;;;;;;;;;;;;;;;412217a4-9d86-4f2d-af12-9b7e74fb2302;56dff225-8eb4-4a08-a376-ffb95e1a20d6 412217a4-9d86-4f2d-af12-9b7e74fb2302
opensource-dubbo;com.alibaba.dubbo.cache;CodeComponent;3L;15.0;15.0;0.0;15.0;5.5;;;0.0;5.5;;;;;33.3;3.6;;;;;;;;;9.0;2.6;3.0;4.0;;;;;;;;;;;;;;;;;ef05bcf6-f6d7-4f82-9f19-601dffa3e60b;d7da588d-4356-439c-95fb-1a90deb2e025 ef05bcf6-f6d7-4f82-9f19-601dffa3e60b 3128c2be-db6a-402c-bc10-8403a5ea05e5
opensource-dubbo;com.alibaba.dubbo.cache.filter;CodeComponent;3L;40.0;40.0;0.0;40.0;5.5;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;0.0;5.5;12.0;2.8;;;;;;;;;;;;;;;;;630fd807-6da2-46b3-8999-9e29a006f3ff;630fd807-6da2-46b3-8999-9e29a006f3ff d7da588d-4356-439c-95fb-1a90deb2e025 3128c2be-db6a-402c-bc10-8403a5ea05e5
opensource-dubbo;com.alibaba.dubbo.cache.support;CodeComponent;3L;19.0;19.0;0.0;19.0;5.5;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;3.0;3.5;3.0;4.0;;;;;;;;;;;;;;;;;3be09a85-7160-4801-9168-8650d6f160e0;d7da588d-4356-439c-95fb-1a90deb2e025 3128c2be-db6a-402c-bc10-8403a5ea05e5 3be09a85-7160-4801-9168-8650d6f160e0
opensource-dubbo;com.alibaba.dubbo.cache.support.jcache;CodeComponent;3L;31.0;31.0;0.0;31.0;5.5;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;0.0;5.5;4.0;3.8;;;;;;;;;;;;;;;;;30b207e8-18e3-446a-83fd-646b6ffa43f9;d7da588d-4356-439c-95fb-1a90deb2e025 30b207e8-18e3-446a-83fd-646b6ffa43f9 3128c2be-db6a-402c-bc10-8403a5ea05e5
opensource-dubbo;com.alibaba.dubbo.cache.support.lru;CodeComponent;3L;39.0;39.0;0.0;39.0;5.5;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;0.0;5.5;5.0;3.6;;;;;;;;;;;;;;;;;964859d2-f936-4cfe-98b0-a06a69d54a35;d7da588d-4356-439c-95fb-1a90deb2e025 964859d2-f936-4cfe-98b0-a06a69d54a35 3128c2be-db6a-402c-bc10-8403a5ea05e5
opensource-dubbo;com.alibaba.dubbo.cache.support.threadlocal;CodeComponent;3L;31.0;31.0;0.0;31.0;5.5;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;0.0;5.5;5.0;3.6;;;;;;;;;;;;;;;;;0201721b-659b-42b0-8cc2-8c74b8eb4ab1;d7da588d-4356-439c-95fb-1a90deb2e025 3128c2be-db6a-402c-bc10-8403a5ea05e5 0201721b-659b-42b0-8cc2-8c74b8eb4ab1
opensource-dubbo;com.alibaba.dubbo.common;CodeComponent;2L;1714.0;1714.0;4.9;1714.0;1.8;;;2.5;3.9;;;;;16.6;2.9;;;;;;;;;459.0;0.5;10.0;3.0;;;;;;;;;;;;;;;;;aa4fb2a7-f963-42db-a98f-c05c43cb70fa;75b4ef49-be6d-468f-af7f-d83af6caa5f0 aa4fb2a7-f963-42db-a98f-c05c43cb70fa
opensource-dubbo;com.alibaba.dubbo.common.beanutil;CodeComponent;2L;559.0;559.0;5.7;559.0;2.4;;;3.6;3.7;;;;;27.9;3.5;;;;;;;;;6.0;3.0;4.0;3.8;;;;;;;;;;;;;;;;;e190d535-32e0-4031-82f3-59d0133899ec;75b4ef49-be6d-468f-af7f-d83af6caa5f0 e190d535-32e0-4031-82f3-59d0133899ec
opensource-dubbo;com.alibaba.dubbo.common.bytecode;CodeComponent;2L;988.0;988.0;6.1;988.0;2.1;;;3.0;3.8;;;;;2.6;1.8;;;;;;;;;12.0;2.4;7.0;3.3;;;;;;;;;;;;;;;;;72f3587e-79eb-4194-b923-3915a8de5e60;75b4ef49-be6d-468f-af7f-d83af6caa5f0 72f3587e-79eb-4194-b923-3915a8de5e60
opensource-dubbo;com.alibaba.dubbo.common.compiler;CodeComponent;2L;7.0;7.0;0.0;7.0;5.5;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;2.0;3.8;1.0;4.3;;;;;;;;;;;;;;;;;1d61afa6-54db-42ad-a847-a3ef357ab9a2;75b4ef49-be6d-468f-af7f-d83af6caa5f0 1d61afa6-54db-42ad-a847-a3ef357ab9a2
opensource-dubbo;com.alibaba.dubbo.common.compiler.support;CodeComponent;2L;737.0;737.0;2.2;737.0;2.3;;;2.2;4.0;;;;;47.8;3.9;;;;;;;;;1.0;4.1;7.0;3.3;;;;;;;;;;;;;;;;;1528a019-1ab6-468c-9b29-c428708d559e;75b4ef49-be6d-468f-af7f-d83af6caa5f0 1528a019-1ab6-468c-9b29-c428708d559e
opensource-dubbo;com.alibaba.dubbo.common.extension;CodeComponent;2L;794.0;794.0;3.0;794.0;2.2;;;1.5;4.1;;;;;4.3;2.0;;;;;;;;;151.0;1.2;10.0;3.0;;;;;;;;;;;;;;;;;fd676088-d14b-4adf-9e46-9ea0452db243;75b4ef49-be6d-468f-af7f-d83af6caa5f0 fd676088-d14b-4adf-9e46-9ea0452db243
opensource-dubbo;com.alibaba.dubbo.common.extension.factory;CodeComponent;2L;43.0;43.0;0.0;43.0;5.5;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;0.0;5.5;6.0;3.5;;;;;;;;;;;;;;;;;b78e6363-0086-4887-858e-2e1317f85d11;75b4ef49-be6d-468f-af7f-d83af6caa5f0 b78e6363-0086-4887-858e-2e1317f85d11
opensource-dubbo;com.alibaba.dubbo.common.extension.support;CodeComponent;2L;59.0;59.0;10.2;59.0;5.5;;;10.2;2.8;;;;;0.0;0.5;;;;;;;;;1.0;4.1;3.0;4.0;;;;;;;;;;;;;;;;;b69585ea-1e55-40d4-a1c8-8208fa922824;75b4ef49-be6d-468f-af7f-d83af6caa5f0 b69585ea-1e55-40d4-a1c8-8208fa922824
opensource-dubbo;com.alibaba.dubbo.common.io;CodeComponent;2L;1006.0;1006.0;7.6;1006.0;2.1;;;3.8;3.7;;;;;46.2;3.9;;;;;;;;;14.0;2.4;1.0;4.3;;;;;;;;;;;;;;;;;e7c31b49-5d57-447f-b427-c4d6a60cb1c9;75b4ef49-be6d-468f-af7f-d83af6caa5f0 e7c31b49-5d57-447f-b427-c4d6a60cb1c9
opensource-dubbo;com.alibaba.dubbo.common.json;CodeComponent;2L;2374.0;2374.0;5.3;2374.0;1.4;;;2.7;3.9;;;;;34.9;3.6;;;;;;;;;8.0;2.7;8.0;3.2;;;;;;;;;;;;;;;;;85736f11-19ff-4c66-bc48-d7092a35cf29;75b4ef49-be6d-468f-af7f-d83af6caa5f0 85736f11-19ff-4c66-bc48-d7092a35cf29
opensource-dubbo;com.alibaba.dubbo.common.logger;CodeComponent;2L;129.0;129.0;0.0;129.0;3.8;;;0.0;5.5;;;;;25.6;3.4;;;;;;;;;247.0;1.0;7.0;3.3;;;;;;;;;;;;;;;;;db4e9958-69ab-45ea-9457-1848f954776e;75b4ef49-be6d-468f-af7f-d83af6caa5f0 db4e9958-69ab-45ea-9457-1848f954776e
opensource-dubbo;com.alibaba.dubbo.common.logger.jcl;CodeComponent;2L;99.0;99.0;22.2;99.0;4.1;;;37.4;1.8;;;;;0.0;0.5;;;;;;;;;1.0;4.1;4.0;3.8;;;;;;;;;;;;;;;;;aec7ec43-3204-4902-9639-b279d88c54ed;75b4ef49-be6d-468f-af7f-d83af6caa5f0 aec7ec43-3204-4902-9639-b279d88c54ed
opensource-dubbo;com.alibaba.dubbo.common.logger.jdk;CodeComponent;2L;157.0;157.0;0.0;157.0;3.5;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;1.0;4.1;4.0;3.8;;;;;;;;;;;;;;;;;3216789d-a648-4193-80b4-ef95579c728f;75b4ef49-be6d-468f-af7f-d83af6caa5f0 3216789d-a648-4193-80b4-ef95579c728f
opensource-dubbo;com.alibaba.dubbo.common.logger.log4j;CodeComponent;2L;152.0;152.0;13.2;152.0;3.6;;;13.2;2.4;;;;;0.0;0.5;;;;;;;;;1.0;4.1;5.0;3.6;;;;;;;;;;;;;;;;;9d9fd78b-d569-45d5-9b66-0036b3a4706d;75b4ef49-be6d-468f-af7f-d83af6caa5f0 9d9fd78b-d569-45d5-9b66-0036b3a4706d
opensource-dubbo;com.alibaba.dubbo.common.logger.slf4j;CodeComponent;2L;97.0;97.0;22.7;97.0;4.2;;;38.1;1.8;;;;;0.0;0.5;;;;;;;;;1.0;4.1;4.0;3.8;;;;;;;;;;;;;;;;;cb0e15a4-32f1-4f5d-a999-9b872226294e;cb0e15a4-32f1-4f5d-a999-9b872226294e 75b4ef49-be6d-468f-af7f-d83af6caa5f0
opensource-dubbo;com.alibaba.dubbo.common.logger.support;CodeComponent;2L;145.0;145.0;0.0;145.0;3.6;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;2.0;3.8;3.0;4.0;;;;;;;;;;;;;;;;;3385170a-4230-4ed5-8910-f48d034ca50c;75b4ef49-be6d-468f-af7f-d83af6caa5f0 3385170a-4230-4ed5-8910-f48d034ca50c
opensource-dubbo;com.alibaba.dubbo.common.serialize;CodeComponent;2L;58.0;58.0;0.0;58.0;5.5;;;0.0;5.5;;;;;70.7;4.4;;;;;;;;;50.0;1.6;3.0;4.0;;;;;;;;;;;;;;;;;fab30391-dafb-4e3e-a326-313b201cf55f;75b4ef49-be6d-468f-af7f-d83af6caa5f0 fab30391-dafb-4e3e-a326-313b201cf55f
opensource-dubbo;com.alibaba.dubbo.common.serialize.support.dubbo;CodeComponent;2L;2369.0;2369.0;8.5;2369.0;1.4;;;4.2;3.6;;;;;1.2;1.6;;;;;;;;;0.0;5.5;22.0;2.3;;;;;;;;;;;;;;;;;3e4e367f-df86-46ac-873f-775af6e755e6;75b4ef49-be6d-468f-af7f-d83af6caa5f0 3e4e367f-df86-46ac-873f-775af6e755e6
opensource-dubbo;com.alibaba.dubbo.common.serialize.support.hessian;CodeComponent;2L;162.0;162.0;0.0;162.0;3.4;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;0.0;5.5;9.0;3.1;;;;;;;;;;;;;;;;;100ca687-a777-4c16-9cd7-f120a74fdc63;75b4ef49-be6d-468f-af7f-d83af6caa5f0 100ca687-a777-4c16-9cd7-f120a74fdc63
opensource-dubbo;com.alibaba.dubbo.common.serialize.support.java;CodeComponent;2L;216.0;216.0;0.0;216.0;3.2;;;0.0;5.5;;;;;12.5;2.7;;;;;;;;;2.0;3.8;11.0;2.9;;;;;;;;;;;;;;;;;4c18e4a1-f966-4e65-ad86-4ff2b385ff44;75b4ef49-be6d-468f-af7f-d83af6caa5f0 4c18e4a1-f966-4e65-ad86-4ff2b385ff44
opensource-dubbo;com.alibaba.dubbo.common.serialize.support.json;CodeComponent;2L;382.0;382.0;34.0;382.0;2.5;;;17.0;2.4;;;;;0.0;0.5;;;;;;;;;0.0;5.5;17.0;2.4;;;;;;;;;;;;;;;;;6d247827-1ca7-4c43-9932-4229a098af58;75b4ef49-be6d-468f-af7f-d83af6caa5f0 6d247827-1ca7-4c43-9932-4229a098af58
