Source;Source top level component;Target;Target top level component;Dependency type
REMAINDER::CodeComponent;REMAINDER;benchmark/dep/bootstrap/bootstrap.min.css;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;benchmark/dep/jquery/jquery-2.2.4.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;benchmark/dep/lodash/lodash.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;benchmark/gulpfile.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;benchmark/index.html;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;benchmark/src/app.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;echarts.all.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;echarts.blank.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;echarts.common.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;echarts.simple.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extension-src/bmap/BMapCoordSys.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extension-src/bmap/BMapModel.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extension-src/bmap/BMapView.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extension-src/bmap/bmap.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extension-src/dataTool/gexf.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extension-src/dataTool/index.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extension-src/dataTool/prepareBoxplotData.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extension-src/dataTool/quantile.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extension/bmap/BMapCoordSys.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extension/bmap/BMapModel.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extension/bmap/BMapView.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extension/bmap/bmap.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extension/dataTool/gexf.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extension/dataTool/index.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extension/dataTool/prepareBoxplotData.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extension/dataTool/quantile.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extension/echarts.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extension/webpack.config.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;index.common.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;index.js;REMAINDER;CONTAINS
