ID;Length;File;Start line;End line
0;2003;plugins/ingest-attachment/build.gradle;25;2051
0;2003;plugins/mapper-attachments/build.gradle;25;2051
1;102;plugins/discovery-azure-classic/build.gradle;65;166
1;102;plugins/repository-s3/build.gradle;65;166
2;62;plugins/ingest-attachment/src/main/java/org/elasticsearch/ingest/attachment/TikaImpl.java;48;151
2;62;plugins/mapper-attachments/src/main/java/org/elasticsearch/mapper/attachments/TikaImpl.java;48;151
3;42;modules/lang-painless/src/main/java/org/elasticsearch/painless/antlr/PainlessLexer.java;48;103
3;42;modules/lang-painless/src/main/java/org/elasticsearch/painless/antlr/PainlessParser.java;48;103
4;40;modules/reindex/src/main/java/org/elasticsearch/index/reindex/AbstractAsyncBulkIndexByScrollAction.java;203;268
5;38;core/src/main/java/org/elasticsearch/index/analysis/WordDelimiterTokenFilterFactory.java;72;113
5;38;core/src/main/java/org/elasticsearch/index/analysis/MappingCharFilterFactory.java;72;113
6;37;plugins/lang-javascript/src/main/java/org/elasticsearch/script/javascript/support/ScriptableWrappedMap.java;105;162
6;37;plugins/lang-javascript/src/main/java/org/elasticsearch/script/javascript/support/NativeMap.java;105;162
7;36;core/src/main/java/org/elasticsearch/index/mapper/core/LegacyDateFieldMapper.java;192;239
7;36;core/src/main/java/org/elasticsearch/index/mapper/core/DateFieldMapper.java;192;239
8;36;core/src/main/java/org/elasticsearch/search/aggregations/pipeline/bucketscript/BucketScriptPipelineAggregationBuilder.java;140;184
8;36;core/src/main/java/org/elasticsearch/search/aggregations/pipeline/bucketselector/BucketSelectorPipelineAggregationBuilder.java;140;184
9;34;core/src/main/java/org/elasticsearch/index/mapper/core/StringFieldMapper.java;216;272
9;34;core/src/main/java/org/elasticsearch/index/mapper/core/TextFieldMapper.java;216;272
10;33;modules/lang-painless/src/main/java/org/elasticsearch/painless/DefMath.java;438;477
11;32;modules/lang-painless/src/main/java/org/elasticsearch/painless/DefMath.java;582;620
12;31;core/src/main/java/org/elasticsearch/search/internal/DefaultSearchContext.java;627;676
12;31;core/src/main/java/org/elasticsearch/search/internal/SubSearchContext.java;627;676
13;30;modules/lang-painless/src/main/java/org/elasticsearch/painless/AnalyzerCaster.java;463;500
14;30;modules/lang-painless/src/main/java/org/elasticsearch/painless/node/EComp.java;89;129
15;27;modules/lang-painless/src/main/java/org/elasticsearch/painless/node/EBinary.java;146;180
16;26;modules/lang-painless/src/main/java/org/elasticsearch/painless/node/EComp.java;140;176
17;25;core/src/main/java/org/elasticsearch/cluster/routing/allocation/decider/ShardsLimitAllocationDecider.java;68;105
18;25;modules/lang-painless/src/main/java/org/elasticsearch/painless/node/EBinary.java;360;393
19;25;core/src/main/java/org/elasticsearch/rest/action/cat/RestNodesAction.java;113;141
19;25;core/src/main/java/org/elasticsearch/rest/action/cat/RestShardsAction.java;113;141
20;24;modules/lang-painless/src/main/java/org/elasticsearch/painless/node/EBinary.java;102;133
21;24;core/src/main/java/org/elasticsearch/search/aggregations/metrics/percentiles/tdigest/AbstractInternalTDigestPercentiles.java;109;138
21;24;core/src/main/java/org/elasticsearch/search/aggregations/metrics/percentiles/hdr/AbstractInternalHDRPercentiles.java;109;138
22;23;modules/lang-painless/src/main/java/org/elasticsearch/painless/node/EComp.java;89;119
23;23;modules/lang-painless/src/main/java/org/elasticsearch/painless/node/EFunctionRef.java;171;195
23;23;modules/lang-painless/src/main/java/org/elasticsearch/painless/node/ELambda.java;171;195
24;23;core/src/main/java/org/elasticsearch/index/fielddata/plain/AbstractIndexOrdinalsFieldData.java;62;98
24;23;core/src/main/java/org/elasticsearch/index/fielddata/plain/SortedSetDVOrdinalsIndexFieldData.java;62;98
25;22;modules/lang-painless/src/main/java/org/elasticsearch/painless/node/EComp.java;408;438
26;22;modules/lang-painless/src/main/java/org/elasticsearch/painless/node/EBinary.java;413;440
27;22;core/src/main/java/org/elasticsearch/search/internal/DefaultSearchContext.java;688;721
27;22;core/src/main/java/org/elasticsearch/search/internal/SubSearchContext.java;688;721
28;22;dev-tools/prepare_release_update_documentation.py;119;152
28;22;dev-tools/prepare_release_candidate.py;119;152
29;21;modules/lang-painless/src/main/java/org/elasticsearch/painless/node/EFunctionRef.java;171;191
29;21;modules/lang-painless/src/main/java/org/elasticsearch/painless/node/ELambda.java;171;191
29;21;modules/lang-painless/src/main/java/org/elasticsearch/painless/node/ECapturingFunctionRef.java;171;191
30;21;modules/lang-painless/src/main/java/org/elasticsearch/painless/AnalyzerCaster.java;375;400
31;21;core/src/main/java/org/elasticsearch/index/mapper/core/NumberFieldMapper.java;454;486
32;21;modules/lang-painless/src/main/java/org/elasticsearch/painless/AnalyzerCaster.java;257;282
33;21;core/src/main/java/org/elasticsearch/index/VersionType.java;108;141
34;21;core/src/main/java/org/elasticsearch/search/SearchService.java;390;413
35;21;modules/lang-painless/src/main/java/org/elasticsearch/painless/AnalyzerCaster.java;316;341
36;21;modules/lang-painless/src/main/java/org/elasticsearch/painless/AnalyzerCaster.java;198;223
37;20;core/src/main/java/org/elasticsearch/action/admin/cluster/node/info/NodeInfo.java;246;268
37;20;core/src/main/java/org/elasticsearch/action/admin/cluster/node/stats/NodeStats.java;246;268
38;20;core/src/main/java/org/elasticsearch/index/mapper/core/LegacyDateFieldMapper.java;401;428
38;20;core/src/main/java/org/elasticsearch/index/mapper/core/DateFieldMapper.java;401;428
39;20;modules/lang-painless/src/main/java/org/elasticsearch/painless/AnalyzerCaster.java;133;157
40;20;modules/lang-painless/src/main/java/org/elasticsearch/painless/node/EBinary.java;500;527
41;20;plugins/discovery-azure-classic/build.gradle;59;87
41;20;plugins/discovery-gce/build.gradle;59;87
42;20;modules/lang-expression/src/main/java/org/elasticsearch/script/expression/DateField.java;67;86
42;20;modules/lang-expression/src/main/java/org/elasticsearch/script/expression/NumericField.java;67;86
43;19;core/src/main/java/org/elasticsearch/search/fetch/ShardFetchSearchRequest.java;44;72
43;19;core/src/main/java/org/elasticsearch/search/action/SearchTransportService.java;44;72
44;19;modules/lang-mustache/src/main/java/org/elasticsearch/action/search/template/MultiSearchTemplateResponse.java;114;147
44;19;core/src/main/java/org/elasticsearch/action/search/MultiSearchResponse.java;114;147
45;19;core/src/main/java/org/elasticsearch/search/aggregations/metrics/stats/extended/ExtendedStatsAggregator.java;69;90
45;19;core/src/main/java/org/elasticsearch/search/aggregations/metrics/stats/StatsAggregator.java;69;90
46;19;core/src/main/java/org/elasticsearch/action/admin/indices/stats/IndicesStatsResponse.java;73;100
46;19;core/src/main/java/org/elasticsearch/action/admin/indices/stats/IndexStats.java;73;100
47;18;modules/lang-painless/src/main/java/org/elasticsearch/painless/node/EBinary.java;500;525
48;18;modules/lang-painless/src/main/java/org/elasticsearch/painless/node/EUnary.java;122;144
49;18;core/src/main/java/org/elasticsearch/action/termvectors/MultiTermVectorsShardResponse.java;71;93
49;18;core/src/main/java/org/elasticsearch/action/get/MultiGetShardResponse.java;71;93
50;18;core/src/main/java/org/elasticsearch/index/query/MatchPhraseQueryBuilder.java;190;214
50;18;core/src/main/java/org/elasticsearch/index/query/MatchPhrasePrefixQueryBuilder.java;190;214
51;18;core/src/main/java/org/elasticsearch/index/mapper/core/LegacyByteFieldMapper.java;146;168
51;18;core/src/main/java/org/elasticsearch/index/mapper/core/LegacyShortFieldMapper.java;146;168
52;18;core/src/main/java/org/elasticsearch/index/mapper/core/TokenCountFieldMapper.java;149;178
52;18;core/src/main/java/org/elasticsearch/index/mapper/core/LegacyTokenCountFieldMapper.java;149;178
53;17;plugins/lang-python/build.gradle;2019;2035
53;17;plugins/ingest-attachment/build.gradle;2019;2035
53;17;plugins/mapper-attachments/build.gradle;2019;2035
54;17;modules/lang-painless/src/main/java/org/elasticsearch/painless/AnalyzerCaster.java;262;282
55;17;modules/lang-painless/src/main/java/org/elasticsearch/painless/AnalyzerCaster.java;321;341
56;17;modules/lang-painless/src/main/java/org/elasticsearch/painless/AnalyzerCaster.java;78;98
57;17;modules/aggs-matrix-stats/src/main/java/org/elasticsearch/search/aggregations/support/MultiValuesSourceAggregationBuilder.java;163;202
57;17;core/src/main/java/org/elasticsearch/search/aggregations/support/ValuesSourceAggregationBuilder.java;163;202
58;17;core/src/main/java/org/elasticsearch/search/MultiValueMode.java;585;606
59;17;core/src/main/java/org/elasticsearch/search/aggregations/metrics/percentiles/tdigest/InternalTDigestPercentileRanks.java;44;72
59;17;core/src/main/java/org/elasticsearch/search/aggregations/metrics/percentiles/hdr/InternalHDRPercentileRanks.java;44;72
60;17;core/src/main/java/org/elasticsearch/cluster/routing/allocation/command/AllocateStalePrimaryAllocationCommand.java;89;109
