System;System element;Type;Depth;Weight;LINES_OF_CODE;DUPLICATION;CODE_BREAKDOWN;CODE_BREAKDOWN Rating;DEPLOYMENT_BREAKDOWN;DEPLOYMENT_BREAKDOWN Rating;INTER_COMPONENT_DUPLICATION;INTER_COMPONENT_DUPLICATION Rating;SHARED_CODE;SHARED_CODE Rating;SHARED_DEPENDENCIES;SHARED_DEPENDENCIES Rating;COMMUNICATION_CENTRALIZATION;COMMUNICATION_CENTRALIZATION Rating;INTERFACE_CENTRALIZATION;INTERFACE_CENTRALIZATION Rating;DATA_STORE_ENCAPSULATION;DATA_STORE_ENCAPSULATION Rating;COMPONENT_COHESION;COMPONENT_COHESION Rating;USAGE_COHESION;USAGE_COHESION Rating;INCOMING_DEPENDENCIES;INCOMING_DEPENDENCIES Rating;OUTGOING_DEPENDENCIES;OUTGOING_DEPENDENCIES Rating;COMMUNICATION_COMPLEXITY;COMMUNICATION_COMPLEXITY Rating;STATELESSNESS;STATELESSNESS Rating;ASYNCHRONOUS_COMMUNICATION;ASYNCHRONOUS_COMMUNICATION Rating;COMMUNICATION_BOTTLENECKS;COMMUNICATION_BOTTLENECKS Rating;DATA_STORE_SCALABILITY;DATA_STORE_SCALABILITY Rating;TECHNOLOGY_COHESION;TECHNOLOGY_COHESION Rating;CBA Rating;SOA Rating;CLOUD_NATIVENESS Rating;ARCHITECTURE_MAINTAINABILITY Rating;ID;Parent ID
opensource-elasticsearch;opensource-elasticsearch;SystemLevel;;332600.0;332600.0;6.6;2219.0;2.2;662414.0;0.6;3.6;5.2;100.0;0.5;16.0;3.8;92.8;0.9;;;8.0;3.4;0.9;4.4;;;1857.0;5.4;1861.0;5.4;0.0;5.5;0.0;5.5;;;100.0;0.6;3.0;;1.0;3.5;4.2;2.1;3.0;3.1;6ccb261f-eca8-4f99-9905-8fe430cdda76;6ccb261f-eca8-4f99-9905-8fe430cdda76
opensource-elasticsearch;REMAINDER;CodeComponent;1L;1393.0;1393.0;13.6;1393.0;1.9;;;0.0;5.5;;;;;;;;;;;;;;;0.0;5.5;0.0;5.5;;;;;;;;;;;;;;;;;cac36cc5-5c14-4a52-856b-a4e5c74592e1;cac36cc5-5c14-4a52-856b-a4e5c74592e1
opensource-elasticsearch;aggs-matrix-stats;CodeComponent;2;1304.0;1304.0;6.4;5.0;5.5;;;6.0;3.3;;;;;1.9;1.7;;;;;0.1;0.9;;;0.0;5.5;57.0;1.4;;;;;;;;;;;;;;;;;57c01c58-7319-42f9-8237-abf6e9899cfa;dc6c4d6f-bdd2-41ca-9bba-d4f22f5a255c 4aca199b-9dd9-45ed-8116-b72d594ceda7 57c01c58-7319-42f9-8237-abf6e9899cfa 1f8a9a48-6bba-4c13-9d57-10d1778bd82d
opensource-elasticsearch;analysis-icu;CodeComponent;2;551.0;551.0;0.0;12.0;5.5;;;0.0;5.5;;;;;27.2;3.4;;;;;0.0;0.5;;;0.0;5.5;30.0;2.1;;;;;;;;;;;;;;;;;65560cc1-6b7a-40b0-979b-cf58e50e656d;c000ae61-445b-4573-8c25-3a404c288ca4 433a7219-8c61-4935-8d46-a26f723f21e5 4aca199b-9dd9-45ed-8116-b72d594ceda7 65560cc1-6b7a-40b0-979b-cf58e50e656d
opensource-elasticsearch;analysis-kuromoji;CodeComponent;2;304.0;304.0;3.0;11.0;5.5;;;3.0;3.8;;;;;3.6;1.9;;;;;0.0;0.5;;;0.0;5.5;40.0;1.8;;;;;;;;;;;;;;;;;2c510fca-2500-4f88-85d3-3a4269689b37;c000ae61-445b-4573-8c25-3a404c288ca4 433a7219-8c61-4935-8d46-a26f723f21e5 4aca199b-9dd9-45ed-8116-b72d594ceda7 2c510fca-2500-4f88-85d3-3a4269689b37
opensource-elasticsearch;analysis-phonetic;CodeComponent;2;546.0;546.0;0.0;12.0;5.5;;;0.0;5.5;;;;;77.5;4.6;;;;;0.3;1.8;;;0.0;5.5;7.0;3.3;;;;;;;;;;;;;;;;;4bd20b63-c03e-4be9-b005-97cfdf1ee438;c000ae61-445b-4573-8c25-3a404c288ca4 433a7219-8c61-4935-8d46-a26f723f21e5 4aca199b-9dd9-45ed-8116-b72d594ceda7 4bd20b63-c03e-4be9-b005-97cfdf1ee438
opensource-elasticsearch;analysis-smartcn;CodeComponent;2;88.0;88.0;0.0;11.0;5.5;;;0.0;5.5;;;;;12.5;2.7;;;;;0.0;0.5;;;0.0;5.5;15.0;2.5;;;;;;;;;;;;;;;;;a82f41aa-e56a-4c22-89fd-df198e5aca2a;c000ae61-445b-4573-8c25-3a404c288ca4 433a7219-8c61-4935-8d46-a26f723f21e5 4aca199b-9dd9-45ed-8116-b72d594ceda7 a82f41aa-e56a-4c22-89fd-df198e5aca2a
opensource-elasticsearch;analysis-stempel;CodeComponent;2;79.0;79.0;0.0;11.0;5.5;;;0.0;5.5;;;;;13.9;2.7;;;;;0.2;1.2;;;0.0;5.5;11.0;2.9;;;;;;;;;;;;;;;;;87e89aa2-1017-48f7-9858-e23a7cb2b9b2;c000ae61-445b-4573-8c25-3a404c288ca4 433a7219-8c61-4935-8d46-a26f723f21e5 4aca199b-9dd9-45ed-8116-b72d594ceda7 87e89aa2-1017-48f7-9858-e23a7cb2b9b2
opensource-elasticsearch;benchmarks;CodeComponent;1;257.0;257.0;0.0;54.0;5.5;;;0.0;5.5;;;;;21.0;3.1;;;;;0.0;0.5;;;0.0;5.5;27.0;2.2;;;;;;;;;;;;;;;;;82705730-018c-4d11-a1bd-8bccc78bf1b9;dd8ef62c-582f-4a67-bc33-005a1fb509c3 4aca199b-9dd9-45ed-8116-b72d594ceda7 82705730-018c-4d11-a1bd-8bccc78bf1b9
opensource-elasticsearch;buildSrc;CodeComponent;1L;111.0;111.0;0.0;111.0;4.0;;;0.0;5.5;;;;;;;;;;;;;;;0.0;5.5;0.0;5.5;;;;;;;;;;;;;;;;;d93b09a0-4887-47bc-807c-5b7d55ebccea;d93b09a0-4887-47bc-807c-5b7d55ebccea 4aca199b-9dd9-45ed-8116-b72d594ceda7 4e26e11e-9cd8-4795-afa4-f8d60fdb45a3
