Source;Source top level component;Target;Target top level component;Dependency type
REMAINDER::CodeComponent;REMAINDER;.circleci/config.yml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;.github/stale.yml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;appveyor.yml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/app/atom_content_client.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/app/atom_library_main.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/app/atom_main.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/app/atom_main_delegate.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/app/node_main.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/app/uv_task_runner.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_app.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_auto_updater.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_browser_view.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_cookies.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_debugger.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_desktop_capturer.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_download_item.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_global_shortcut.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_menu.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_menu_mac.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_menu_views.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_net.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_notification.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_power_monitor.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_power_save_blocker.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_protocol.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_render_process_preferences.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_screen.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_session.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_system_preferences.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_tray.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_url_request.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_web_contents.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_web_request.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/atom_api_window.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/event.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/event_emitter.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/frame_subscriber.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/save_page_handler.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/api/trackable_object.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/atom_access_token_store.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/atom_blob_reader.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/atom_browser_client.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/atom_browser_context.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/atom_browser_main_parts.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/atom_download_manager_delegate.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;atom/browser/atom_javascript_dialog_manager.h;REMAINDER;CONTAINS
