ID;Length;File;Start line;End line
0;52;.circleci/config.yml;181;232
1;27;atom/browser/native_window_mac.h;82;108
1;27;atom/browser/native_window_views.h;82;108
2;18;tools/posix/generate_breakpad_symbols.py;167;189
2;18;tools/win/generate_breakpad_symbols.py;167;189
3;17;atom/browser/native_window_mac.h;56;72
3;17;atom/browser/native_window_views.h;56;72
4;16;brightray/browser/permission_manager.h;37;53
4;16;atom/browser/atom_permission_manager.h;37;53
5;15;atom/browser/atom_browser_client.h;66;80
5;15;atom/browser/api/atom_api_app.h;66;80
6;13;tools/posix/generate_breakpad_symbols.py;203;221
6;13;tools/win/generate_breakpad_symbols.py;203;221
7;12;brightray/browser/network_delegate.h;80;91
7;12;atom/browser/net/atom_network_delegate.h;80;91
8;12;brightray/browser/permission_manager.h;22;33
8;12;atom/browser/atom_permission_manager.h;22;33
9;11;spec/fixtures/api/close-beforeunload-false.html;1;12
9;11;spec/fixtures/api/beforeunload-false.html;1;12
10;11;tools/posix/generate_breakpad_symbols.py;27;39
10;11;tools/win/generate_breakpad_symbols.py;27;39
11;10;spec/fixtures/api/close-beforeunload-false.html;1;11
11;10;spec/fixtures/api/beforeunload-false.html;1;11
11;10;spec/fixtures/api/close-beforeunload-empty-string.html;1;11
12;10;spec/fixtures/api/isolated-preload.js;13;22
13;10;brightray/browser/inspectable_web_contents_view_mac.h;21;31
13;10;brightray/browser/views/inspectable_web_contents_view_views.h;21;31
14;9;atom/browser/bridge_task_runner.h;27;36
14;9;atom/app/uv_task_runner.h;27;36
15;9;spec/fixtures/pages/window-opener-no-node-integration.html;6;15
15;9;spec/fixtures/pages/window-opener-no-webview-tag.html;6;15
16;9;spec/fixtures/pages/webview-guest-resize.html;11;20
16;9;spec/fixtures/pages/webview-no-guest-resize.html;11;20
17;8;atom/browser/ui/message_box.h;39;46
18;8;spec/fixtures/api/crash-restart.html;8;15
19;8;spec/fixtures/api/frame-subscriber.html;1;8
19;8;spec/fixtures/api/offscreen-rendering.html;1;8
20;8;atom/browser/atom_web_ui_controller_factory.h;24;32
20;8;brightray/browser/web_ui_controller_factory.h;24;32
