Source;Source top level component;Target;Target top level component;Dependency type
DB::DataStore;;thumbnails::DataStoreEntity;;STORES
REMAINDER::CodeComponent;REMAINDER;.gitlab/route-map.yml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/activities.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/ajax_loading_spinner.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/api.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/autosave.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/awards_handler.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/behaviors/autosize.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/behaviors/bind_in_out.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/behaviors/copy_as_gfm.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/behaviors/copy_to_clipboard.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/behaviors/details_behavior.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/behaviors/gl_emoji.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/behaviors/index.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/behaviors/quick_submit.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/behaviors/requires_input.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/behaviors/secret_values.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/behaviors/toggler_behavior.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob/3d_viewer/index.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob/3d_viewer/mesh_object.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob/balsamiq/balsamiq_viewer.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob/balsamiq_viewer.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob/blob_file_dropzone.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob/blob_fork_suggestion.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob/blob_line_permalink_updater.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob/file_template_mediator.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob/file_template_selector.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob/notebook/index.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob/notebook_viewer.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob/pdf/index.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob/pdf_viewer.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob/sketch/index.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob/sketch_viewer.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob/stl_viewer.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob/template_selector.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob/template_selectors/ci_yaml_selector.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob/template_selectors/dockerfile_selector.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob/template_selectors/gitignore_selector.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob/template_selectors/license_selector.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob/template_selectors/type_selector.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob/viewer/index.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob_edit/blob_bundle.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/blob_edit/edit_blob.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/boards/boards_bundle.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/boards/components/board.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/boards/components/board_blank_state.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/boards/components/board_delete.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/boards/components/board_list.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/boards/components/board_new_issue.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/boards/components/board_sidebar.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/boards/components/issue_card_inner.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/boards/components/modal/empty_state.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/boards/components/modal/filters.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/boards/components/modal/footer.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;app/assets/javascripts/boards/components/modal/header.js;REMAINDER;CONTAINS
