ID;Length;File;Start line;End line
0;47;public/422.html;6;71
0;47;public/503.html;6;71
0;47;public/502.html;6;71
0;47;public/500.html;6;71
1;29;public/deploy.html;6;44
1;29;public/422.html;6;44
1;29;public/503.html;6;44
1;29;public/502.html;6;44
1;29;public/500.html;6;44
2;25;config/locales/de.yml;222;246
2;25;config/locales/en.yml;222;246
3;23;spec/javascripts/sidebar/mock_data.js;24;49
4;22;spec/javascripts/sidebar/mock_data.js;99;122
5;21;config/locales/de.yml;226;246
5;21;config/locales/en.yml;226;246
5;21;config/locales/es.yml;226;246
6;18;spec/javascripts/groups/mock_data.js;54;71
7;17;config/prometheus/additional_metrics.yml;11;27
8;16;app/assets/javascripts/boards/components/modal/header.js;9;24
8;16;app/assets/javascripts/boards/components/modal/index.js;9;24
9;15;spec/javascripts/environments/mock_data.js;35;49
10;14;public/502.html;76;91
10;14;public/500.html;76;91
10;14;public/503.html;76;91
11;14;spec/javascripts/notes/mock_data.js;210;223
12;13;spec/javascripts/notes/mock_data.js;374;386
13;13;app/assets/javascripts/blob/template_selectors/dockerfile_selector.js;13;28
13;13;app/assets/javascripts/blob/template_selectors/gitignore_selector.js;13;28
13;13;app/assets/javascripts/blob/template_selectors/ci_yaml_selector.js;13;28
14;13;spec/javascripts/notes/mock_data.js;229;241
15;13;spec/javascripts/pipelines/graph/mock_data.js;90;102
16;13;spec/javascripts/pipelines/graph/mock_data.js;132;144
17;13;spec/javascripts/environments/mock_data.js;17;29
18;13;spec/javascripts/pipelines/graph/mock_data.js;33;45
19;12;public/404.html;53;71
19;12;public/422.html;53;71
19;12;public/503.html;53;71
19;12;public/502.html;53;71
19;12;public/500.html;53;71
20;12;spec/fixtures/config/kubeconfig.yml;8;19
20;12;spec/fixtures/config/kubeconfig-without-ca.yml;8;19
21;12;public/404.html;78;92
21;12;public/422.html;78;92
22;12;config/locales/de.yml;189;200
22;12;config/locales/es.yml;189;200
23;12;spec/javascripts/environments/mock_data.js;19;30
24;11;public/404.html;79;91
24;11;public/422.html;79;91
24;11;public/503.html;79;91
24;11;public/502.html;79;91
24;11;public/500.html;79;91
25;11;app/assets/javascripts/gfm_auto_complete.js;193;205
26;11;spec/javascripts/environments/mock_data.js;55;65
27;11;app/assets/javascripts/boards/components/board_sidebar.js;103;113
27;11;app/assets/javascripts/sidebar/components/assignees/sidebar_assignees.js;103;113
28;11;app/assets/javascripts/diff_notes/components/comment_resolve_btn.js;14;25
28;11;app/assets/javascripts/diff_notes/components/resolve_discussion_btn.js;14;25
29;10;spec/javascripts/notes/mock_data.js;62;71
30;10;app/assets/javascripts/blob/template_selectors/gitignore_selector.js;13;24
