Source;Source top level component;Target;Target top level component;Dependency type
REMAINDER::CodeComponent;REMAINDER;gradle/javadocStyleSheet.css;REMAINDER;CONTAINS
com.hystrix.junit::CodeComponent;hystrix-junit;hystrix-contrib/hystrix-junit/src/main/java/com/hystrix/junit/HystrixRequestContextRule.java;hystrix-junit;CONTAINS
com.hystrix.junit::CodeComponent;hystrix-junit;hystrix-contrib/hystrix-junit/src/main/java/com/hystrix/junit/HystrixRequestContextRule.java;hystrix-junit;CONTAINS
com.netflix.hystrix.collapser::CodeComponent;hystrix-core;hystrix-core/src/main/java/com/netflix/hystrix/collapser/CollapsedRequestSubject.java;hystrix-core;CONTAINS
com.netflix.hystrix.collapser::CodeComponent;hystrix-core;hystrix-core/src/main/java/com/netflix/hystrix/collapser/CollapsedRequestSubject.java;hystrix-core;CONTAINS
com.netflix.hystrix.collapser::CodeComponent;hystrix-core;hystrix-core/src/main/java/com/netflix/hystrix/collapser/CollapserTimer.java;hystrix-core;CONTAINS
com.netflix.hystrix.collapser::CodeComponent;hystrix-core;hystrix-core/src/main/java/com/netflix/hystrix/collapser/CollapserTimer.java;hystrix-core;CONTAINS
com.netflix.hystrix.collapser::CodeComponent;hystrix-core;hystrix-core/src/main/java/com/netflix/hystrix/collapser/HystrixCollapserBridge.java;hystrix-core;CONTAINS
com.netflix.hystrix.collapser::CodeComponent;hystrix-core;hystrix-core/src/main/java/com/netflix/hystrix/collapser/HystrixCollapserBridge.java;hystrix-core;CONTAINS
com.netflix.hystrix.collapser::CodeComponent;hystrix-core;hystrix-core/src/main/java/com/netflix/hystrix/collapser/RealCollapserTimer.java;hystrix-core;CONTAINS
com.netflix.hystrix.collapser::CodeComponent;hystrix-core;hystrix-core/src/main/java/com/netflix/hystrix/collapser/RealCollapserTimer.java;hystrix-core;CONTAINS
com.netflix.hystrix.collapser::CodeComponent;hystrix-core;hystrix-core/src/main/java/com/netflix/hystrix/collapser/RequestBatch.java;hystrix-core;CONTAINS
com.netflix.hystrix.collapser::CodeComponent;hystrix-core;hystrix-core/src/main/java/com/netflix/hystrix/collapser/RequestBatch.java;hystrix-core;CONTAINS
com.netflix.hystrix.collapser::CodeComponent;hystrix-core;hystrix-core/src/main/java/com/netflix/hystrix/collapser/RequestCollapser.java;hystrix-core;CONTAINS
com.netflix.hystrix.collapser::CodeComponent;hystrix-core;hystrix-core/src/main/java/com/netflix/hystrix/collapser/RequestCollapser.java;hystrix-core;CONTAINS
com.netflix.hystrix.collapser::CodeComponent;hystrix-core;hystrix-core/src/main/java/com/netflix/hystrix/collapser/RequestCollapserFactory.java;hystrix-core;CONTAINS
com.netflix.hystrix.collapser::CodeComponent;hystrix-core;hystrix-core/src/main/java/com/netflix/hystrix/collapser/RequestCollapserFactory.java;hystrix-core;CONTAINS
