System;System element;Type;Depth;Weight;LINES_OF_CODE;DUPLICATION;CODE_BREAKDOWN;CODE_BREAKDOWN Rating;DEPLOYMENT_BREAKDOWN;DEPLOYMENT_BREAKDOWN Rating;INTER_COMPONENT_DUPLICATION;INTER_COMPONENT_DUPLICATION Rating;SHARED_CODE;SHARED_CODE Rating;SHARED_DEPENDENCIES;SHARED_DEPENDENCIES Rating;COMMUNICATION_CENTRALIZATION;COMMUNICATION_CENTRALIZATION Rating;INTERFACE_CENTRALIZATION;INTERFACE_CENTRALIZATION Rating;DATA_STORE_ENCAPSULATION;DATA_STORE_ENCAPSULATION Rating;COMPONENT_COHESION;COMPONENT_COHESION Rating;USAGE_COHESION;USAGE_COHESION Rating;INCOMING_DEPENDENCIES;INCOMING_DEPENDENCIES Rating;OUTGOING_DEPENDENCIES;OUTGOING_DEPENDENCIES Rating;COMMUNICATION_COMPLEXITY;COMMUNICATION_COMPLEXITY Rating;STATELESSNESS;STATELESSNESS Rating;ASYNCHRONOUS_COMMUNICATION;ASYNCHRONOUS_COMMUNICATION Rating;COMMUNICATION_BOTTLENECKS;COMMUNICATION_BOTTLENECKS Rating;DATA_STORE_SCALABILITY;DATA_STORE_SCALABILITY Rating;TECHNOLOGY_COHESION;TECHNOLOGY_COHESION Rating;CBA Rating;SOA Rating;CLOUD_NATIVENESS Rating;ARCHITECTURE_MAINTAINABILITY Rating;ID;Parent ID
opensource-hystrix;opensource-hystrix;SystemLevel;;13794.0;13794.0;8.6;1398.0;5.2;13075.0;3.3;3.8;5.4;0.0;5.5;0.0;5.5;5.4;1.5;;;;;1.0;5.2;;;27.0;5.4;27.0;5.2;0.0;5.5;0.0;5.5;;;;;;;1.4;2.6;4.8;4.2;5.5;4.8;7ec88851-ae1a-44dc-9589-a717fd5f8a11;7ec88851-ae1a-44dc-9589-a717fd5f8a11
opensource-hystrix;REMAINDER;CodeComponent;1L;34.0;34.0;0.0;34.0;5.5;;;0.0;5.5;;;;;;;;;;;;;;;0.0;5.5;0.0;5.5;;;;;;;;;;;;;;;;;62da51a9-ff8a-4807-9daa-9551d548028b;62da51a9-ff8a-4807-9daa-9551d548028b
opensource-hystrix;com.hystrix.junit;CodeComponent;2L;26.0;26.0;0.0;26.0;5.5;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;0.0;5.5;2.0;4.1;;;;;;;;;;;;;;;;;8bf1dc77-7064-4bb0-b674-386c15d5d77c;8bf1dc77-7064-4bb0-b674-386c15d5d77c 29e296e9-4c2f-452a-a92b-bc1b2869802a
opensource-hystrix;com.netflix.hystrix;CodeComponent;2L;5078.0;5078.0;8.4;5078.0;1.3;;;4.3;3.6;;;;;13.1;2.7;;;;;;;;;216.0;1.0;112.0;1.2;;;;;;;;;;;;;;;;;6276c4e9-0ea3-4e80-ac2c-0d1a37fb8d32;f3e5ac33-b3d1-4afb-97bc-b6fe2adcd3a0 6276c4e9-0ea3-4e80-ac2c-0d1a37fb8d32 7ded05fb-8b4e-41db-80ad-fbaf039d8286
opensource-hystrix;com.netflix.hystrix.collapser;CodeComponent;2L;513.0;513.0;0.0;513.0;2.4;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;10.0;2.5;20.0;2.3;;;;;;;;;;;;;;;;;ec184aca-5c90-4fc1-bbf3-98ebcdee7a2c;f3e5ac33-b3d1-4afb-97bc-b6fe2adcd3a0 ec184aca-5c90-4fc1-bbf3-98ebcdee7a2c 7ded05fb-8b4e-41db-80ad-fbaf039d8286
opensource-hystrix;com.netflix.hystrix.config;CodeComponent;2L;536.0;536.0;2.2;536.0;2.4;;;2.2;4.0;;;;;0.0;0.5;;;;;;;;;4.0;3.3;21.0;2.3;;;;;;;;;;;;;;;;;30dfef67-1705-4c41-beb1-3cea8f26b74b;f3e5ac33-b3d1-4afb-97bc-b6fe2adcd3a0 30dfef67-1705-4c41-beb1-3cea8f26b74b 7ded05fb-8b4e-41db-80ad-fbaf039d8286
opensource-hystrix;com.netflix.hystrix.dashboard.stream;CodeComponent;2L;255.0;255.0;0.0;255.0;3.0;;;0.0;5.5;;;;;;;;;;;;;;;0.0;5.5;0.0;5.5;;;;;;;;;;;;;;;;;798c0f1e-7227-4093-b7de-bf0a546525c9;55c33c16-7707-466a-a35e-e3d8e32224c4 f08ed6f5-0516-4cea-888c-7791e9d23bc3 798c0f1e-7227-4093-b7de-bf0a546525c9
opensource-hystrix;com.netflix.hystrix.exception;CodeComponent;2L;57.0;57.0;0.0;57.0;5.5;;;0.0;5.5;;;;;7.0;2.3;;;;;;;;;15.0;2.3;6.0;3.5;;;;;;;;;;;;;;;;;7bb5c843-5a9b-4ef2-ab32-b7301d501750;f3e5ac33-b3d1-4afb-97bc-b6fe2adcd3a0 7ded05fb-8b4e-41db-80ad-fbaf039d8286 7bb5c843-5a9b-4ef2-ab32-b7301d501750
opensource-hystrix;com.netflix.hystrix.metric;CodeComponent;2L;833.0;833.0;5.3;833.0;2.2;;;2.6;3.9;;;;;13.9;2.7;;;;;;;;;42.0;1.8;29.0;2.1;;;;;;;;;;;;;;;;;066ff833-7d37-422a-9803-38af21337d5c;066ff833-7d37-422a-9803-38af21337d5c f3e5ac33-b3d1-4afb-97bc-b6fe2adcd3a0 7ded05fb-8b4e-41db-80ad-fbaf039d8286
opensource-hystrix;com.netflix.hystrix.metric.consumer;CodeComponent;2L;1074.0;1074.0;16.6;1074.0;2.1;;;9.1;2.9;;;;;0.0;0.5;;;;;;;;;13.0;2.4;78.0;1.3;;;;;;;;;;;;;;;;;66f5088e-cba9-4728-a770-3b73b07f7998;f3e5ac33-b3d1-4afb-97bc-b6fe2adcd3a0 7ded05fb-8b4e-41db-80ad-fbaf039d8286 66f5088e-cba9-4728-a770-3b73b07f7998
