Source;Source top level component;Target;Target top level component;Dependency type
DB::DataStore;;ControlEvent::DataStoreEntity;;STORES
DB::DataStore;;collection::DataStoreEntity;;STORES
DB::DataStore;;system::DataStoreEntity;;STORES
REMAINDER::CodeComponent;REMAINDER;buildscripts/aggregate_tracefiles.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;buildscripts/buildlogger.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;buildscripts/clang_format.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;buildscripts/cleanbb.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;buildscripts/cpplint.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;buildscripts/errorcodes.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;buildscripts/eslint.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;buildscripts/generate_compile_expansions.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;buildscripts/hang_analyzer.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;buildscripts/lint.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;buildscripts/make_archive.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;buildscripts/make_vcxproj.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;buildscripts/moduleconfig.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;buildscripts/msitrim.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;buildscripts/packager-enterprise.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;buildscripts/packager.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;buildscripts/resmoke.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;buildscripts/scons.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;buildscripts/setup_multiversion_mongodb.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;buildscripts/smoke.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;buildscripts/utils.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;etc/distributed_correctness.yml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;etc/evergreen.yml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;etc/format_sample.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;etc/longevity.yml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;etc/perf.yml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;etc/repo_config.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;etc/system_perf.yml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/cond.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/firstlast.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/ifnull.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/lookup_unwind_getmore.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/match.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server10176.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server10530.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server11118.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server11675.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server12015.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server13715.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server14421.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server14691.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server14872.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server14969.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server15810.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server17224.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server17943.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server18198.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server18222.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server18427.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server19095.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server19548.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server20168.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server3253.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server3832.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server4588.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server4589.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server4638.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server4656.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server4738.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server4899.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server5012.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server5044.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server5209.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server533.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server5782.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server5932.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server5973.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server6045.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server6074.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server6118.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server6120.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server6121.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server6125.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server6127.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server6131.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server6143.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server6147.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server6165.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server6177.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server6179.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server6181.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server6184.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server6185.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server6186.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server6189.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server6190.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server6192_server6193.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server6194.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;jstests/aggregation/bugs/server6195.js;REMAINDER;CONTAINS
