ID;Length;File;Start line;End line
0;214;jstests/multiVersion/minor_version_tags_old_new_old.js;14;271
0;214;jstests/multiVersion/minor_version_tags_new_old_new.js;14;271
1;126;jstests/multiVersion/minor_version_tags_old_new_old.js;112;271
1;126;jstests/multiVersion/minor_version_tags_new_old_new.js;112;271
1;126;jstests/replsets/tags.js;112;271
2;83;jstests/multiVersion/minor_version_tags_old_new_old.js;19;110
2;83;jstests/multiVersion/minor_version_tags_new_old_new.js;19;110
2;83;jstests/replsets/tags.js;19;110
3;70;jstests/dur/dur1.js;7;113
3;70;jstests/dur/dur1_tool.js;7;113
4;65;jstests/concurrency/fsm_all_sharded_replication_legacy_config_servers_with_balancer.js;1;90
4;65;jstests/concurrency/fsm_all_sharded_replication_with_balancer.js;1;90
5;62;jstests/concurrency/fsm_all_sharded_replication_legacy_config_servers.js;1;84
5;62;jstests/concurrency/fsm_all_sharded_replication.js;1;84
6;54;jstests/auth/localhostAuthBypass.js;50;111
6;54;jstests/replsets/localhostAuthBypass.js;50;111
7;52;buildscripts/clang_format.py;313;391
7;52;buildscripts/eslint.py;313;391
8;51;src/mongo/s/catalog/replset/catalog_manager_replica_set.h;83;149
8;51;src/mongo/s/catalog/legacy/catalog_manager_legacy.h;83;149
9;49;jstests/sharding/replset_config/batch_write_command_sharded.js;16;93
9;49;jstests/sharding/sync_cluster_config/batch_write_command_sharded.js;16;93
10;49;src/mongo/s/catalog/catalog_manager_mock.h;96;157
10;49;src/mongo/s/catalog/forwarding_catalog_manager.h;96;157
11;48;src/mongo/s/catalog/replset/catalog_manager_replica_set.cpp;483;561
11;48;src/mongo/s/catalog/legacy/catalog_manager_legacy.cpp;483;561
12;46;jstests/dur/dur1.js;7;70
12;46;jstests/dur/dur1_tool.js;7;70
12;46;jstests/dur/manyRestart.js;7;70
13;44;buildscripts/clang_format.py;62;117
13;44;buildscripts/eslint.py;62;117
14;42;jstests/multiVersion/3_upgrade_replset.js;10;78
14;42;jstests/multiVersion/minor_version_upgrade_replset.js;10;78
15;42;jstests/noPassthroughWithMongod/index_no_retry.js;5;76
15;42;jstests/noPassthroughWithMongod/index_retry.js;5;76
16;39;jstests/concurrency/fsm_all_sharded_replication_legacy_config_servers_with_balancer.js;37;80
16;39;jstests/concurrency/fsm_all_sharded_replication_legacy_config_servers.js;37;80
16;39;jstests/concurrency/fsm_all_sharded_replication_with_balancer.js;37;80
16;39;jstests/concurrency/fsm_all_sharded_replication.js;37;80
17;37;jstests/auth/localhostAuthBypass.js;53;91
17;37;jstests/sharding/localhostAuthBypass.js;53;91
17;37;jstests/replsets/localhostAuthBypass.js;53;91
18;37;src/mongo/s/catalog/replset/catalog_manager_replica_set.h;75;121
18;37;src/mongo/s/catalog/forwarding_catalog_manager.h;75;121
19;36;src/mongo/s/catalog/replset/catalog_manager_replica_set.cpp;183;236
19;36;src/mongo/s/catalog/legacy/catalog_manager_legacy.cpp;183;236
20;35;src/mongo/db/commands/explain_cmd.cpp;59;123
20;35;src/mongo/s/commands/cluster_explain_cmd.cpp;59;123
21;35;jstests/replsets/rollback_cmd_unrollbackable.js;12;53
21;35;jstests/replsets/rollback_fake_cmd.js;12;53
22;34;jstests/replsets/rollback_empty_o2.js;12;52
22;34;jstests/replsets/rollback_cmd_unrollbackable.js;12;52
22;34;jstests/replsets/rollback_fake_cmd.js;12;52
22;34;jstests/replsets/rollback_empty_ns.js;12;52
22;34;jstests/replsets/rollback_empty_o.js;12;52
23;34;src/mongo/dbtests/query_stage_merge_sort.cpp;133;179
24;34;jstests/sharding/shard4.js;8;54
24;34;jstests/sharding/shard5.js;8;54
25;33;jstests/sharding/replset_config/batch_write_command_sharded.js;106;172
25;33;jstests/sharding/sync_cluster_config/batch_write_command_sharded.js;106;172
26;32;jstests/replsets/rollback_index.js;12;50
26;32;jstests/replsets/rollback_empty_o2.js;12;50
26;32;jstests/replsets/rollback_cmd_unrollbackable.js;12;50
26;32;jstests/replsets/rollback_fake_cmd.js;12;50
26;32;jstests/replsets/rollback_empty_ns.js;12;50
26;32;jstests/replsets/rollback_empty_o.js;12;50
27;31;jstests/replsets/rollback_cmd_unrollbackable.js;12;48
27;31;jstests/replsets/rollback_index.js;12;48
27;31;jstests/replsets/rollback_different_h.js;12;48
27;31;jstests/replsets/rollback_empty_o2.js;12;48
27;31;jstests/replsets/rollback_fake_cmd.js;12;48
27;31;jstests/replsets/rollback_empty_ns.js;12;48
27;31;jstests/replsets/rollback_empty_o.js;12;48
28;31;src/mongo/scripting/mozjs/proxyscope.h;132;169
28;31;src/mongo/scripting/mozjs/implscope.h;132;169
29;31;src/mongo/s/catalog/forwarding_catalog_manager.h;87;128
29;31;src/mongo/s/catalog/legacy/catalog_manager_legacy.h;87;128
30;31;jstests/multiVersion/downgrade_replset.js;10;51
30;31;jstests/multiVersion/minor_version_downgrade_replset.js;10;51
31;30;jstests/dur/dur1_tool.js;7;47
31;30;jstests/dur/dur1.js;7;47
31;30;jstests/dur/dropdb.js;7;47
31;30;jstests/dur/manyRestart.js;7;47
32;30;buildscripts/packager.py;575;608
32;30;buildscripts/packager-enterprise.py;575;608
33;30;src/mongo/dbtests/query_stage_merge_sort.cpp;213;252
34;30;src/mongo/dbtests/query_stage_merge_sort.cpp;115;156
35;30;src/mongo/base/data_range_cursor.h;48;95
36;29;src/mongo/bson/bsonelement.cpp;449;477
37;29;jstests/sharding/explain_read_pref.js;274;314
37;29;jstests/sharding/read_pref_cmd.js;274;314
