System;System element;Type;Depth;Weight;LINES_OF_CODE;DUPLICATION;CODE_BREAKDOWN;CODE_BREAKDOWN Rating;DEPLOYMENT_BREAKDOWN;DEPLOYMENT_BREAKDOWN Rating;INTER_COMPONENT_DUPLICATION;INTER_COMPONENT_DUPLICATION Rating;SHARED_CODE;SHARED_CODE Rating;SHARED_DEPENDENCIES;SHARED_DEPENDENCIES Rating;COMMUNICATION_CENTRALIZATION;COMMUNICATION_CENTRALIZATION Rating;INTERFACE_CENTRALIZATION;INTERFACE_CENTRALIZATION Rating;DATA_STORE_ENCAPSULATION;DATA_STORE_ENCAPSULATION Rating;COMPONENT_COHESION;COMPONENT_COHESION Rating;USAGE_COHESION;USAGE_COHESION Rating;INCOMING_DEPENDENCIES;INCOMING_DEPENDENCIES Rating;OUTGOING_DEPENDENCIES;OUTGOING_DEPENDENCIES Rating;COMMUNICATION_COMPLEXITY;COMMUNICATION_COMPLEXITY Rating;STATELESSNESS;STATELESSNESS Rating;ASYNCHRONOUS_COMMUNICATION;ASYNCHRONOUS_COMMUNICATION Rating;COMMUNICATION_BOTTLENECKS;COMMUNICATION_BOTTLENECKS Rating;DATA_STORE_SCALABILITY;DATA_STORE_SCALABILITY Rating;TECHNOLOGY_COHESION;TECHNOLOGY_COHESION Rating;CBA Rating;SOA Rating;CLOUD_NATIVENESS Rating;ARCHITECTURE_MAINTAINABILITY Rating;ID;Parent ID
opensource-mongodb;opensource-mongodb;SystemLevel;;394157.0;394157.0;8.9;392542.0;0.5;;;0.0;5.4;;;;;99.6;5.4;;;0.0;5.5;1.0;5.5;;;2.0;5.4;8.0;3.2;0.0;5.5;;;;;;;;;;;4.6;;;4.6;f1efd663-f1fa-4811-896d-9a85c1ebe801;f1efd663-f1fa-4811-896d-9a85c1ebe801
opensource-mongodb;REMAINDER;CodeComponent;1L;392010.0;392010.0;8.9;392010.0;0.5;;;0.0;5.5;;;;;99.6;5.4;;;0.0;5.5;;;;;0.0;5.5;8.0;3.2;;;;;;;;;;;;;;;;;4c5c467d-e4aa-4580-8558-723545f457ec;4c5c467d-e4aa-4580-8558-723545f457ec
opensource-mongodb;buildscripts.resmokeconfig;CodeComponent;1;518.0;518.0;32.4;3.0;5.5;;;13.5;2.4;;;;;;;;;;;1.0;5.5;;;0.0;5.5;0.0;5.5;;;;;;;;;;;;;;;;;5dbe14d9-afc5-485a-b1ca-7ec4452dae21;5dbe14d9-afc5-485a-b1ca-7ec4452dae21
opensource-mongodb;buildscripts.resmokeconfig.loggers;CodeComponent;2L;77.0;77.0;36.4;77.0;4.4;;;26.0;2.1;;;;;;;;;;;;;;;0.0;5.5;0.0;5.5;;;;;;;;;;;;;;;;;93a0e7a2-dff3-43d6-82e8-c8af3112d434;93a0e7a2-dff3-43d6-82e8-c8af3112d434 5dbe14d9-afc5-485a-b1ca-7ec4452dae21
opensource-mongodb;buildscripts.resmokeconfig.suites;CodeComponent;2L;438.0;438.0;32.0;438.0;2.4;;;14.2;2.4;;;;;;;;;;;;;;;0.0;5.5;0.0;5.5;;;;;;;;;;;;;;;;;548384ad-0df0-4802-bf67-c0b77d01f2ef;548384ad-0df0-4802-bf67-c0b77d01f2ef 5dbe14d9-afc5-485a-b1ca-7ec4452dae21
opensource-mongodb;buildscripts.resmokelib;CodeComponent;1;1629.0;1629.0;0.0;529.0;2.4;;;0.0;5.5;;;;;;;;;;;1.0;5.5;;;2.0;3.8;0.0;5.5;;;;;;;;;;;;;;;;;29425bf0-e048-4a97-a3f4-87f4402fa0a7;29425bf0-e048-4a97-a3f4-87f4402fa0a7
opensource-mongodb;buildscripts.resmokelib.core;CodeComponent;2L;392.0;392.0;0.0;392.0;2.4;;;0.0;5.5;;;;;;;;;;;;;;;0.0;5.5;0.0;5.5;;;;;;;;;;;;;;;;;bda4f44e-9916-4b03-aeb6-74330a2caab6;bda4f44e-9916-4b03-aeb6-74330a2caab6 29425bf0-e048-4a97-a3f4-87f4402fa0a7
opensource-mongodb;buildscripts.resmokelib.logging;CodeComponent;2L;436.0;436.0;0.0;436.0;2.4;;;0.0;5.5;;;;;;;;;;;;;;;0.0;5.5;0.0;5.5;;;;;;;;;;;;;;;;;99110721-eaf9-43de-801f-013b4e11c476;99110721-eaf9-43de-801f-013b4e11c476 29425bf0-e048-4a97-a3f4-87f4402fa0a7
opensource-mongodb;buildscripts.resmokelib.utils;CodeComponent;2L;272.0;272.0;0.0;272.0;3.0;;;0.0;5.5;;;;;;;;;;;;;;;2.0;3.8;0.0;5.5;;;;;;;;;;;;;;;;;3a76c94d-6b4b-4c1c-8a57-e73afd121ce1;3a76c94d-6b4b-4c1c-8a57-e73afd121ce1 29425bf0-e048-4a97-a3f4-87f4402fa0a7
opensource-mongodb;DB;DataStore;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9a9372d8-2d40-400f-b03b-71e0738758e2;9a9372d8-2d40-400f-b03b-71e0738758e2
