ID;Length;File;Start line;End line
0;153;src/layer/arm/convolution_3x3.h;821;1051
1;90;src/layer/arm/convolution_3x3.h;1560;1684
2;76;src/layer/arm/convolution_7x7.h;429;517
3;74;src/mat_pixel.cpp;1559;1652
4;69;src/layer/arm/convolution_5x5.h;463;547
4;69;src/layer/x86/convolution_5x5.h;463;547
5;65;src/layer/arm/convolution_3x3.h;1728;1826
6;45;src/mat_pixel.cpp;1318;1373
7;40;src/layer/arm/prelu_arm.cpp;54;106
7;40;src/layer/arm/relu_arm.cpp;54;106
8;39;src/layer/arm/convolution_arm.cpp;42;92
8;39;src/layer/arm/convolutiondepthwise_arm.cpp;42;92
9;37;src/layer/arm/convolution_5x5.h;806;850
9;37;src/layer/x86/convolution_5x5.h;806;850
10;37;src/layer/lrn.cpp;159;227
10;37;src/layer/arm/lrn_arm.cpp;159;227
11;37;src/layer/arm/prelu_arm.cpp;125;179
11;37;src/layer/arm/relu_arm.cpp;125;179
12;35;src/layer/deconvolution.cpp;148;204
12;35;src/layer/convolution.cpp;148;204
12;35;src/layer/innerproduct.cpp;148;204
13;35;src/layer/arm/convolution_3x3.h;63;106
13;35;src/layer/x86/convolution_3x3.h;63;106
14;35;src/layer/x86/sse_mathfun.h;398;445
15;34;src/layer/x86/avx_mathfun.h;401;444
16;34;src/layer/convolution.cpp;218;269
16;34;src/layer/convolutiondepthwise.cpp;218;269
17;31;src/layer/arm/convolution_5x5.h;744;783
18;31;src/layer/arm/pooling_arm.cpp;43;87
18;31;src/layer/pooling.cpp;43;87
19;30;src/layer/arm/convolution_3x3.h;1539;1579
20;30;src/layer/arm/convolution_5x5.h;799;836
21;29;src/layer/arm/eltwise_arm.cpp;79;126
22;28;tools/tensorflow/tensorflow2ncnn.cpp;697;746
23;26;src/layer/arm/convolution_5x5.h;23;61
23;26;src/layer/x86/convolution_5x5.h;23;61
24;26;tools/caffe/caffe2ncnn.cpp;476;525
25;26;src/layer/arm/convolution_5x5.h;593;623
26;25;src/layer/arm/convolution_5x5.h;463;491
26;25;src/layer/x86/convolution_5x5.h;463;491
27;25;src/layer/arm/convolution_5x5.h;128;156
28;25;src/layer/lrn.cpp;159;200
28;25;src/layer/arm/lrn_arm.cpp;159;200
29;25;src/layer/proposal.cpp;60;102
29;25;src/layer/detectionoutput.cpp;60;102
30;25;src/layer/arm/convolution_5x5.h;92;120
31;24;src/mat_pixel.cpp;1379;1411
32;24;src/mat_pixel.cpp;872;898
33;24;src/layer/arm/convolution_arm.cpp;97;131
33;24;src/layer/arm/convolutiondepthwise_arm.cpp;97;131
34;24;src/mat_pixel.cpp;66;92
35;24;src/layer/arm/convolution_3x3.h;464;502
36;24;src/layer/arm/deconvolution_4x4.h;21;60
37;22;src/layer/arm/convolution_1x1.h;29;61
38;22;src/layer/x86/convolution_5x5.h;73;98
39;21;src/layer/x86/convolution_x86.cpp;85;115
39;21;src/layer/arm/convolution_arm.cpp;85;115
39;21;src/layer/arm/convolutiondepthwise_arm.cpp;85;115
40;21;src/layer/arm/convolution_arm.cpp;39;69
40;21;src/layer/arm/pooling_arm.cpp;39;69
40;21;src/layer/arm/convolutiondepthwise_arm.cpp;39;69
41;21;src/mat_pixel.cpp;78;98
42;21;src/mat_pixel.cpp;832;863
43;21;src/mat_pixel.cpp;26;57
44;21;src/layer/softmax.cpp;39;69
44;21;src/layer/arm/softmax_arm.cpp;39;69
45;20;src/mat_pixel.cpp;1657;1688
46;20;src/layer/x86/convolution_5x5.h;76;98
47;19;src/layer/arm/deconvolution_4x4.h;153;177
48;18;src/layer/arm/convolutiondepthwise_arm.cpp;43;69
48;18;src/layer/x86/convolution_x86.cpp;43;69
48;18;src/layer/arm/convolution_arm.cpp;43;69
48;18;src/layer/arm/pooling_arm.cpp;43;69
48;18;src/layer/pooling.cpp;43;69
49;18;src/layer/x86/sse_mathfun.h;417;439
50;18;src/layer/x86/avx_mathfun.h;531;553
51;18;src/mat_pixel.cpp;465;482
52;18;src/layer/arm/deconvolution_3x3.h;27;59
53;18;src/mat_pixel.cpp;194;212
54;18;src/layer/deconvolution.cpp;220;245
54;18;src/layer/deconvolutiondepthwise.cpp;220;245
55;18;src/layer/arm/convolution_3x3.h;112;134
55;18;src/layer/x86/convolution_3x3.h;112;134
56;17;tools/tensorflow/tensorflow2ncnn.cpp;526;553
57;17;src/mat_pixel.cpp;1254;1273
58;17;src/net.cpp;758;791
59;17;src/layer/slice.cpp;34;57
59;17;src/layer/arm/slice_arm.cpp;34;57
60;17;src/layer/batchnorm.cpp;84;103
61;16;src/mat_pixel.cpp;634;659
62;16;src/layer/arm/convolution_3x3.h;647;670
