Source;Source top level component;Target;Target top level component;Dependency type
DB::DataStore;;foo</strong>::DataStoreEntity;;STORES
DB::DataStore;;pg_stat_activity::DataStoreEntity;;STORES
DB::DataStore;;pg_stat_database::DataStoreEntity;;STORES
DB::DataStore;;the::DataStoreEntity;;STORES
REMAINDER::CodeComponent;REMAINDER;node.d/named.node.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;node.d/sma_webbox.node.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;node.d/snmp.node.js;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;profile/benchmark-dictionary.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;profile/benchmark-registry.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;profile/statsd-stress.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/apache.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/apache_cache.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/bind_rndc.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/cpufreq.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/cpuidle.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/dns_query_time.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/dovecot.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/elasticsearch.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/example.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/exim.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/fail2ban.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/freeradius.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/go_expvar.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/haproxy.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/hddtemp.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/ipfs.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/isc_dhcpd.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/mdstat.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/memcached.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/mongodb.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/mysql.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/nginx.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/nsd.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/ovpn_status_log.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/phpfpm.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/postfix.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/postgres.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/rabbitmq.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/redis.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/retroshare.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/samba.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/sensors.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/smartd_log.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/squid.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/tomcat.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/varnish.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;python.d/web_log.chart.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/adaptive_resortable_list.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/adaptive_resortable_list.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/appconfig.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/appconfig.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/apps_plugin.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/avl.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/avl.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/backends.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/backends.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/clocks.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/clocks.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/common.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/common.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/daemon.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/daemon.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/dictionary.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/dictionary.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/eval.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/eval.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/freebsd_devstat.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/freebsd_getifaddrs.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/freebsd_getmntinfo.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/freebsd_kstat_zfs.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/freebsd_sysctl.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/freeipmi_plugin.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/global_statistics.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/global_statistics.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/health.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/health.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/health_config.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/health_json.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/health_log.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/inlined.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/ipc.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/ipc.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/locks.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/log.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/log.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/macos_fw.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/macos_mach_smi.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/macos_sysctl.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/main.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/plugin_checks.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/plugin_checks.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/plugin_freebsd.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/plugin_freebsd.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/plugin_idlejitter.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/plugin_idlejitter.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/plugin_macos.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/plugin_macos.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/plugin_nfacct.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/plugin_nfacct.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/plugin_proc.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/plugin_proc.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/plugin_proc_diskspace.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/plugin_proc_diskspace.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/plugin_tc.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/plugin_tc.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/plugins_d.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/plugins_d.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/popen.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/popen.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/proc_diskstats.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/proc_interrupts.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/proc_loadavg.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/proc_meminfo.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/proc_net_dev.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/proc_net_ip_vs_stats.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/proc_net_netstat.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/proc_net_rpc_nfs.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/proc_net_rpc_nfsd.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/proc_net_snmp.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/proc_net_snmp6.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/proc_net_softnet_stat.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/proc_net_stat_conntrack.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/proc_net_stat_synproxy.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/proc_self_mountinfo.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/proc_self_mountinfo.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/proc_softirqs.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/proc_spl_kstat_zfs.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/proc_stat.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/proc_sys_kernel_random_entropy_avail.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/proc_uptime.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;src/proc_vmstat.c;REMAINDER;CONTAINS
