ID;Length;File;Start line;End line
0;633;web/css/bootstrap-3.3.7.css;201;1130
0;633;web/css/bootstrap-slate-flat-3.3.7.css;201;1130
1;298;web/css/bootstrap-3.3.7.css;3055;3401
1;298;web/css/bootstrap-slate-flat-3.3.7.css;3055;3401
2;209;src/common.c;331;539
3;192;python.d/python_modules/pyyaml2/scanner.py;284;694
3;192;python.d/python_modules/pyyaml3/scanner.py;284;694
4;185;web/dashboard.css;364;622
4;185;web/dashboard.slate.css;364;622
5;184;python.d/python_modules/pyyaml3/parser.py;361;587
5;184;python.d/python_modules/pyyaml2/parser.py;361;587
6;158;web/css/bootstrap-3.3.7.css;6519;6754
6;158;web/css/bootstrap-slate-flat-3.3.7.css;6519;6754
7;121;web/css/bootstrap-3.3.7.css;5310;5454
7;121;web/css/bootstrap-slate-flat-3.3.7.css;5310;5454
8;105;web/css/bootstrap-3.3.7.css;1187;1308
8;105;web/css/bootstrap-slate-flat-3.3.7.css;1187;1308
9;104;web/css/bootstrap-3.3.7.css;1777;1931
9;104;web/css/bootstrap-slate-flat-3.3.7.css;1777;1931
10;104;web/css/bootstrap-3.3.7.css;1935;2089
10;104;web/css/bootstrap-slate-flat-3.3.7.css;1935;2089
11;104;web/css/bootstrap-3.3.7.css;2093;2247
11;104;web/css/bootstrap-slate-flat-3.3.7.css;2093;2247
12;103;web/css/bootstrap-3.3.7.css;1621;1774
12;103;web/css/bootstrap-slate-flat-3.3.7.css;1621;1774
13;102;python.d/python_modules/pyyaml3/parser.py;81;221
13;102;python.d/python_modules/pyyaml2/parser.py;81;221
14;96;web/css/bootstrap-3.3.7.css;2337;2442
14;96;web/css/bootstrap-slate-flat-3.3.7.css;2337;2442
15;95;python.d/python_modules/pyyaml2/__init__.py;180;284
15;95;python.d/python_modules/pyyaml3/__init__.py;180;284
16;87;python.d/python_modules/pyyaml3/serializer.py;15;110
16;87;python.d/python_modules/pyyaml2/serializer.py;15;110
17;87;web/css/bootstrap-3.3.7.css;1312;1431
17;87;web/css/bootstrap-slate-flat-3.3.7.css;1312;1431
18;85;python.d/python_modules/pyyaml2/__init__.py;19;111
18;85;python.d/python_modules/pyyaml3/__init__.py;19;111
19;82;python.d/python_modules/pyyaml3/constructor.py;294;383
19;82;python.d/python_modules/pyyaml2/constructor.py;294;383
20;79;python.d/python_modules/pyyaml2/tokens.py;2;103
20;79;python.d/python_modules/pyyaml3/tokens.py;2;103
21;76;web/dashboard.css;149;243
21;76;web/dashboard.slate.css;149;243
22;74;web/css/bootstrap-3.3.7.css;5576;5658
22;74;web/css/bootstrap-slate-flat-3.3.7.css;5576;5658
23;70;web/dashboard_info.js;1011;1084
24;67;python.d/python_modules/pyyaml3/events.py;4;85
24;67;python.d/python_modules/pyyaml2/events.py;4;85
25;67;python.d/python_modules/pyyaml3/constructor.py;17;92
25;67;python.d/python_modules/pyyaml2/constructor.py;17;92
26;62;python.d/python_modules/pyyaml3/cyaml.py;2;84
26;62;python.d/python_modules/pyyaml2/cyaml.py;2;84
27;61;src/proc_net_rpc_nfs.c;62;128
27;61;src/proc_net_rpc_nfsd.c;62;128
28;60;web/css/bootstrap-3.3.7.css;2254;2327
28;60;web/css/bootstrap-slate-flat-3.3.7.css;2254;2327
29;57;web/css/bootstrap-3.3.7.css;4845;4917
29;57;web/css/bootstrap-slate-flat-3.3.7.css;4845;4917
30;54;python.d/python_modules/pyyaml2/emitter.py;482;543
30;54;python.d/python_modules/pyyaml3/emitter.py;482;543
31;53;web/css/bootstrap-3.3.7.css;2900;2968
31;53;web/css/bootstrap-slate-flat-3.3.7.css;2900;2968
32;51;web/css/bootstrap-3.3.7.css;4300;4367
32;51;web/css/bootstrap-slate-flat-3.3.7.css;4300;4367
33;51;web/dashboard.css;626;702
33;51;web/dashboard.slate.css;626;702
34;50;python.d/python_modules/pyyaml2/emitter.py;93;161
34;50;python.d/python_modules/pyyaml3/emitter.py;93;161
35;49;web/demosites.html;1216;1277
35;49;web/infographic.html;1216;1277
36;49;python.d/python_modules/pyyaml2/dumper.py;2;61
36;49;python.d/python_modules/pyyaml3/dumper.py;2;61
37;49;python.d/python_modules/pyyaml3/parser.py;237;305
37;49;python.d/python_modules/pyyaml2/parser.py;237;305
38;48;python.d/python_modules/pyyaml3/constructor.py;547;612
38;48;python.d/python_modules/pyyaml2/constructor.py;547;612
39;48;web/css/bootstrap-3.3.7.css;6058;6112
39;48;web/css/bootstrap-slate-flat-3.3.7.css;6058;6112
40;47;src/common.c;283;329
41;46;web/css/bootstrap-3.3.7.css;4378;4438
41;46;web/css/bootstrap-slate-flat-3.3.7.css;4378;4438
42;45;python.d/python_modules/pyyaml2/scanner.py;48;166
42;45;python.d/python_modules/pyyaml3/scanner.py;48;166
43;45;web/css/bootstrap-3.3.7.css;4217;4275
43;45;web/css/bootstrap-slate-flat-3.3.7.css;4217;4275
44;43;web/css/bootstrap-3.3.7.css;4923;4978
44;43;web/css/bootstrap-slate-flat-3.3.7.css;4923;4978
45;41;web/css/bootstrap-3.3.7.css;3851;3898
45;41;web/css/bootstrap-slate-flat-3.3.7.css;3851;3898
46;41;web/css/bootstrap-3.3.7.css;12;62
46;41;web/css/bootstrap-slate-flat-3.3.7.css;12;62
47;41;web/dashboard.css;247;298
47;41;web/dashboard.slate.css;247;298
48;39;python.d/python_modules/pyyaml2/emitter.py;438;480
48;39;python.d/python_modules/pyyaml3/emitter.py;438;480
49;39;web/css/bootstrap-3.3.7.css;2497;2543
49;39;web/css/bootstrap-slate-flat-3.3.7.css;2497;2543
50;38;web/css/bootstrap-3.3.7.css;3645;3691
50;38;web/css/bootstrap-slate-flat-3.3.7.css;3645;3691
51;38;web/dashboard.css;39;110
51;38;web/dashboard.slate.css;39;110
52;38;web/css/bootstrap-3.3.7.css;2446;2491
52;38;web/css/bootstrap-slate-flat-3.3.7.css;2446;2491
53;36;python.d/python_modules/pyyaml2/error.py;34;74
53;36;python.d/python_modules/pyyaml3/error.py;34;74
54;35;web/css/bootstrap-3.3.7.css;1509;1548
54;35;web/css/bootstrap-slate-flat-3.3.7.css;1509;1548
55;35;web/css/bootstrap-3.3.7.css;6455;6492
55;35;web/css/bootstrap-slate-flat-3.3.7.css;6455;6492
56;35;web/css/bootstrap-3.3.7.css;1461;1504
56;35;web/css/bootstrap-slate-flat-3.3.7.css;1461;1504
57;34;web/css/bootstrap-3.3.7.css;4054;4099
57;34;web/css/bootstrap-slate-flat-3.3.7.css;4054;4099
58;34;web/dashboard.css;300;361
58;34;web/dashboard.slate.css;300;361
59;33;python.d/python_modules/pyyaml2/composer.py;13;68
59;33;python.d/python_modules/pyyaml3/composer.py;13;68
60;33;python.d/python_modules/pyyaml2/emitter.py;741;796
60;33;python.d/python_modules/pyyaml3/emitter.py;741;796
61;32;web/css/bootstrap-3.3.7.css;4559;4600
61;32;web/css/bootstrap-slate-flat-3.3.7.css;4559;4600
62;32;web/css/bootstrap-3.3.7.css;4119;4162
62;32;web/css/bootstrap-slate-flat-3.3.7.css;4119;4162
63;32;web/css/bootstrap-3.3.7.css;5537;5572
63;32;web/css/bootstrap-slate-flat-3.3.7.css;5537;5572
64;32;web/css/bootstrap-3.3.7.css;5018;5058
64;32;web/css/bootstrap-slate-flat-3.3.7.css;5018;5058
65;31;python.d/python_modules/pyyaml3/constructor.py;94;127
65;31;python.d/python_modules/pyyaml2/constructor.py;94;127
66;31;python.d/python_modules/pyyaml3/nodes.py;2;48
66;31;python.d/python_modules/pyyaml2/nodes.py;2;48
67;31;python.d/python_modules/pyyaml3/representer.py;76;108
67;31;python.d/python_modules/pyyaml2/representer.py;76;108
68;31;web/css/bootstrap-3.3.7.css;2707;2744
68;31;web/css/bootstrap-slate-flat-3.3.7.css;2707;2744
69;30;web/demosites2.html;5;57
69;30;web/tv.html;5;57
70;30;python.d/python_modules/pyyaml3/constructor.py;229;260
70;30;python.d/python_modules/pyyaml2/constructor.py;229;260
71;30;python.d/python_modules/pyyaml2/resolver.py;88;119
71;30;python.d/python_modules/pyyaml3/resolver.py;88;119
72;29;python.d/python_modules/pyyaml3/parser.py;329;357
72;29;python.d/python_modules/pyyaml2/parser.py;329;357
73;28;web/css/bootstrap-3.3.7.css;4003;4037
73;28;web/css/bootstrap-slate-flat-3.3.7.css;4003;4037
74;28;web/css/bootstrap-3.3.7.css;5207;5244
74;28;web/css/bootstrap-slate-flat-3.3.7.css;5207;5244
75;28;web/css/bootstrap-3.3.7.css;3731;3766
75;28;web/css/bootstrap-slate-flat-3.3.7.css;3731;3766
76;28;web/css/bootstrap-3.3.7.css;4661;4696
76;28;web/css/bootstrap-slate-flat-3.3.7.css;4661;4696
77;28;python.d/python_modules/pyyaml2/emitter.py;38;90
77;28;python.d/python_modules/pyyaml3/emitter.py;38;90
78;27;web/css/bootstrap-3.3.7.css;3404;3435
78;27;web/css/bootstrap-slate-flat-3.3.7.css;3404;3435
79;26;web/css/bootstrap-3.3.7.css;3437;3468
79;26;web/css/bootstrap-slate-flat-3.3.7.css;3437;3468
80;25;python.d/python_modules/pyyaml3/loader.py;2;39
80;25;python.d/python_modules/pyyaml2/loader.py;2;39
81;25;web/old/netdata.js;273;299
81;25;web/dashboard.js;273;299
82;25;web/css/bootstrap-3.3.7.css;1158;1185
82;25;web/css/bootstrap-slate-flat-3.3.7.css;1158;1185
83;25;web/css/bootstrap-3.3.7.css;3502;3529
83;25;web/css/bootstrap-slate-flat-3.3.7.css;3502;3529
84;25;web/css/bootstrap-3.3.7.css;6287;6319
84;25;web/css/bootstrap-slate-flat-3.3.7.css;6287;6319
85;24;src/proc_net_rpc_nfs.c;34;59
85;24;src/proc_net_rpc_nfsd.c;34;59
86;24;python.d/python_modules/pyyaml2/__init__.py;141;166
86;24;python.d/python_modules/pyyaml3/__init__.py;141;166
87;23;web/css/bootstrap-3.3.7.css;2669;2696
87;23;web/css/bootstrap-slate-flat-3.3.7.css;2669;2696
88;23;python.d/python_modules/pyyaml2/resolver.py;34;68
88;23;python.d/python_modules/pyyaml3/resolver.py;34;68
89;23;web/css/bootstrap-3.3.7.css;4614;4642
89;23;web/css/bootstrap-slate-flat-3.3.7.css;4614;4642
90;23;web/css/bootstrap-3.3.7.css;4518;4546
90;23;web/css/bootstrap-slate-flat-3.3.7.css;4518;4546
91;22;web/css/bootstrap-3.3.7.css;3946;3974
91;22;web/css/bootstrap-slate-flat-3.3.7.css;3946;3974
92;22;python.d/python_modules/pyyaml3/constructor.py;262;284
92;22;python.d/python_modules/pyyaml2/constructor.py;262;284
93;22;python.d/python_modules/pyyaml2/scanner.py;973;1002
93;22;python.d/python_modules/pyyaml3/scanner.py;973;1002
94;22;python.d/python_modules/pyyaml2/resolver.py;144;167
94;22;python.d/python_modules/pyyaml3/resolver.py;144;167
95;21;src/proc_softirqs.c;89;119
95;21;src/proc_interrupts.c;89;119
96;21;python.d/python_modules/pyyaml3/constructor.py;176;196
96;21;python.d/python_modules/pyyaml2/constructor.py;176;196
97;20;web/demo.html;1;22
97;20;web/dashboard.html;1;22
97;20;web/demo2.html;1;22
98;20;web/css/bootstrap-3.3.7.css;6033;6055
98;20;web/css/bootstrap-slate-flat-3.3.7.css;6033;6055
99;20;python.d/python_modules/pyyaml3/representer.py;114;136
99;20;python.d/python_modules/pyyaml2/representer.py;114;136
100;20;web/css/bootstrap-3.3.7.css;5096;5126
100;20;web/css/bootstrap-slate-flat-3.3.7.css;5096;5126
101;20;python.d/python_modules/pyyaml2/emitter.py;243;263
101;20;python.d/python_modules/pyyaml3/emitter.py;243;263
102;20;src/proc_net_rpc_nfs.c;10;31
102;20;src/proc_net_rpc_nfsd.c;10;31
103;20;web/css/bootstrap-3.3.7.css;2631;2653
103;20;web/css/bootstrap-slate-flat-3.3.7.css;2631;2653
104;20;python.d/python_modules/pyyaml3/constructor.py;390;412
104;20;python.d/python_modules/pyyaml2/constructor.py;390;412
105;20;web/demosites.html;750;769
105;20;web/demosites2.html;750;769
106;20;src/rrdcalc.c;354;374
106;20;src/health_config.c;354;374
107;19;src/health.h;380;398
107;19;src/health_log.c;380;398
108;19;web/css/bootstrap-3.3.7.css;6496;6515
108;19;web/css/bootstrap-slate-flat-3.3.7.css;6496;6515
109;19;python.d/python_modules/pyyaml3/reader.py;138;157
109;19;python.d/python_modules/pyyaml2/reader.py;138;157
110;19;web/css/bootstrap-3.3.7.css;2806;2826
110;19;web/css/bootstrap-slate-flat-3.3.7.css;2806;2826
111;19;web/demosites.html;504;542
111;19;web/demosites2.html;504;542
112;18;web/css/bootstrap-3.3.7.css;3977;3999
112;18;web/css/bootstrap-slate-flat-3.3.7.css;3977;3999
113;18;web/css/bootstrap-3.3.7.css;6431;6452
113;18;web/css/bootstrap-slate-flat-3.3.7.css;6431;6452
114;18;web/css/bootstrap-3.3.7.css;4191;4212
114;18;web/css/bootstrap-slate-flat-3.3.7.css;4191;4212
115;18;web/dashboard_info.js;1098;1116
116;18;python.d/python_modules/pyyaml2/emitter.py;220;241
116;18;python.d/python_modules/pyyaml3/emitter.py;220;241
117;18;web/css/bootstrap-3.3.7.css;3542;3562
117;18;web/css/bootstrap-slate-flat-3.3.7.css;3542;3562
118;18;web/css/bootstrap-3.3.7.css;3800;3822
118;18;web/css/bootstrap-slate-flat-3.3.7.css;3800;3822
119;18;python.d/python_modules/pyyaml3/representer.py;312;329
119;18;python.d/python_modules/pyyaml2/representer.py;312;329
120;18;python.d/python_modules/pyyaml3/reader.py;85;105
120;18;python.d/python_modules/pyyaml2/reader.py;85;105
121;17;python.d/python_modules/pyyaml2/scanner.py;1132;1155
121;17;python.d/python_modules/pyyaml3/scanner.py;1132;1155
122;17;python.d/python_modules/pyyaml2/emitter.py;627;650
122;17;python.d/python_modules/pyyaml3/emitter.py;627;650
123;17;web/dashboard.css;9;33
123;17;web/dashboard.slate.css;9;33
124;17;web/dashboard.css;112;130
124;17;web/dashboard.slate.css;112;130
