Source;Source top level component;Target;Target top level component;Dependency type
REMAINDER::CodeComponent;REMAINDER;CI/install/osx/build_app.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;CI/install/osx/package_util.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/adv-audio-control.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/api-interface.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/audio-encoders.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/crash-report.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/double-slider.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/focus-list.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/frontend-plugins/frontend-tools/auto-scene-switcher-nix.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/frontend-plugins/frontend-tools/auto-scene-switcher-win.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/frontend-plugins/frontend-tools/auto-scene-switcher.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/frontend-plugins/frontend-tools/captions-handler.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/frontend-plugins/frontend-tools/captions-mssapi-stream.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/frontend-plugins/frontend-tools/captions-mssapi.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/frontend-plugins/frontend-tools/captions.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/frontend-plugins/frontend-tools/frontend-tools.c;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/frontend-plugins/frontend-tools/output-timer.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/hotkey-edit.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/item-widget-helpers.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/locked-checkbox.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/menu-button.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/obs-app.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/obs-frontend-api/obs-frontend-api.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/obs-frontend-api/obs-frontend-api.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/platform-windows.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/platform-x11.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/properties-view.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/qt-display.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/qt-wrappers.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/remote-text.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/slider-absoluteset-style.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/source-label.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/source-list-widget.cpp;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;UI/vertical-scroll-area.cpp;REMAINDER;CONTAINS
