Source;Source top level component;Target;Target top level component;Dependency type
${groupId}:${artifactId}-aggregator::CodeComponent;org.opendaylight.controller.archetypes:archetypes-parent;opendaylight/archetypes/opendaylight-startup/src/main/resources/archetype-resources/cli/src/main/java/__packageInPathFormat__/cli/api/__classPrefix__CliCommands.java;org.opendaylight.controller.archetypes:archetypes-parent;CONTAINS
${groupId}:${artifactId}-aggregator::CodeComponent;org.opendaylight.controller.archetypes:archetypes-parent;opendaylight/archetypes/opendaylight-startup/src/main/resources/archetype-resources/cli/src/main/java/__packageInPathFormat__/cli/commands/__classPrefix__CliTestCommand.java;org.opendaylight.controller.archetypes:archetypes-parent;CONTAINS
${groupId}:${artifactId}-aggregator::CodeComponent;org.opendaylight.controller.archetypes:archetypes-parent;opendaylight/archetypes/opendaylight-startup/src/main/resources/archetype-resources/cli/src/main/java/__packageInPathFormat__/cli/impl/__classPrefix__CliCommandsImpl.java;org.opendaylight.controller.archetypes:archetypes-parent;CONTAINS
${groupId}:${artifactId}-aggregator::CodeComponent;org.opendaylight.controller.archetypes:archetypes-parent;opendaylight/archetypes/opendaylight-startup/src/main/resources/archetype-resources/impl/src/main/java/__packageInPathFormat__/impl/__classPrefix__Provider.java;org.opendaylight.controller.archetypes:archetypes-parent;CONTAINS
${groupId}:${artifactId}-aggregator::CodeComponent;org.opendaylight.controller.archetypes:archetypes-parent;opendaylight/archetypes/opendaylight-startup/src/main/resources/archetype-resources/pom.xml;org.opendaylight.controller.archetypes:archetypes-parent;CONTAINS
${groupId}:${artifactId}-aggregator::CodeComponent;org.opendaylight.controller.archetypes:archetypes-parent;opendaylight/archetypes/opendaylight-startup/src/main/resources/archetype-resources/src/main/resources/stylesheet.css;org.opendaylight.controller.archetypes:archetypes-parent;CONTAINS
benchmark/dsbenchmark/src/main/java/org/opendaylight/dsbenchmark/DatastoreAbstractWriter.java;org.opendaylight.controller:benchmark-aggregator;org.opendaylight.controller.md.sal.common.api.data::CodeComponent;org.opendaylight.controller:sal-parent;CODE_CALL
benchmark/dsbenchmark/src/main/java/org/opendaylight/dsbenchmark/DsbenchmarkProvider.java;org.opendaylight.controller:benchmark-aggregator;org.opendaylight.controller.md.sal.binding.api::CodeComponent;org.opendaylight.controller:sal-parent;CODE_CALL
benchmark/dsbenchmark/src/main/java/org/opendaylight/dsbenchmark/DsbenchmarkProvider.java;org.opendaylight.controller:benchmark-aggregator;org.opendaylight.controller.md.sal.binding.api::CodeComponent;org.opendaylight.controller:sal-parent;CODE_CALL
benchmark/dsbenchmark/src/main/java/org/opendaylight/dsbenchmark/DsbenchmarkProvider.java;org.opendaylight.controller:benchmark-aggregator;org.opendaylight.controller.md.sal.common.api.data::CodeComponent;org.opendaylight.controller:sal-parent;CODE_CALL
benchmark/dsbenchmark/src/main/java/org/opendaylight/dsbenchmark/DsbenchmarkProvider.java;org.opendaylight.controller:benchmark-aggregator;org.opendaylight.controller.md.sal.common.api.data::CodeComponent;org.opendaylight.controller:sal-parent;CODE_CALL
benchmark/dsbenchmark/src/main/java/org/opendaylight/dsbenchmark/DsbenchmarkProvider.java;org.opendaylight.controller:benchmark-aggregator;org.opendaylight.controller.md.sal.dom.api::CodeComponent;org.opendaylight.controller:sal-parent;CODE_CALL
benchmark/dsbenchmark/src/main/java/org/opendaylight/dsbenchmark/DsbenchmarkProvider.java;org.opendaylight.controller:benchmark-aggregator;org.opendaylight.dsbenchmark.listener::CodeComponent;org.opendaylight.controller:benchmark-aggregator;CODE_CALL
benchmark/dsbenchmark/src/main/java/org/opendaylight/dsbenchmark/DsbenchmarkProvider.java;org.opendaylight.controller:benchmark-aggregator;org.opendaylight.dsbenchmark.simpletx::CodeComponent;org.opendaylight.controller:benchmark-aggregator;CODE_CALL
