System;System element;Type;Depth;Weight;LINES_OF_CODE;DUPLICATION;CODE_BREAKDOWN;CODE_BREAKDOWN Rating;DEPLOYMENT_BREAKDOWN;DEPLOYMENT_BREAKDOWN Rating;INTER_COMPONENT_DUPLICATION;INTER_COMPONENT_DUPLICATION Rating;SHARED_CODE;SHARED_CODE Rating;SHARED_DEPENDENCIES;SHARED_DEPENDENCIES Rating;COMMUNICATION_CENTRALIZATION;COMMUNICATION_CENTRALIZATION Rating;INTERFACE_CENTRALIZATION;INTERFACE_CENTRALIZATION Rating;DATA_STORE_ENCAPSULATION;DATA_STORE_ENCAPSULATION Rating;COMPONENT_COHESION;COMPONENT_COHESION Rating;USAGE_COHESION;USAGE_COHESION Rating;INCOMING_DEPENDENCIES;INCOMING_DEPENDENCIES Rating;OUTGOING_DEPENDENCIES;OUTGOING_DEPENDENCIES Rating;COMMUNICATION_COMPLEXITY;COMMUNICATION_COMPLEXITY Rating;STATELESSNESS;STATELESSNESS Rating;ASYNCHRONOUS_COMMUNICATION;ASYNCHRONOUS_COMMUNICATION Rating;COMMUNICATION_BOTTLENECKS;COMMUNICATION_BOTTLENECKS Rating;DATA_STORE_SCALABILITY;DATA_STORE_SCALABILITY Rating;TECHNOLOGY_COHESION;TECHNOLOGY_COHESION Rating;CBA Rating;SOA Rating;CLOUD_NATIVENESS Rating;ARCHITECTURE_MAINTAINABILITY Rating;ID;Parent ID
opensource-opendaylight-controller;opensource-opendaylight-controller;SystemLevel;;101171.0;101171.0;8.0;597.0;4.5;995831.0;2.5;8.3;0.6;98.3;1.2;2006.0;2.0;94.0;2.5;;;;;0.9;2.8;;;214.0;5.4;214.0;5.4;0.0;5.5;0.0;5.5;;;97.5;3.4;;;0.2;4.2;4.0;2.5;4.4;3.6;28b6cf52-8e96-4b4a-af70-57d17ef86346;28b6cf52-8e96-4b4a-af70-57d17ef86346
opensource-opendaylight-controller;${groupId}:${artifactId}-aggregator;CodeComponent;3L;586.0;586.0;17.6;586.0;2.3;;;23.7;2.2;;;;;;;;;;;;;;;0.0;5.5;0.0;5.5;;;;;;;;;;;;;;;;;447aef36-7b69-4c5e-a0d2-0de267e0b786;fcc292e0-84e5-4483-9601-f335897da418 2fff7659-7b5d-4f51-8131-34ba4146337e 447aef36-7b69-4c5e-a0d2-0de267e0b786
opensource-opendaylight-controller;ntfbenchmark.impl;CodeComponent;3L;254.0;254.0;4.7;254.0;3.0;;;2.4;4.0;;;;;17.7;2.9;;;;;;;;;0.0;5.5;5.0;3.6;;;;;;;;;;;;;;;;;3307cf04-3c8a-4b5e-92a2-ac6f95b43f64;69947b57-5fe9-4d4a-b0f8-5ecae179608e 3773e4bf-c3c2-4c40-905d-24e5558ada4b 3307cf04-3c8a-4b5e-92a2-ac6f95b43f64 1090a973-c8b3-40b9-937d-3596d36200fe
opensource-opendaylight-controller;org.opendaylight.controller.archetypes:archetypes-parent;CodeComponent;1;673.0;673.0;16.6;73.0;4.4;;;20.7;2.3;;;;;;;;;;;1.0;5.5;;;0.0;5.5;0.0;5.5;;;;;;;;;;;;;;;;;fcc292e0-84e5-4483-9601-f335897da418;fcc292e0-84e5-4483-9601-f335897da418
opensource-opendaylight-controller;org.opendaylight.controller.blueprint;CodeComponent;2L;551.0;551.0;0.0;551.0;2.4;;;0.0;5.5;;;;;0.9;1.6;;;;;;;;;3.0;3.5;17.0;2.4;;;;;;;;;;;;;;;;;6a7eb8fa-6a0d-41bb-bfa2-eaf5c96ca1b4;a95c0bff-cc8c-4fc6-9c7e-b4237a9d606b 6aec2db3-9dea-44f9-9e57-c066e5a40841 6a7eb8fa-6a0d-41bb-bfa2-eaf5c96ca1b4
opensource-opendaylight-controller;org.opendaylight.controller.blueprint.ext;CodeComponent;2L;2045.0;2045.0;1.6;2045.0;1.6;;;0.8;4.3;;;;;29.8;3.5;;;;;;;;;1.0;4.1;34.0;2.0;;;;;;;;;;;;;;;;;a770875f-fabf-4aea-87be-576fee2048e6;a95c0bff-cc8c-4fc6-9c7e-b4237a9d606b 6aec2db3-9dea-44f9-9e57-c066e5a40841 a770875f-fabf-4aea-87be-576fee2048e6
opensource-opendaylight-controller;org.opendaylight.controller.cluster;CodeComponent;3L;160.0;160.0;0.0;160.0;3.5;;;0.0;5.5;;;;;70.0;4.4;;;;;;;;;18.0;2.3;1.0;4.3;;;;;;;;;;;;;;;;;cbfb9c19-91f1-42a7-8733-11238123b767;cbfb9c19-91f1-42a7-8733-11238123b767 58647ad5-393f-4192-bf8c-7769657bc4d5 459ceb27-609d-4698-b724-197a787b4272 8d913f3c-42f0-440f-901d-909429663721
opensource-opendaylight-controller;org.opendaylight.controller.cluster.access;CodeComponent;3L;116.0;116.0;0.0;116.0;4.0;;;0.0;5.5;;;;;;;;;;;;;;;42.0;1.8;0.0;5.5;;;;;;;;;;;;;;;;;b31cefcf-25de-4733-90cd-7f88aed33845;3f001685-b435-447e-91ca-4d23f158bda3 8d913f3c-42f0-440f-901d-909429663721 b31cefcf-25de-4733-90cd-7f88aed33845 56e331ba-32f0-4701-8fd5-af5efa30766c
opensource-opendaylight-controller;org.opendaylight.controller.cluster.access.client;CodeComponent;3L;1770.0;1770.0;0.0;1770.0;1.7;;;0.0;5.5;;;;;21.5;3.1;;;;;;;;;35.0;1.9;48.0;1.6;;;;;;;;;;;;;;;;;d2a24715-3774-4b4c-9e2e-916a6df783e1;49a65818-7dfb-4e34-99fb-eb065cb359c7 8d913f3c-42f0-440f-901d-909429663721 d2a24715-3774-4b4c-9e2e-916a6df783e1 f71d960b-dcc1-4d6c-8890-826e7beeae26
opensource-opendaylight-controller;org.opendaylight.controller.cluster.access.commands;CodeComponent;3L;2053.0;2053.0;0.0;2053.0;1.6;;;0.0;5.5;;;;;5.0;2.1;;;;;;;;;139.0;1.2;149.0;1.0;;;;;;;;;;;;;;;;;8e8d3099-131c-4d83-8476-dcedeaa7f753;8e8d3099-131c-4d83-8476-dcedeaa7f753 3f001685-b435-447e-91ca-4d23f158bda3 8d913f3c-42f0-440f-901d-909429663721 56e331ba-32f0-4701-8fd5-af5efa30766c
