Source;Source top level component;Target;Target top level component;Dependency type
DB::DataStore;;pool::DataStoreEntity;;STORES
DB::DataStore;;readonly::DataStoreEntity;;STORES
DB::DataStore;;the::DataStoreEntity;;STORES
DB::DataStore;;those::DataStoreEntity;;STORES
REMAINDER::CodeComponent;REMAINDER;api-ref/v1/source/conf.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;api-ref/v1/source/parameters.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;api-ref/v2/source/conf.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;api-ref/v2/source/parameters.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;cinder/config/generate_cinder_opts.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;cinder/context.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;cinder/coordination.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;cinder/exception.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;cinder/flow_utils.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;cinder/i18n.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;cinder/manager.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;cinder/opts.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;cinder/policy.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;cinder/quota.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;cinder/quota_utils.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;cinder/rpc.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;cinder/service.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;cinder/ssh_utils.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;cinder/utils.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;cinder/version.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;rally-jobs/cinder-fake.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/1220b8a67602b8e7-update_rootwrap_volume_filters.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/3par-create-cg-from-source-cg-5634dcf9feb813f6.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/3par-create-fc-vlun-match-set-type-babcf2cbce1ce317.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/3par-license-check-51a16b5247675760.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/3par-manage-unmanage-snapshot-eb4e504e8782ba43.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/Dell-SC-replication-failover_host-failback-a9e9cbbd6a1be6c3.yaml;REMAINDER;CONTAINS
