ID;Length;File;Start line;End line
0;140;cinder/api/v1/limits.py;220;435
0;140;cinder/api/v2/limits.py;220;435
1;119;cinder/api/v1/limits.py;16;189
1;119;cinder/api/v2/limits.py;16;189
2;85;cinder/volume/drivers/hpe/hpe_3par_fc.py;551;648
2;85;cinder/volume/drivers/hpe/hpe_3par_iscsi.py;551;648
3;71;cinder/volume/drivers/infortrend/infortrend_fc_cli.py;198;283
3;71;cinder/volume/drivers/infortrend/infortrend_iscsi_cli.py;198;283
4;66;cinder/volume/drivers/netapp/dataontap/fc_cmode.py;39;131
4;66;cinder/volume/drivers/netapp/dataontap/fc_7mode.py;39;131
5;64;cinder/volume/drivers/netapp/dataontap/iscsi_7mode.py;38;128
5;64;cinder/volume/drivers/netapp/dataontap/iscsi_cmode.py;38;128
6;55;cinder/volume/drivers/infortrend/infortrend_fc_cli.py;44;109
6;55;cinder/volume/drivers/infortrend/infortrend_iscsi_cli.py;44;109
7;54;cinder/volume/drivers/emc/emc_vmax_fc.py;95;163
7;54;cinder/volume/drivers/emc/emc_vmax_iscsi.py;95;163
8;49;cinder/api/v1/snapshot_metadata.py;83;144
8;49;cinder/api/v2/snapshot_metadata.py;83;144
9;41;cinder/volume/drivers/emc/emc_vmax_provision.py;41;87
9;41;cinder/volume/drivers/emc/emc_vmax_provision_v3.py;41;87
10;38;cinder/volume/drivers/netapp/dataontap/fc_cmode.py;40;94
10;38;cinder/volume/drivers/netapp/dataontap/fc_7mode.py;40;94
10;38;cinder/volume/drivers/netapp/dataontap/iscsi_7mode.py;40;94
10;38;cinder/volume/drivers/netapp/dataontap/iscsi_cmode.py;40;94
11;36;cinder/api/v3/router.py;58;101
11;36;cinder/api/v2/router.py;58;101
12;36;cinder/volume/drivers/hpe/hpe_3par_fc.py;651;691
12;36;cinder/volume/drivers/hpe/hpe_3par_iscsi.py;651;691
13;36;cinder/volume/drivers/emc/emc_vmax_fc.py;41;81
13;36;cinder/volume/drivers/emc/emc_vmax_iscsi.py;41;81
15;35;cinder/volume/drivers/hitachi/hnas_nfs.py;867;907
15;35;cinder/volume/drivers/netapp/dataontap/nfs_base.py;867;907
16;34;cinder/interface/volume_consistencygroup_driver.py;190;231
16;34;cinder/volume/driver.py;190;231
17;34;cinder/interface/volume_consistencygroup_driver.py;77;118
17;34;cinder/volume/driver.py;77;118
18;34;cinder/interface/volume_consistencygroup_driver.py;147;188
18;34;cinder/volume/driver.py;147;188
19;32;cinder/volume/drivers/netapp/eseries/fc_driver.py;43;89
19;32;cinder/volume/drivers/netapp/eseries/iscsi_driver.py;43;89
20;30;cinder/volume/drivers/violin/v7000_iscsi.py;96;134
20;30;cinder/volume/drivers/violin/v7000_fcp.py;96;134
21;29;cinder/volume/drivers/hitachi/hbsd_fc.py;337;372
21;29;cinder/volume/drivers/hitachi/hbsd_iscsi.py;337;372
22;28;api-ref/v2/source/conf.py;27;200
22;28;api-ref/v1/source/conf.py;27;200
23;27;cinder/zonemanager/drivers/cisco/cisco_fc_zone_client_cli.py;396;429
