System;System element;Type;Depth;Weight;LINES_OF_CODE;DUPLICATION;CODE_BREAKDOWN;CODE_BREAKDOWN Rating;DEPLOYMENT_BREAKDOWN;DEPLOYMENT_BREAKDOWN Rating;INTER_COMPONENT_DUPLICATION;INTER_COMPONENT_DUPLICATION Rating;SHARED_CODE;SHARED_CODE Rating;SHARED_DEPENDENCIES;SHARED_DEPENDENCIES Rating;COMMUNICATION_CENTRALIZATION;COMMUNICATION_CENTRALIZATION Rating;INTERFACE_CENTRALIZATION;INTERFACE_CENTRALIZATION Rating;DATA_STORE_ENCAPSULATION;DATA_STORE_ENCAPSULATION Rating;COMPONENT_COHESION;COMPONENT_COHESION Rating;USAGE_COHESION;USAGE_COHESION Rating;INCOMING_DEPENDENCIES;INCOMING_DEPENDENCIES Rating;OUTGOING_DEPENDENCIES;OUTGOING_DEPENDENCIES Rating;COMMUNICATION_COMPLEXITY;COMMUNICATION_COMPLEXITY Rating;STATELESSNESS;STATELESSNESS Rating;ASYNCHRONOUS_COMMUNICATION;ASYNCHRONOUS_COMMUNICATION Rating;COMMUNICATION_BOTTLENECKS;COMMUNICATION_BOTTLENECKS Rating;DATA_STORE_SCALABILITY;DATA_STORE_SCALABILITY Rating;TECHNOLOGY_COHESION;TECHNOLOGY_COHESION Rating;CBA Rating;SOA Rating;CLOUD_NATIVENESS Rating;ARCHITECTURE_MAINTAINABILITY Rating;ID;Parent ID
opensource-openstack-cinder;opensource-openstack-cinder;SystemLevel;;126567.0;126567.0;13.0;24487.0;1.8;119718.0;1.5;6.8;4.9;;;;;50.4;4.4;;;15.0;3.3;0.8;3.1;;;210.0;4.4;216.0;2.7;0.1;2.5;100.0;0.5;;;;;1.0;;;;3.5;1.5;0.5;1.8;7a9c3b5e-bb0b-49db-b261-94bd7bb215a6;7a9c3b5e-bb0b-49db-b261-94bd7bb215a6
opensource-openstack-cinder;REMAINDER;CodeComponent;1L;6849.0;6849.0;13.5;6849.0;1.3;;;0.0;5.5;;;;;85.1;4.9;;;;;;;;;0.0;5.5;55.0;1.5;;;;;;;;;;;;;;;;;a626675e-893e-46c9-9a67-061e33d00684;a626675e-893e-46c9-9a67-061e33d00684
opensource-openstack-cinder;cinder.api;CodeComponent;1;4627.0;4627.0;26.7;703.0;2.3;;;14.1;2.4;;;;;47.7;3.9;;;;;0.8;3.9;;;6.0;3.0;13.0;2.7;;;;;;;;;;;;;;;;;e02ecb45-0c23-4b5a-84c4-84107972cca0;e02ecb45-0c23-4b5a-84c4-84107972cca0 719858b4-e125-4ed7-b4b8-1358a6b4157e
opensource-openstack-cinder;cinder.api.middleware;CodeComponent;2L;168.0;168.0;0.0;168.0;3.4;;;0.0;5.5;;;;;8.9;2.5;;;;;;;;;1.0;4.1;4.0;3.8;;;;;;;;;;;;;;;;;b3f8ecdb-6b7d-4e5a-abe5-f4afc2431b4f;b3f8ecdb-6b7d-4e5a-abe5-f4afc2431b4f e02ecb45-0c23-4b5a-84c4-84107972cca0 719858b4-e125-4ed7-b4b8-1358a6b4157e
opensource-openstack-cinder;cinder.api.openstack;CodeComponent;2L;993.0;993.0;0.0;993.0;2.1;;;0.0;5.5;;;;;19.4;3.0;;;;;;;;;23.0;2.2;1.0;4.3;;;;;;;;;;;;;;;;;f4354e70-2e37-47d1-ab3c-d2c92ae384e1;f4354e70-2e37-47d1-ab3c-d2c92ae384e1 e02ecb45-0c23-4b5a-84c4-84107972cca0 719858b4-e125-4ed7-b4b8-1358a6b4157e
opensource-openstack-cinder;cinder.api.v1;CodeComponent;2L;884.0;884.0;65.0;884.0;2.2;;;65.4;1.2;;;;;0.0;0.5;;;;;;;;;0.0;5.5;15.0;2.5;;;;;;;;;;;;;;;;;7e1aff80-d169-4f70-8666-fbd99237bf62;e02ecb45-0c23-4b5a-84c4-84107972cca0 719858b4-e125-4ed7-b4b8-1358a6b4157e 7e1aff80-d169-4f70-8666-fbd99237bf62
opensource-openstack-cinder;cinder.api.v2;CodeComponent;2;1080.0;1080.0;53.1;956.0;2.2;;;57.6;1.4;;;;;0.0;0.5;;;;;0.1;1.1;;;2.0;3.8;21.0;2.3;;;;;;;;;;;;;;;;;daac4c02-544f-4de0-aa8a-876b4b4c14b8;daac4c02-544f-4de0-aa8a-876b4b4c14b8 e02ecb45-0c23-4b5a-84c4-84107972cca0 719858b4-e125-4ed7-b4b8-1358a6b4157e
opensource-openstack-cinder;cinder.api.v2.views;CodeComponent;3L;124.0;124.0;5.6;124.0;3.9;;;5.6;3.3;;;;;0.0;0.5;;;;;;;;;2.0;3.8;2.0;4.1;;;;;;;;;;;;;;;;;5873f607-fe25-4243-8ac1-c3a3be840699;daac4c02-544f-4de0-aa8a-876b4b4c14b8 e02ecb45-0c23-4b5a-84c4-84107972cca0 719858b4-e125-4ed7-b4b8-1358a6b4157e 5873f607-fe25-4243-8ac1-c3a3be840699
opensource-openstack-cinder;cinder.api.v3;CodeComponent;2;288.0;288.0;25.7;245.0;3.1;;;34.0;1.9;;;;;0.0;0.5;;;;;0.2;1.2;;;0.0;5.5;11.0;2.9;;;;;;;;;;;;;;;;;83146be6-ab83-4f8c-939f-bfc93cf09e6a;83146be6-ab83-4f8c-939f-bfc93cf09e6a e02ecb45-0c23-4b5a-84c4-84107972cca0 719858b4-e125-4ed7-b4b8-1358a6b4157e
opensource-openstack-cinder;cinder.api.v3.views;CodeComponent;3L;43.0;43.0;0.0;43.0;5.5;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;1.0;4.1;1.0;4.3;;;;;;;;;;;;;;;;;15fdfb21-674c-46d1-bd37-1e710e2cff0e;83146be6-ab83-4f8c-939f-bfc93cf09e6a e02ecb45-0c23-4b5a-84c4-84107972cca0 719858b4-e125-4ed7-b4b8-1358a6b4157e 15fdfb21-674c-46d1-bd37-1e710e2cff0e
opensource-openstack-cinder;cinder.api.views;CodeComponent;2L;511.0;511.0;2.3;511.0;2.4;;;1.2;4.2;;;;;23.7;3.3;;;;;;;;;6.0;3.0;11.0;2.9;;;;;;;;;;;;;;;;;71b6d7c9-9f9f-4889-9fef-fcc9b7cd234a;e02ecb45-0c23-4b5a-84c4-84107972cca0 719858b4-e125-4ed7-b4b8-1358a6b4157e 71b6d7c9-9f9f-4889-9fef-fcc9b7cd234a
opensource-openstack-cinder;cinder.backup;CodeComponent;1;3850.0;3850.0;4.1;1996.0;1.6;;;2.7;3.9;;;;;50.5;4.0;;;;;0.5;2.6;;;3.0;3.5;9.0;3.1;;;;;;;;;;;;;;;;;ffa3347d-11b8-4329-a5c8-9346241e7d48;719858b4-e125-4ed7-b4b8-1358a6b4157e ffa3347d-11b8-4329-a5c8-9346241e7d48
opensource-openstack-cinder;cinder.backup.drivers;CodeComponent;2L;1854.0;1854.0;4.5;1854.0;1.7;;;2.6;3.9;;;;;5.9;2.2;;;;;;;;;2.0;3.8;5.0;3.6;;;;;;;;;;;;;;;;;0c660b13-93bf-485d-b67f-c178291d0194;719858b4-e125-4ed7-b4b8-1358a6b4157e ffa3347d-11b8-4329-a5c8-9346241e7d48 0c660b13-93bf-485d-b67f-c178291d0194
opensource-openstack-cinder;cinder.brick;CodeComponent;1;448.0;448.0;5.4;0.0;5.5;;;2.7;3.9;;;;;;;;;;;1.0;5.5;;;2.0;3.8;0.0;5.5;;;;;;;;;;;;;;;;;cc830710-a333-449e-99d3-addb81f7f6de;719858b4-e125-4ed7-b4b8-1358a6b4157e cc830710-a333-449e-99d3-addb81f7f6de
opensource-openstack-cinder;cinder.brick.local_dev;CodeComponent;2L;448.0;448.0;5.4;448.0;2.4;;;2.7;3.9;;;;;;;;;;;;;;;2.0;3.8;0.0;5.5;;;;;;;;;;;;;;;;;0f7eb1f5-6238-48c1-9e23-82e3cc4e4fc1;719858b4-e125-4ed7-b4b8-1358a6b4157e 0f7eb1f5-6238-48c1-9e23-82e3cc4e4fc1 cc830710-a333-449e-99d3-addb81f7f6de
opensource-openstack-cinder;cinder.cmd;CodeComponent;1L;1067.0;1067.0;10.0;1067.0;2.1;;;0.0;5.5;;;;;41.6;3.8;;;5.0;3.3;;;;;1.0;4.1;12.0;2.8;;;;;;;;;;;;;;;;;3e880130-6da3-4df9-9f4f-f94a7eeeefa2;719858b4-e125-4ed7-b4b8-1358a6b4157e 3e880130-6da3-4df9-9f4f-f94a7eeeefa2
opensource-openstack-cinder;cinder.common;CodeComponent;1L;267.0;267.0;0.0;267.0;3.0;;;0.0;5.5;;;;;;;;;;;;;;;14.0;2.4;0.0;5.5;;;;;;;;;;;;;;;;;2b7f175b-c3d3-4d09-b835-f18d8a3a4631;719858b4-e125-4ed7-b4b8-1358a6b4157e 2b7f175b-c3d3-4d09-b835-f18d8a3a4631
