Source;Source top level component;Target;Target top level component;Dependency type
DB::DataStore;;%s::DataStoreEntity;;STORES
DB::DataStore;;(%s)::DataStoreEntity;;STORES
DB::DataStore;;a::DataStoreEntity;;STORES
DB::DataStore;;cached_images::DataStoreEntity;;STORES
DB::DataStore;;image_members::DataStoreEntity;;STORES
DB::DataStore;;image_properties::DataStoreEntity;;STORES
DB::DataStore;;images::DataStoreEntity;;STORES
DB::DataStore;;pg_constraint::DataStoreEntity;;STORES
DB::DataStore;;requesting::DataStoreEntity;;STORES
DB::DataStore;;the::DataStoreEntity;;STORES
REMAINDER::CodeComponent;REMAINDER;api-ref/source/conf.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;api-ref/source/v1/parameters.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;api-ref/source/v2/images-parameters.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;api-ref/source/v2/metadefs-parameters.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;api-ref/source/v2/tasks-parameters.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;bandit.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;glance/context.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;glance/gateway.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;glance/i18n.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;glance/location.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;glance/notifier.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;glance/opts.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;glance/schema.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;glance/scrubber.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;glance/version.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;rally-jobs/glance.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/Prevent-removing-last-image-location-d5ee3e00efe14f34.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/add-cpu-thread-pinning-metadata-09b1866b875c4647.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/add-ploop-format-fdd583849504ab15.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/add-processlimits-to-qemu-img-c215f5d90f741d8a.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/add-vhdx-format-2be99354ad320cca.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/alembic-migrations-902b31edae7a5d7d.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/api-minor-ver-bump-2-6-aa3591fc58f08055.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/api-minor-version-bump-bbd69dc457fc731c.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/bug-1537903-54b2822eac6cfc09.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/bug-1593177-8ef35458d29ec93c.yaml;REMAINDER;CONTAINS
