ID;Length;File;Start line;End line
0;91;glance/db/sqlalchemy/migrate_repo/versions/017_quote_encrypted_swift_credentials.py;125;233
0;91;glance/db/sqlalchemy/migrate_repo/versions/015_quote_swift_credentials.py;125;233
1;29;glance/registry/client/v1/api.py;128;161
1;29;glance/scrubber.py;128;161
2;28;glance/db/sqlalchemy/migrate_repo/versions/004_add_checksum.py;19;48
2;28;glance/db/sqlalchemy/migrate_repo/versions/003_add_disk_format.py;19;48
3;28;glance/db/sqlalchemy/migrate_repo/versions/004_add_checksum.py;22;49
3;28;glance/db/sqlalchemy/migrate_repo/versions/009_add_mindisk_and_minram.py;22;49
4;27;glance/api/v2/metadef_resource_types.py;136;168
4;27;glance/api/v2/metadef_properties.py;136;168
5;27;glance/db/sqlalchemy/migrate_repo/versions/003_add_disk_format.py;22;48
5;27;glance/db/sqlalchemy/migrate_repo/versions/009_add_mindisk_and_minram.py;22;48
6;26;glance/image_cache/drivers/sqlite.py;193;225
6;26;glance/image_cache/drivers/xattr.py;193;225
7;25;glance/common/scripts/api_image_import/main.py;82;116
7;25;glance/common/scripts/image_import/main.py;82;116
8;25;glance/registry/client/v2/api.py;71;104
8;25;glance/registry/client/v1/api.py;71;104
9;23;glance/db/sqlalchemy/migrate_repo/versions/007_add_owner.py;27;49
9;23;glance/db/sqlalchemy/migrate_repo/versions/005_size_big_integer.py;27;49
10;23;glance/schema.py;143;168
11;22;glance/api/v2/metadef_objects.py;286;313
11;22;glance/api/v2/metadef_tags.py;286;313
12;21;glance/db/sqlalchemy/migrate_repo/versions/003_add_disk_format.py;35;58
12;21;glance/db/sqlalchemy/migrate_repo/versions/005_size_big_integer.py;35;58
13;21;glance/image_cache/drivers/sqlite.py;363;390
13;21;glance/image_cache/drivers/xattr.py;363;390
14;19;glance/api/v1/images.py;180;201
14;19;glance/registry/api/v1/images.py;180;201
15;18;glance/image_cache/drivers/sqlite.py;422;444
15;18;glance/image_cache/drivers/xattr.py;422;444
16;18;api-ref/source/v2/tasks-parameters.yaml;15;34
16;18;api-ref/source/v2/images-parameters.yaml;15;34
17;17;glance/registry/api/v1/members.py;219;239
18;17;glance/api/v2/metadef_namespaces.py;438;461
18;17;glance/api/v2/metadef_objects.py;438;461
19;17;glance/db/sqlalchemy/migrate_repo/versions/003_add_disk_format.py;33;49
19;17;glance/db/sqlalchemy/migrate_repo/versions/001_add_images_table.py;33;49
20;16;glance/db/sqlalchemy/migrate_repo/versions/004_add_checksum.py;33;48
20;16;glance/db/sqlalchemy/migrate_repo/versions/009_add_mindisk_and_minram.py;33;48
20;16;glance/db/sqlalchemy/migrate_repo/versions/001_add_images_table.py;33;48
21;16;glance/db/sqlalchemy/migrate_repo/versions/007_add_owner.py;35;50
21;16;glance/db/sqlalchemy/migrate_repo/versions/004_add_checksum.py;35;50
22;16;glance/db/sqlalchemy/migrate_repo/versions/005_size_big_integer.py;35;50
22;16;glance/db/sqlalchemy/migrate_repo/versions/001_add_images_table.py;35;50
23;15;glance/db/sqlalchemy/migrate_repo/versions/007_add_owner.py;35;49
23;15;glance/db/sqlalchemy/migrate_repo/versions/003_add_disk_format.py;35;49
23;15;glance/db/sqlalchemy/migrate_repo/versions/001_add_images_table.py;35;49
24;15;glance/api/v2/metadef_resource_types.py;144;160
24;15;glance/api/v2/metadef_namespaces.py;144;160
24;15;glance/api/v2/metadef_properties.py;144;160
25;15;glance/cmd/cache_cleaner.py;30;56
25;15;glance/cmd/cache_pruner.py;30;56
26;14;glance/api/v2/metadef_namespaces.py;144;159
26;14;glance/api/v2/metadef_properties.py;144;159
26;14;glance/api/v2/metadef_resource_types.py;144;159
26;14;glance/api/v2/images.py;144;159
27;14;glance/scrubber.py;224;239
28;14;glance/api/v2/metadef_namespaces.py;569;582
28;14;glance/api/v2/metadef_properties.py;569;582
29;14;glance/registry/client/v2/api.py;32;45
29;14;glance/registry/client/v1/api.py;32;45
30;13;glance/api/v2/metadef_namespaces.py;463;479
30;13;glance/api/v2/metadef_objects.py;463;479
30;13;glance/api/v2/metadef_tags.py;463;479
31;13;glance/scrubber.py;103;127
31;13;glance/api/middleware/context.py;103;127
32;13;glance/async/flows/base_import.py;368;387
32;13;glance/async/flows/api_image_import.py;368;387
33;12;glance/registry/api/v1/__init__.py;39;50
33;12;glance/api/v1/router.py;39;50
34;12;glance/cmd/api.py;70;82
34;12;glance/cmd/registry.py;70;82
35;12;glance/image_cache/drivers/sqlite.py;102;115
35;12;glance/image_cache/drivers/xattr.py;102;115
36;12;glance/cmd/replicator.py;543;559
37;12;glance/schema.py;128;140
38;12;glance/api/v2/tasks.py;155;169
38;12;glance/api/v2/metadef_tags.py;155;169
39;12;glance/db/sqlalchemy/api.py;192;207
39;12;glance/db/simple/api.py;192;207
40;12;glance/api/v2/metadef_namespaces.py;608;619
41;12;glance/registry/api/v1/__init__.py;66;77
41;12;glance/api/v1/router.py;66;77
42;12;glance/db/sqlalchemy/alembic_migrations/add_metadefs_tables.py;98;109
43;12;glance/api/v2/router.py;397;408
43;12;glance/api/v1/router.py;397;408
44;12;glance/db/sqlalchemy/migrate_repo/versions/012_id_to_uuid.py;150;161
45;12;glance/registry/api/v1/__init__.py;22;34
45;12;glance/api/v1/router.py;22;34
46;11;glance/db/sqlalchemy/migrate_repo/versions/004_add_checksum.py;22;32
46;11;glance/db/sqlalchemy/migrate_repo/versions/003_add_disk_format.py;22;32
46;11;glance/db/sqlalchemy/migrate_repo/versions/009_add_mindisk_and_minram.py;22;32
46;11;glance/db/sqlalchemy/migrate_repo/versions/005_size_big_integer.py;22;32
47;11;glance/api/v2/metadef_namespaces.py;407;419
47;11;glance/api/v2/metadef_objects.py;407;419
48;11;api-ref/source/v2/tasks-parameters.yaml;88;98
48;11;api-ref/source/v2/images-parameters.yaml;88;98
49;11;glance/db/sqlalchemy/metadef_api/namespace.py;262;273
50;11;glance/async/flows/base_import.py;191;204
50;11;glance/async/flows/api_image_import.py;191;204
51;11;glance/db/registry/api.py;249;260
51;11;glance/db/sqlalchemy/api.py;249;260
52;11;glance/api/v1/members.py;160;171
53;10;glance/api/v2/metadef_namespaces.py;190;201
53;10;glance/api/v2/metadef_tags.py;190;201
53;10;glance/api/v2/tasks.py;190;201
53;10;glance/api/v2/images.py;190;201
53;10;glance/api/v2/metadef_objects.py;190;201
54;10;glance/db/sqlalchemy/alembic_migrations/versions/pike_contract01_drop_artifacts_tables.py;30;41
54;10;glance/db/sqlalchemy/alembic_migrations/versions/pike01_drop_artifacts_tables.py;30;41
55;10;glance/db/simple/api.py;37;46
56;10;api-ref/source/v2/tasks-parameters.yaml;116;125
56;10;api-ref/source/v2/images-parameters.yaml;116;125
57;10;glance/db/sqlalchemy/api.py;1541;1556
57;10;glance/db/simple/api.py;1541;1556
58;10;glance/db/sqlalchemy/migrate_repo/versions/002_add_image_properties_table.py;40;49
58;10;glance/db/sqlalchemy/migrate_repo/versions/008_add_image_members_table.py;40;49
59;10;glance/api/v2/metadef_namespaces.py;766;775
59;10;glance/api/v2/metadef_objects.py;766;775
60;10;glance/image_cache/drivers/sqlite.py;159;170
60;10;glance/image_cache/drivers/xattr.py;159;170
61;10;glance/image_cache/drivers/sqlite.py;263;274
61;10;glance/image_cache/drivers/xattr.py;263;274
62;10;glance/db/registry/api.py;97;107
62;10;glance/db/sqlalchemy/api.py;97;107
63;10;glance/schema.py;171;182
64;10;glance/db/registry/api.py;169;180
64;10;glance/db/sqlalchemy/api.py;169;180
65;10;glance/db/migration.py;22;42
65;10;glance/db/metadata.py;22;42
66;10;glance/api/v2/metadef_objects.py;355;366
66;10;glance/api/v2/metadef_tags.py;355;366
67;9;glance/registry/api/v1/members.py;67;77
68;9;glance/api/v2/image_tags.py;36;45
68;9;glance/api/v2/images.py;36;45
68;9;glance/api/v2/image_actions.py;36;45
69;9;api-ref/source/v2/tasks-parameters.yaml;56;64
69;9;api-ref/source/v2/metadefs-parameters.yaml;56;64
69;9;api-ref/source/v2/images-parameters.yaml;56;64
70;9;glance/api/v2/tasks.py;26;44
70;9;glance/api/v2/metadef_namespaces.py;26;44
70;9;glance/api/v2/images.py;26;44
71;9;glance/db/sqlalchemy/migrate_repo/versions/012_id_to_uuid.py;134;142
72;9;glance/db/sqlalchemy/metadef_api/tag.py;186;198
72;9;glance/db/sqlalchemy/metadef_api/object.py;186;198
73;9;glance/domain/proxy.py;214;223
74;9;glance/api/v2/tasks.py;235;245
74;9;glance/api/v2/metadef_objects.py;235;245
75;9;glance/api/v2/images.py;416;425
75;9;glance/api/v2/metadef_objects.py;416;425
76;9;glance/api/v2/metadef_objects.py;129;137
76;9;glance/api/v2/metadef_properties.py;129;137
77;9;glance/cmd/cache_manage.py;179;188
78;9;glance/db/sqlalchemy/migrate_repo/versions/045_add_visibility.py;57;69
78;9;glance/db/sqlalchemy/alembic_migrations/versions/ocata01_add_visibility_remove_is_public.py;57;69
79;9;api-ref/source/v2/images-parameters.yaml;108;120
80;9;glance/api/v2/metadef_namespaces.py;730;738
80;9;glance/api/v2/metadef_objects.py;730;738
81;9;glance/api/v2/metadef_tags.py;69;77
82;9;glance/api/v2/metadef_objects.py;325;334
82;9;glance/api/v2/metadef_tags.py;325;334
83;8;glance/common/config.py;252;260
83;8;glance/registry/client/__init__.py;252;260
83;8;glance/registry/__init__.py;252;260
84;8;glance/db/sqlalchemy/migrate_repo/versions/003_add_disk_format.py;42;49
84;8;glance/db/sqlalchemy/migrate_repo/versions/009_add_mindisk_and_minram.py;42;49
84;8;glance/db/sqlalchemy/migrate_repo/versions/007_add_owner.py;42;49
84;8;glance/db/sqlalchemy/migrate_repo/versions/004_add_checksum.py;42;49
84;8;glance/db/sqlalchemy/migrate_repo/versions/005_size_big_integer.py;42;49
84;8;glance/db/sqlalchemy/migrate_repo/versions/001_add_images_table.py;42;49
84;8;glance/db/sqlalchemy/migrate_repo/versions/002_add_image_properties_table.py;42;49
84;8;glance/db/sqlalchemy/migrate_repo/versions/008_add_image_members_table.py;42;49
85;8;glance/api/v2/metadef_namespaces.py;103;110
85;8;glance/api/v2/metadef_properties.py;103;110
85;8;glance/api/v2/metadef_tags.py;103;110
85;8;glance/api/v2/metadef_resource_types.py;103;110
85;8;glance/api/v2/metadef_objects.py;103;110
86;8;glance/api/v2/tasks.py;59;66
86;8;glance/api/v2/image_tags.py;59;66
86;8;glance/api/v2/images.py;59;66
86;8;glance/api/v2/image_actions.py;59;66
86;8;glance/api/v2/image_members.py;59;66
87;8;glance/cmd/cache_pruner.py;30;43
87;8;glance/cmd/cache_cleaner.py;30;43
87;8;glance/cmd/cache_prefetcher.py;30;43
87;8;glance/cmd/scrubber.py;30;43
88;8;glance/api/v2/metadef_objects.py;253;261
88;8;glance/api/v2/image_members.py;253;261
89;8;glance/api/v2/router.py;397;404
89;8;glance/registry/api/v1/__init__.py;397;404
90;8;glance/api/v2/tasks.py;278;286
91;8;glance/common/auth.py;180;187
92;8;glance/api/v2/metadef_namespaces.py;779;789
92;8;glance/api/v2/metadef_tags.py;779;789
93;8;glance/api/v2/metadef_namespaces.py;452;461
93;8;glance/api/v2/metadef_tags.py;452;461
94;8;glance/image_cache/drivers/sqlite.py;228;236
94;8;glance/image_cache/drivers/xattr.py;228;236
95;8;glance/image_cache/drivers/base.py;36;46
95;8;glance/image_cache/drivers/xattr.py;36;46
96;8;glance/image_cache/drivers/sqlite.py;313;321
96;8;glance/image_cache/drivers/xattr.py;313;321
97;8;api-ref/source/v2/images-parameters.yaml;337;350
98;8;glance/api/v2/image_data.py;373;382
99;8;glance/api/v2/image_members.py;99;109
100;7;glance/api/v2/metadef_namespaces.py;370;376
100;7;glance/api/v2/metadef_properties.py;370;376
100;7;glance/api/v2/metadef_tags.py;370;376
101;7;glance/db/sqlalchemy/migrate_repo/versions/004_add_checksum.py;27;33
101;7;glance/db/sqlalchemy/migrate_repo/versions/003_add_disk_format.py;27;33
101;7;glance/db/sqlalchemy/migrate_repo/versions/009_add_mindisk_and_minram.py;27;33
101;7;glance/db/sqlalchemy/migrate_repo/versions/007_add_owner.py;27;33
102;7;glance/api/v2/metadef_namespaces.py;162;168
102;7;glance/api/v2/metadef_properties.py;162;168
102;7;glance/api/v2/metadef_resource_types.py;162;168
102;7;glance/api/v2/images.py;162;168
103;7;glance/api/v2/metadef_namespaces.py;41;47
103;7;glance/api/v2/metadef_properties.py;41;47
103;7;glance/api/v2/metadef_resource_types.py;41;47
103;7;glance/api/v2/metadef_objects.py;41;47
104;7;glance/api/v2/metadef_namespaces.py;498;504
104;7;glance/api/v2/metadef_properties.py;498;504
104;7;glance/api/v2/metadef_tags.py;498;504
104;7;glance/api/v2/metadef_objects.py;498;504
105;7;glance/api/v2/metadef_namespaces.py;740;746
105;7;glance/api/v2/metadef_tags.py;740;746
106;7;glance/db/sqlalchemy/metadef_api/tag.py;186;196
106;7;glance/db/sqlalchemy/metadef_api/object.py;186;196
106;7;glance/db/sqlalchemy/metadef_api/property.py;186;196
107;7;glance/db/sqlalchemy/alembic_migrations/add_metadefs_tables.py;124;130
108;7;glance/registry/api/v1/members.py;124;131
109;7;glance/async/flows/convert.py;84;90
109;7;glance/async/flows/introspect.py;84;90
109;7;glance/async/flows/ovf_process.py;84;90
110;7;glance/image_cache/__init__.py;422;430
110;7;glance/image_cache/drivers/sqlite.py;422;430
110;7;glance/image_cache/drivers/xattr.py;422;430
111;7;glance/api/v2/metadef_namespaces.py;302;308
111;7;glance/api/v2/metadef_objects.py;302;308
111;7;glance/api/v2/metadef_properties.py;302;308
112;7;api-ref/source/v2/tasks-parameters.yaml;285;291
112;7;api-ref/source/v2/metadefs-parameters.yaml;285;291
112;7;api-ref/source/v2/images-parameters.yaml;285;291
113;7;glance/cmd/cache_cleaner.py;48;56
113;7;glance/cmd/cache_prefetcher.py;48;56
113;7;glance/cmd/cache_pruner.py;48;56
114;7;glance/db/sqlalchemy/migrate_repo/versions/017_quote_encrypted_swift_credentials.py;105;112
114;7;glance/db/sqlalchemy/migrate_repo/versions/015_quote_swift_credentials.py;105;112
115;7;api-ref/source/v2/metadefs-parameters.yaml;2;8
115;7;api-ref/source/v2/images-parameters.yaml;2;8
116;7;glance/api/v2/metadef_namespaces.py;489;495
117;7;glance/api/authorization.py;367;373
118;7;glance/db/sqlalchemy/migrate_repo/versions/007_add_owner.py;52;62
118;7;glance/db/sqlalchemy/migrate_repo/versions/009_add_mindisk_and_minram.py;52;62
119;7;glance/db/__init__.py;333;339
120;7;glance/registry/client/__init__.py;290;298
120;7;glance/common/wsgi.py;290;298
121;7;glance/api/middleware/cache.py;572;578
121;7;glance/common/client.py;572;578
122;7;glance/registry/api/v1/__init__.py;52;59
122;7;glance/api/v1/router.py;52;59
123;7;glance/db/sqlalchemy/api.py;612;620
123;7;glance/db/simple/api.py;612;620
124;7;glance/api/v2/metadef_tags.py;147;153
125;7;glance/registry/client/v1/client.py;100;106
126;7;glance/api/v2/metadef_properties.py;107;113
127;7;glance/api/v2/metadef_objects.py;190;198
127;7;glance/api/v2/metadef_tags.py;190;198
128;7;glance/db/sqlalchemy/metadef_api/utils.py;17;23
128;7;glance/db/sqlalchemy/api.py;17;23
129;7;glance/async/flows/base_import.py;359;366
129;7;glance/async/flows/api_image_import.py;359;366
130;7;glance/registry/api/v1/members.py;208;216
130;7;glance/api/v1/members.py;208;216
131;7;glance/image_cache/drivers/sqlite.py;243;251
131;7;glance/image_cache/drivers/xattr.py;243;251
132;7;glance/db/sqlalchemy/api.py;1416;1423
132;7;glance/db/simple/api.py;1416;1423
133;7;glance/db/sqlalchemy/metadata.py;245;251
134;7;glance/db/registry/api.py;117;123
134;7;glance/db/sqlalchemy/api.py;117;123
135;7;glance/db/sqlalchemy/api.py;1482;1489
135;7;glance/db/simple/api.py;1482;1489
136;7;glance/db/sqlalchemy/migrate_repo/versions/017_quote_encrypted_swift_credentials.py;83;89
136;7;glance/db/sqlalchemy/migrate_repo/versions/015_quote_swift_credentials.py;83;89
137;7;glance/api/v2/metadef_resource_types.py;19;37
137;7;glance/api/v2/metadef_properties.py;19;37
138;7;glance/api/v1/images.py;913;919
139;7;glance/api/v2/tasks.py;312;319
139;7;glance/api/v2/images.py;312;319
140;7;glance/common/config.py;354;360
141;7;glance/image_cache/drivers/base.py;36;42
141;7;glance/image_cache/drivers/sqlite.py;36;42
142;7;glance/db/simple/api.py;1820;1827
143;7;glance/db/sqlalchemy/alembic_migrations/add_artifacts_tables.py;83;89
144;7;glance/image_cache/drivers/sqlite.py;325;333
144;7;glance/image_cache/drivers/xattr.py;325;333
145;7;glance/api/v2/metadef_namespaces.py;268;274
146;7;glance/cmd/replicator.py;384;394
147;6;glance/api/v2/metadef_namespaces.py;371;376
147;6;glance/api/v2/metadef_properties.py;371;376
147;6;glance/api/v2/metadef_tags.py;371;376
147;6;glance/api/v2/metadef_objects.py;371;376
148;6;glance/db/sqlalchemy/migrate_repo/versions/003_add_disk_format.py;42;47
148;6;glance/db/sqlalchemy/migrate_repo/versions/009_add_mindisk_and_minram.py;42;47
148;6;glance/db/sqlalchemy/migrate_repo/versions/007_add_owner.py;42;47
148;6;glance/db/sqlalchemy/migrate_repo/versions/030_add_tasks_table.py;42;47
148;6;glance/db/sqlalchemy/migrate_repo/versions/004_add_checksum.py;42;47
148;6;glance/db/sqlalchemy/migrate_repo/versions/005_size_big_integer.py;42;47
148;6;glance/db/sqlalchemy/migrate_repo/versions/001_add_images_table.py;42;47
148;6;glance/db/sqlalchemy/migrate_repo/versions/002_add_image_properties_table.py;42;47
148;6;glance/db/sqlalchemy/migrate_repo/versions/008_add_image_members_table.py;42;47
149;6;glance/api/v2/metadef_properties.py;148;153
149;6;glance/api/v2/metadef_tags.py;148;153
149;6;glance/api/v2/tasks.py;148;153
149;6;glance/api/v2/images.py;148;153
149;6;glance/api/v2/image_members.py;148;153
149;6;glance/api/v2/metadef_namespaces.py;148;153
149;6;glance/api/v2/metadef_resource_types.py;148;153
149;6;glance/api/v2/metadef_objects.py;148;153
150;6;glance/api/v2/metadef_namespaces.py;82;87
150;6;glance/api/v2/metadef_properties.py;82;87
150;6;glance/api/v2/metadef_tags.py;82;87
150;6;glance/api/v2/metadef_resource_types.py;82;87
151;6;glance/api/v2/metadef_namespaces.py;499;504
151;6;glance/api/v2/metadef_properties.py;499;504
151;6;glance/api/v2/metadef_tags.py;499;504
151;6;glance/api/v2/images.py;499;504
151;6;glance/api/v2/metadef_objects.py;499;504
152;6;glance/api/v2/metadef_namespaces.py;42;47
152;6;glance/api/v2/metadef_properties.py;42;47
152;6;glance/api/v2/metadef_tags.py;42;47
152;6;glance/api/v2/metadef_resource_types.py;42;47
152;6;glance/api/v2/metadef_objects.py;42;47
153;6;glance/api/v2/metadef_namespaces.py;155;160
153;6;glance/api/v2/metadef_properties.py;155;160
153;6;glance/api/v2/metadef_tags.py;155;160
153;6;glance/api/v2/metadef_resource_types.py;155;160
153;6;glance/api/v2/metadef_objects.py;155;160
154;6;glance/db/sqlalchemy/migrate_repo/versions/003_add_disk_format.py;52;60
154;6;glance/db/sqlalchemy/migrate_repo/versions/009_add_mindisk_and_minram.py;52;60
154;6;glance/db/sqlalchemy/migrate_repo/versions/005_size_big_integer.py;52;60
154;6;glance/db/sqlalchemy/migrate_repo/versions/007_add_owner.py;52;60
155;6;glance/image_cache/__init__.py;95;101
155;6;glance/image_cache/drivers/sqlite.py;95;101
155;6;glance/image_cache/drivers/xattr.py;95;101
155;6;glance/image_cache/drivers/base.py;95;101
156;6;glance/image_cache/__init__.py;212;217
156;6;glance/image_cache/drivers/sqlite.py;212;217
156;6;glance/image_cache/drivers/xattr.py;212;217
156;6;glance/image_cache/drivers/base.py;212;217
157;6;glance/api/v2/metadef_namespaces.py;21;37
157;6;glance/api/v2/metadef_properties.py;21;37
157;6;glance/api/v2/metadef_resource_types.py;21;37
157;6;glance/api/v2/images.py;21;37
158;6;glance/db/sqlalchemy/migrate_repo/versions/042_add_changes_to_reinstall_unique_metadef_constraints.py;89;95
159;6;glance/db/__init__.py;507;512
160;6;glance/image_cache/drivers/base.py;104;110
160;6;glance/image_cache/drivers/sqlite.py;104;110
160;6;glance/image_cache/drivers/xattr.py;104;110
161;6;glance/image_cache/drivers/base.py;182;188
161;6;glance/image_cache/drivers/sqlite.py;182;188
161;6;glance/image_cache/drivers/xattr.py;182;188
162;6;api-ref/source/v2/tasks-parameters.yaml;70;75
162;6;api-ref/source/v2/metadefs-parameters.yaml;70;75
162;6;api-ref/source/v2/images-parameters.yaml;70;75
163;6;api-ref/source/v2/tasks-parameters.yaml;200;205
163;6;api-ref/source/v2/metadefs-parameters.yaml;200;205
163;6;api-ref/source/v2/images-parameters.yaml;200;205
164;6;glance/common/wsgi.py;269;276
164;6;glance/api/middleware/context.py;269;276
165;6;glance/image_cache/drivers/base.py;173;179
165;6;glance/image_cache/drivers/sqlite.py;173;179
165;6;glance/image_cache/drivers/xattr.py;173;179
166;6;glance/api/v2/tasks.py;389;394
166;6;glance/api/v2/metadef_namespaces.py;389;394
166;6;glance/api/v2/metadef_objects.py;389;394
167;6;glance/api/v2/tasks.py;162;169
167;6;glance/api/v2/metadef_namespaces.py;162;169
167;6;glance/api/v2/metadef_objects.py;162;169
168;6;glance/async/flows/base_import.py;88;94
168;6;glance/async/flows/api_image_import.py;88;94
169;6;glance/db/registry/api.py;110;115
169;6;glance/db/sqlalchemy/api.py;110;115
170;6;glance/image_cache/drivers/sqlite.py;276;281
170;6;glance/image_cache/drivers/xattr.py;276;281
171;6;glance/api/v1/images.py;269;275
172;6;glance/common/scripts/api_image_import/main.py;45;55
172;6;glance/common/scripts/image_import/main.py;45;55
173;6;glance/db/sqlalchemy/migrate_repo/versions/041_add_artifact_tables.py;69;74
174;6;glance/common/scripts/api_image_import/main.py;16;35
174;6;glance/common/scripts/image_import/main.py;16;35
175;6;glance/api/v2/metadef_resource_types.py;61;66
175;6;glance/api/v2/metadef_namespaces.py;61;66
176;6;glance/api/v2/image_tags.py;51;56
177;6;api-ref/source/v2/images-parameters.yaml;289;298
178;6;glance/api/v1/images.py;188;193
178;6;glance/api/middleware/cache.py;188;193
179;6;glance/api/v1/upload_utils.py;248;253
180;6;glance/registry/api/v1/members.py;275;280
180;6;glance/api/v1/members.py;275;280
181;6;glance/api/v1/images.py;1078;1083
182;6;glance/db/registry/api.py;249;255
182;6;glance/db/simple/api.py;249;255
183;6;glance/api/v2/image_data.py;211;217
184;6;glance/cmd/control.py;32;40
184;6;glance/cmd/manage.py;32;40
185;6;glance/notifier.py;353;359
186;6;glance/api/v2/image_data.py;235;241
187;6;glance/registry/api/v1/members.py;91;96
187;6;glance/api/v1/members.py;91;96
188;6;glance/api/v2/metadef_namespaces.py;799;806
188;6;glance/api/v2/metadef_properties.py;799;806
189;6;glance/notifier.py;163;168
189;6;glance/db/__init__.py;163;168
190;6;glance/registry/api/v2/__init__.py;27;35
190;6;glance/registry/api/v1/__init__.py;27;35
191;6;glance/api/v2/metadef_objects.py;202;207
191;6;glance/api/v2/metadef_tags.py;202;207
192;6;glance/cmd/api.py;37;43
192;6;glance/cmd/cache_prefetcher.py;37;43
193;6;glance/async/flows/base_import.py;410;416
193;6;glance/async/flows/api_image_import.py;410;416
194;6;glance/async/flows/base_import.py;418;423
194;6;glance/async/flows/api_image_import.py;418;423
195;6;glance/image_cache/drivers/sqlite.py;486;492
195;6;glance/image_cache/drivers/xattr.py;486;492
