System;System element;Type;Depth;Weight;LINES_OF_CODE;DUPLICATION;CODE_BREAKDOWN;CODE_BREAKDOWN Rating;DEPLOYMENT_BREAKDOWN;DEPLOYMENT_BREAKDOWN Rating;INTER_COMPONENT_DUPLICATION;INTER_COMPONENT_DUPLICATION Rating;SHARED_CODE;SHARED_CODE Rating;SHARED_DEPENDENCIES;SHARED_DEPENDENCIES Rating;COMMUNICATION_CENTRALIZATION;COMMUNICATION_CENTRALIZATION Rating;INTERFACE_CENTRALIZATION;INTERFACE_CENTRALIZATION Rating;DATA_STORE_ENCAPSULATION;DATA_STORE_ENCAPSULATION Rating;COMPONENT_COHESION;COMPONENT_COHESION Rating;USAGE_COHESION;USAGE_COHESION Rating;INCOMING_DEPENDENCIES;INCOMING_DEPENDENCIES Rating;OUTGOING_DEPENDENCIES;OUTGOING_DEPENDENCIES Rating;COMMUNICATION_COMPLEXITY;COMMUNICATION_COMPLEXITY Rating;STATELESSNESS;STATELESSNESS Rating;ASYNCHRONOUS_COMMUNICATION;ASYNCHRONOUS_COMMUNICATION Rating;COMMUNICATION_BOTTLENECKS;COMMUNICATION_BOTTLENECKS Rating;DATA_STORE_SCALABILITY;DATA_STORE_SCALABILITY Rating;TECHNOLOGY_COHESION;TECHNOLOGY_COHESION Rating;CBA Rating;SOA Rating;CLOUD_NATIVENESS Rating;ARCHITECTURE_MAINTAINABILITY Rating;ID;Parent ID
opensource-openstack-glance;opensource-openstack-glance;SystemLevel;;30108.0;30108.0;11.7;12857.0;1.6;25726.0;2.4;6.2;4.7;;;;;30.5;3.4;;;28.0;3.1;0.5;1.8;;;125.0;5.2;144.0;2.7;0.1;2.2;0.0;5.5;;;;;1.0;;;;3.3;2.4;5.5;3.7;a6fa984f-be19-44e4-83bf-0f7ea7f02d69;a6fa984f-be19-44e4-83bf-0f7ea7f02d69
opensource-openstack-glance;REMAINDER;CodeComponent;1L;4382.0;4382.0;7.8;4382.0;1.4;;;1.1;4.2;;;;;57.6;4.1;;;;;;;;;0.0;5.5;15.0;2.5;;;;;;;;;;;;;;;;;189f870d-1a7c-470b-aae8-6eef891a8f2a;189f870d-1a7c-470b-aae8-6eef891a8f2a
opensource-openstack-glance;glance.api;CodeComponent;1;7951.0;7951.0;13.9;1493.0;1.9;;;8.5;3.0;;;;;2.1;1.7;;;;;0.4;2.1;;;4.0;3.3;44.0;1.7;;;;;;;;;;;;;;;;;0d2394e6-9956-4451-a0af-c0e08f9418ed;0d2394e6-9956-4451-a0af-c0e08f9418ed d3809a41-d2bb-4309-9be8-9ab230e1c4d6
opensource-openstack-glance;glance.api.middleware;CodeComponent;2L;468.0;468.0;7.9;468.0;2.4;;;6.8;3.2;;;;;0.0;0.5;;;;;;;;;0.0;5.5;11.0;2.9;;;;;;;;;;;;;;;;;8accea2a-5391-4759-8e35-c5acc44f6f31;0d2394e6-9956-4451-a0af-c0e08f9418ed 8accea2a-5391-4759-8e35-c5acc44f6f31 d3809a41-d2bb-4309-9be8-9ab230e1c4d6
opensource-openstack-glance;glance.api.v1;CodeComponent;2L;1369.0;1369.0;11.9;1369.0;1.9;;;9.9;2.8;;;;;1.9;1.7;;;;;;;;;2.0;3.8;8.0;3.2;;;;;;;;;;;;;;;;;339cdcf2-81f2-4742-a8bb-4bcefa4bf18a;0d2394e6-9956-4451-a0af-c0e08f9418ed 339cdcf2-81f2-4742-a8bb-4bcefa4bf18a d3809a41-d2bb-4309-9be8-9ab230e1c4d6
opensource-openstack-glance;glance.api.v2;CodeComponent;2;4621.0;4621.0;19.3;4485.0;1.4;;;11.5;2.6;;;;;2.7;1.8;;;;;0.1;1.1;;;2.0;3.8;36.0;1.9;;;;;;;;;;;;;;;;;fd7b5f2d-6aa2-45cb-92b4-e84aeabfd794;0d2394e6-9956-4451-a0af-c0e08f9418ed fd7b5f2d-6aa2-45cb-92b4-e84aeabfd794 d3809a41-d2bb-4309-9be8-9ab230e1c4d6
opensource-openstack-glance;glance.api.v2.model;CodeComponent;3L;136.0;136.0;0.0;136.0;3.7;;;0.0;5.5;;;;;93.4;5.2;;;;;;;;;0.0;5.5;1.0;4.3;;;;;;;;;;;;;;;;;14034fe5-2e0b-4daf-a709-0d04bee65dd5;0d2394e6-9956-4451-a0af-c0e08f9418ed fd7b5f2d-6aa2-45cb-92b4-e84aeabfd794 14034fe5-2e0b-4daf-a709-0d04bee65dd5 d3809a41-d2bb-4309-9be8-9ab230e1c4d6
opensource-openstack-glance;glance.async;CodeComponent;1;863.0;863.0;13.8;195.0;3.3;;;6.5;3.2;;;;;40.3;3.7;;;;;0.3;1.7;;;0.0;5.5;8.0;3.2;;;;;;;;;;;;;;;;;5ffc5f64-1e3f-4850-8001-6629e758f33b;5ffc5f64-1e3f-4850-8001-6629e758f33b d3809a41-d2bb-4309-9be8-9ab230e1c4d6
opensource-openstack-glance;glance.async.flows;CodeComponent;2L;668.0;668.0;17.8;668.0;2.3;;;8.4;3.0;;;;;33.7;3.6;;;;;;;;;0.0;5.5;8.0;3.2;;;;;;;;;;;;;;;;;4da5de25-af7e-448d-808d-7c6ecb2e8307;4da5de25-af7e-448d-808d-7c6ecb2e8307 5ffc5f64-1e3f-4850-8001-6629e758f33b d3809a41-d2bb-4309-9be8-9ab230e1c4d6
opensource-openstack-glance;glance.cmd;CodeComponent;1L;1684.0;1684.0;9.0;1684.0;1.8;;;0.0;5.5;;;;;0.1;1.5;;;7.0;3.1;;;;;0.0;5.5;19.0;2.4;;;;;;;;;;;;;;;;;66cd7871-52ef-44b6-b77f-f9a4f5a8745e;66cd7871-52ef-44b6-b77f-f9a4f5a8745e d3809a41-d2bb-4309-9be8-9ab230e1c4d6
opensource-openstack-glance;glance.common;CodeComponent;1;3307.0;3307.0;4.2;2860.0;1.4;;;2.0;4.0;;;;;86.8;5.0;;;7.0;3.1;0.8;3.7;;;89.0;1.4;5.0;3.6;;;;;;;;;;;;;;;;;08782172-aa22-46f0-8f56-979902e5b8ca;08782172-aa22-46f0-8f56-979902e5b8ca d3809a41-d2bb-4309-9be8-9ab230e1c4d6
opensource-openstack-glance;glance.common.location_strategy;CodeComponent;2L;169.0;169.0;0.0;169.0;3.4;;;0.0;5.5;;;;;;;;;;;;;;;1.0;4.1;0.0;5.5;;;;;;;;;;;;;;;;;0ac6df9b-a92f-4af3-a6cb-7f640c5f9828;08782172-aa22-46f0-8f56-979902e5b8ca 0ac6df9b-a92f-4af3-a6cb-7f640c5f9828 d3809a41-d2bb-4309-9be8-9ab230e1c4d6
opensource-openstack-glance;glance.common.scripts;CodeComponent;2;278.0;278.0;26.6;99.0;4.1;;;13.3;2.4;;;;;11.5;2.6;;;;;0.4;2.3;;;5.0;3.2;5.0;3.6;;;;;;;;;;;;;;;;;378e2953-1d93-4aa8-8f8c-e7f0d97373d9;378e2953-1d93-4aa8-8f8c-e7f0d97373d9 08782172-aa22-46f0-8f56-979902e5b8ca d3809a41-d2bb-4309-9be8-9ab230e1c4d6
