Source;Source top level component;Target;Target top level component;Dependency type
DB::DataStore;;identity_provider::DataStoreEntity;;STORES
DB::DataStore;;user::DataStoreEntity;;STORES
REMAINDER::CodeComponent;REMAINDER;api-ref/source/conf.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;api-ref/source/v2-admin/parameters.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;api-ref/source/v2-ext/parameters.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;api-ref/source/v2/parameters.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;api-ref/source/v3-ext/federation/assertion/parameters.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;api-ref/source/v3-ext/federation/auth/parameters.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;api-ref/source/v3-ext/federation/identity-provider/parameters.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;api-ref/source/v3-ext/federation/mapping/parameters.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;api-ref/source/v3-ext/federation/projects-domains/parameters.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;api-ref/source/v3-ext/federation/service-provider/parameters.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;api-ref/source/v3-ext/parameters.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;api-ref/source/v3/parameters.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;api-ref/source/v3/status.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;etc/sso_callback_template.html;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;keystone/exception.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;keystone/i18n.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;keystone/notifications.py;REMAINDER;CONTAINS
