ID;Length;File;Start line;End line
0;35;keystone/common/sql/migrate_repo/versions/097_drop_user_name_domainid_constraint.py;13;67
0;35;keystone/common/sql/migrate_repo/versions/104_drop_user_name_domainid_constraint.py;13;67
1;27;playbooks/legacy/keystone-dsvm-functional-v3-only/run.yaml;3;32
1;27;playbooks/legacy/keystone-dsvm-functional/run.yaml;3;32
1;27;playbooks/legacy/keystone-dsvm-py35-functional-v3-only/run.yaml;3;32
2;24;playbooks/legacy/keystone-dsvm-functional-v3-only/run.yaml;3;29
2;24;playbooks/legacy/keystone-dsvm-functional/run.yaml;3;29
2;24;playbooks/legacy/keystone-dsvm-grenade-multinode/run.yaml;3;29
2;24;playbooks/legacy/keystone-dsvm-py35-functional-v3-only/run.yaml;3;29
3;23;keystone/common/sql/migrate_repo/versions/096_drop_role_name_constraint.py;13;53
3;23;keystone/common/sql/migrate_repo/versions/101_drop_role_name_constraint.py;13;53
4;21;keystone/common/wsgi.py;250;277
4;21;keystone/middleware/auth.py;250;277
5;19;playbooks/legacy/keystone-tox-patch_cover/post.yaml;4;24
6;17;playbooks/legacy/keystone-tox-patch_cover/post.yaml;12;32
7;16;playbooks/legacy/keystone-dsvm-functional-v3-only/run.yaml;36;53
7;16;playbooks/legacy/keystone-dsvm-functional/run.yaml;36;53
8;15;keystone/common/sql/migrate_repo/versions/096_drop_role_name_constraint.py;38;53
8;15;keystone/common/sql/migrate_repo/versions/101_drop_role_name_constraint.py;38;53
8;15;keystone/common/sql/migrate_repo/versions/088_domain_specific_roles.py;38;53
9;14;playbooks/legacy/keystone-tox-patch_cover/post.yaml;4;19
10;14;playbooks/legacy/keystone-dsvm-functional-v3-only/run.yaml;45;60
10;14;playbooks/legacy/keystone-dsvm-py35-functional-v3-only/run.yaml;45;60
11;14;keystone/common/utils.py;347;363
12;13;playbooks/legacy/keystone-dsvm-py35-functional-v3-only/post.yaml;1;15
12;13;playbooks/legacy/keystone-dsvm-functional-v3-only/post.yaml;1;15
