System;System element;Type;Depth;Weight;LINES_OF_CODE;DUPLICATION;CODE_BREAKDOWN;CODE_BREAKDOWN Rating;DEPLOYMENT_BREAKDOWN;DEPLOYMENT_BREAKDOWN Rating;INTER_COMPONENT_DUPLICATION;INTER_COMPONENT_DUPLICATION Rating;SHARED_CODE;SHARED_CODE Rating;SHARED_DEPENDENCIES;SHARED_DEPENDENCIES Rating;COMMUNICATION_CENTRALIZATION;COMMUNICATION_CENTRALIZATION Rating;INTERFACE_CENTRALIZATION;INTERFACE_CENTRALIZATION Rating;DATA_STORE_ENCAPSULATION;DATA_STORE_ENCAPSULATION Rating;COMPONENT_COHESION;COMPONENT_COHESION Rating;USAGE_COHESION;USAGE_COHESION Rating;INCOMING_DEPENDENCIES;INCOMING_DEPENDENCIES Rating;OUTGOING_DEPENDENCIES;OUTGOING_DEPENDENCIES Rating;COMMUNICATION_COMPLEXITY;COMMUNICATION_COMPLEXITY Rating;STATELESSNESS;STATELESSNESS Rating;ASYNCHRONOUS_COMMUNICATION;ASYNCHRONOUS_COMMUNICATION Rating;COMMUNICATION_BOTTLENECKS;COMMUNICATION_BOTTLENECKS Rating;DATA_STORE_SCALABILITY;DATA_STORE_SCALABILITY Rating;TECHNOLOGY_COHESION;TECHNOLOGY_COHESION Rating;CBA Rating;SOA Rating;CLOUD_NATIVENESS Rating;ARCHITECTURE_MAINTAINABILITY Rating;ID;Parent ID
opensource-openstack-keystone;opensource-openstack-keystone;SystemLevel;;34301.0;34301.0;7.2;21358.0;1.6;28787.0;2.4;2.1;5.4;;;;;29.2;4.4;94.5;4.4;3.0;3.5;0.3;1.5;1.0;5.5;476.0;4.3;489.0;3.3;0.2;2.1;0.0;5.5;;;;;1.0;;;;3.5;3.9;5.5;4.3;a3e51b45-e02e-4192-9233-cfb8f0ac099b;a3e51b45-e02e-4192-9233-cfb8f0ac099b
opensource-openstack-keystone;REMAINDER;CodeComponent;1L;5514.0;5514.0;16.3;5514.0;1.3;;;0.0;5.5;;;;;87.1;5.0;;;;;;;;;0.0;5.5;4.0;3.8;;;;;;;;;;;;;;;;;47af69fe-5cde-44fa-bddb-4a79bddadc2c;47af69fe-5cde-44fa-bddb-4a79bddadc2c
opensource-openstack-keystone;keystone.assignment;CodeComponent;1;2168.0;2168.0;5.6;1564.0;1.8;;;1.6;4.1;;;;;0.1;1.5;89.3;4.1;;;0.3;1.7;;;12.0;2.4;15.0;2.5;;;;;;;;;;;;;;;;;66a7a23e-726b-4210-a90b-b7353157ca39;66a7a23e-726b-4210-a90b-b7353157ca39 0a9fe264-5e79-45d2-ab1a-8c03afc0b47b
opensource-openstack-keystone;keystone.assignment.backends;CodeComponent;2L;402.0;402.0;10.4;402.0;2.4;;;5.2;3.4;;;;;0.0;0.5;;;;;;;;;2.0;3.8;2.0;4.1;;;;;;;;;;;;;;;;;2f338ce4-7322-49e6-bdcc-eb0518e71866;66a7a23e-726b-4210-a90b-b7353157ca39 0a9fe264-5e79-45d2-ab1a-8c03afc0b47b 2f338ce4-7322-49e6-bdcc-eb0518e71866
opensource-openstack-keystone;keystone.assignment.role_backends;CodeComponent;2L;202.0;202.0;3.5;202.0;3.3;;;6.4;3.3;;;;;0.0;0.5;;;;;;;;;0.0;5.5;2.0;4.1;;;;;;;;;;;;;;;;;402c4d08-9134-40ca-af65-945ac082f775;402c4d08-9134-40ca-af65-945ac082f775 66a7a23e-726b-4210-a90b-b7353157ca39 0a9fe264-5e79-45d2-ab1a-8c03afc0b47b
opensource-openstack-keystone;keystone.auth;CodeComponent;1;1379.0;1379.0;6.9;702.0;2.3;;;2.7;3.9;;;;;11.7;2.6;97.4;4.4;;;0.4;2.1;;;24.0;2.2;22.0;2.3;;;;;;;;;;;;;;;;;02387426-72d0-471a-8c9e-05723da328eb;02387426-72d0-471a-8c9e-05723da328eb 0a9fe264-5e79-45d2-ab1a-8c03afc0b47b
opensource-openstack-keystone;keystone.auth.plugins;CodeComponent;2L;677.0;677.0;7.2;677.0;2.3;;;5.5;3.4;;;;;0.1;1.5;;;;;;;;;0.0;5.5;15.0;2.5;;;;;;;;;;;;;;;;;75b82baf-6d10-4c1e-9c44-25d61960208b;75b82baf-6d10-4c1e-9c44-25d61960208b 02387426-72d0-471a-8c9e-05723da328eb 0a9fe264-5e79-45d2-ab1a-8c03afc0b47b
opensource-openstack-keystone;keystone.catalog;CodeComponent;1;1648.0;1648.0;4.1;818.0;2.2;;;2.2;4.0;;;;;0.1;1.5;;;;;0.1;1.2;;;1.0;4.1;29.0;2.1;;;;;;;;;;;;;;;;;6e2ecaa9-8385-4e24-bb1d-e2b35ddb60c1;6e2ecaa9-8385-4e24-bb1d-e2b35ddb60c1 0a9fe264-5e79-45d2-ab1a-8c03afc0b47b
opensource-openstack-keystone;keystone.catalog.backends;CodeComponent;2L;830.0;830.0;8.2;830.0;2.2;;;4.5;3.5;;;;;0.0;0.5;;;;;;;;;0.0;5.5;6.0;3.5;;;;;;;;;;;;;;;;;90f68356-516b-4c4b-820d-1c8eb77a71bd;6e2ecaa9-8385-4e24-bb1d-e2b35ddb60c1 0a9fe264-5e79-45d2-ab1a-8c03afc0b47b 90f68356-516b-4c4b-820d-1c8eb77a71bd
opensource-openstack-keystone;keystone.cmd;CodeComponent;1;1201.0;1201.0;8.1;922.0;2.2;;;2.3;4.0;;;;;1.7;1.7;;;;;0.1;1.0;;;0.0;5.5;23.0;2.3;;;;;;;;;;;;;;;;;606c8c4b-a353-4a3f-8845-9a7cdefd8a57;0a9fe264-5e79-45d2-ab1a-8c03afc0b47b 606c8c4b-a353-4a3f-8845-9a7cdefd8a57
opensource-openstack-keystone;keystone.cmd.doctor;CodeComponent;2L;279.0;279.0;15.8;279.0;2.9;;;10.0;2.8;;;;;0.0;0.5;;;;;;;;;0.0;5.5;13.0;2.7;;;;;;;;;;;;;;;;;a807506d-0334-41de-969c-23da36481a74;0a9fe264-5e79-45d2-ab1a-8c03afc0b47b 606c8c4b-a353-4a3f-8845-9a7cdefd8a57 a807506d-0334-41de-969c-23da36481a74
opensource-openstack-keystone;keystone.common;CodeComponent;1;6816.0;6816.0;6.0;2305.0;1.5;;;2.9;3.8;;;;;42.6;3.8;;;3.0;3.5;0.3;1.9;;;105.0;1.3;134.0;1.1;;;;;;;;;;;;;;;;;96d8f69c-160b-4a2f-846b-d24308c8b725;0a9fe264-5e79-45d2-ab1a-8c03afc0b47b 96d8f69c-160b-4a2f-846b-d24308c8b725
opensource-openstack-keystone;keystone.common.cache;CodeComponent;2L;179.0;179.0;0.0;179.0;3.4;;;0.0;5.5;;;;;37.4;3.7;;;;;;;;;0.0;5.5;1.0;4.3;;;;;;;;;;;;;;;;;cdb5eb0c-9d8a-4669-a857-8e97a403f23e;0a9fe264-5e79-45d2-ab1a-8c03afc0b47b 96d8f69c-160b-4a2f-846b-d24308c8b725 cdb5eb0c-9d8a-4669-a857-8e97a403f23e
opensource-openstack-keystone;keystone.common.policies;CodeComponent;2L;1734.0;1734.0;0.0;1734.0;1.8;;;0.0;5.5;;;;;29.6;3.5;;;;;;;;;1.0;4.1;84.0;1.3;;;;;;;;;;;;;;;;;cf178717-951b-4998-8476-54cba691c4fa;0a9fe264-5e79-45d2-ab1a-8c03afc0b47b cf178717-951b-4998-8476-54cba691c4fa 96d8f69c-160b-4a2f-846b-d24308c8b725
opensource-openstack-keystone;keystone.common.sql;CodeComponent;2;2485.0;2485.0;13.2;476.0;2.4;;;6.9;3.2;;;;;55.5;4.1;;;3.0;3.5;0.3;1.9;;;1.0;4.1;29.0;2.1;;;;;;;;;;;;;;;;;68376b7c-af9f-438c-aa27-2571c0dd10c7;0a9fe264-5e79-45d2-ab1a-8c03afc0b47b 68376b7c-af9f-438c-aa27-2571c0dd10c7 96d8f69c-160b-4a2f-846b-d24308c8b725
