Source;Source top level component;Target;Target top level component;Dependency type
DB::DataStore;;%(table)s::DataStoreEntity;;STORES
DB::DataStore;;device::DataStoreEntity;;STORES
DB::DataStore;;pg_class::DataStoreEntity;;STORES
DB::DataStore;;the::DataStoreEntity;;STORES
REMAINDER::CodeComponent;REMAINDER;neutron/_i18n.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;neutron/auth.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;neutron/manager.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;neutron/neutron_plugin_base_v2.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;neutron/opts.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;neutron/policy.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;neutron/service.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;neutron/version.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;neutron/worker.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;neutron/wsgi.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;playbooks/legacy/neutron-fullstack/post.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;playbooks/legacy/neutron-fullstack/run.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;playbooks/legacy/neutron-functional/post.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;playbooks/legacy/neutron-functional/run.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;playbooks/legacy/neutron-grenade-dvr-multinode/post.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;playbooks/legacy/neutron-grenade-dvr-multinode/run.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;playbooks/legacy/neutron-grenade-multinode/post.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;playbooks/legacy/neutron-grenade-multinode/run.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;playbooks/legacy/neutron-grenade/post.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;playbooks/legacy/neutron-grenade/run.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;playbooks/legacy/neutron-rally-neutron/post.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;playbooks/legacy/neutron-rally-neutron/run.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;playbooks/legacy/neutron-tempest-dvr-ha-multinode-full/post.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;playbooks/legacy/neutron-tempest-dvr-ha-multinode-full/run.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;playbooks/legacy/neutron-tempest-dvr/post.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;playbooks/legacy/neutron-tempest-dvr/run.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;playbooks/legacy/neutron-tempest-full/post.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;playbooks/legacy/neutron-tempest-full/run.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;playbooks/legacy/neutron-tempest-linuxbridge/post.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;playbooks/legacy/neutron-tempest-linuxbridge/run.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;playbooks/legacy/neutron-tempest-multinode-full/post.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;playbooks/legacy/neutron-tempest-multinode-full/run.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;playbooks/legacy/neutron-tempest-ovsfw/post.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;playbooks/legacy/neutron-tempest-ovsfw/run.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;rally-jobs/neutron-neutron.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/1500-default-mtu-b0d6e4ab193b62a4.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/1500-default-segment-mtu-54e2cf6aea9602d5.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/404-for-quota-tenant-2c09c16759269b21.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/Adds-http_proxy_to_wsgi-middleware-24e8271cbd94ffdf.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/Dscp-marking-for-linuxbridge-agent-e765d0d934fa4017.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/Ingress-bandwidth-limit-in-openvswitch-agent-51cda9bb6b511885.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/QoS-for-linuxbridge-agent-bdb13515aac4e555.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/QoS-ingress-bandwidth-limit-54cea12dbea71172.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/access_as_external_rbac-455dc74b9fa22761.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/add-availability-zone-4440cf00be7c54ba.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/add-designate-driver-ssl-options-169c299c96f2aff0.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/add-dhcp_release6-ff1b8d62fd7fe76d.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/add-dns-domain-to-ports-f71359d75909a2d5.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/add-enable-dvr-knob-636268f775bb4569.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;releasenotes/notes/add-get-me-a-network-56321aeef5389001.yaml;REMAINDER;CONTAINS
