ID;Length;File;Start line;End line
0;56;playbooks/legacy/neutron-functional/post.yaml;1;64
0;56;playbooks/legacy/neutron-fullstack/post.yaml;1;64
1;42;playbooks/legacy/neutron-tempest-dvr-ha-multinode-full/run.yaml;4;50
1;42;playbooks/legacy/neutron-tempest-multinode-full/run.yaml;4;50
2;34;playbooks/legacy/neutron-functional/run.yaml;3;40
2;34;playbooks/legacy/neutron-fullstack/run.yaml;3;40
3;29;playbooks/legacy/neutron-grenade-dvr-multinode/run.yaml;3;35
3;29;playbooks/legacy/neutron-grenade-multinode/run.yaml;3;35
4;26;playbooks/legacy/neutron-tempest-full/run.yaml;4;32
4;26;playbooks/legacy/neutron-tempest-linuxbridge/run.yaml;4;32
4;26;playbooks/legacy/neutron-grenade/run.yaml;4;32
4;26;playbooks/legacy/neutron-tempest-dvr-ha-multinode-full/run.yaml;4;32
4;26;playbooks/legacy/neutron-tempest-multinode-full/run.yaml;4;32
5;26;playbooks/legacy/neutron-tempest-ovsfw/run.yaml;3;31
5;26;playbooks/legacy/neutron-tempest-dvr/run.yaml;3;31
6;25;playbooks/legacy/neutron-fullstack/run.yaml;3;30
6;25;playbooks/legacy/neutron-grenade-dvr-multinode/run.yaml;3;30
6;25;playbooks/legacy/neutron-functional/run.yaml;3;30
6;25;playbooks/legacy/neutron-tempest-ovsfw/run.yaml;3;30
6;25;playbooks/legacy/neutron-grenade-multinode/run.yaml;3;30
6;25;playbooks/legacy/neutron-tempest-dvr/run.yaml;3;30
7;24;playbooks/legacy/neutron-grenade-dvr-multinode/run.yaml;4;30
7;24;playbooks/legacy/neutron-tempest-linuxbridge/run.yaml;4;30
7;24;playbooks/legacy/neutron-grenade/run.yaml;4;30
7;24;playbooks/legacy/neutron-tempest-ovsfw/run.yaml;4;30
7;24;playbooks/legacy/neutron-grenade-multinode/run.yaml;4;30
7;24;playbooks/legacy/neutron-tempest-multinode-full/run.yaml;4;30
7;24;playbooks/legacy/neutron-tempest-dvr/run.yaml;4;30
7;24;playbooks/legacy/neutron-fullstack/run.yaml;4;30
7;24;playbooks/legacy/neutron-tempest-full/run.yaml;4;30
7;24;playbooks/legacy/neutron-functional/run.yaml;4;30
7;24;playbooks/legacy/neutron-tempest-dvr-ha-multinode-full/run.yaml;4;30
7;24;playbooks/legacy/neutron-rally-neutron/run.yaml;4;30
8;22;playbooks/legacy/neutron-tempest-full/run.yaml;35;57
8;22;playbooks/legacy/neutron-tempest-linuxbridge/run.yaml;35;57
9;19;rally-jobs/neutron-neutron.yaml;137;155
10;15;rally-jobs/neutron-neutron.yaml;142;156
11;14;rally-jobs/neutron-neutron.yaml;166;179
12;14;neutron/services/logapi/drivers/manager.py;99;113
12;14;neutron/services/qos/drivers/manager.py;99;113
13;13;playbooks/legacy/neutron-tempest-dvr/post.yaml;1;15
13;13;playbooks/legacy/neutron-tempest-full/post.yaml;1;15
13;13;playbooks/legacy/neutron-tempest-ovsfw/post.yaml;1;15
13;13;playbooks/legacy/neutron-tempest-multinode-full/post.yaml;1;15
13;13;playbooks/legacy/neutron-grenade-dvr-multinode/post.yaml;1;15
13;13;playbooks/legacy/neutron-rally-neutron/post.yaml;1;15
13;13;playbooks/legacy/neutron-grenade-multinode/post.yaml;1;15
13;13;playbooks/legacy/neutron-grenade/post.yaml;1;15
13;13;playbooks/legacy/neutron-tempest-dvr-ha-multinode-full/post.yaml;1;15
13;13;playbooks/legacy/neutron-tempest-linuxbridge/post.yaml;1;15
14;13;neutron/services/qos/drivers/linuxbridge/driver.py;24;38
14;13;neutron/services/qos/drivers/openvswitch/driver.py;24;38
15;13;rally-jobs/neutron-neutron.yaml;243;255
16;13;rally-jobs/neutron-neutron.yaml;58;70
17;13;neutron/plugins/ml2/drivers/openvswitch/agent/ovs_dvr_neutron_agent.py;471;484
18;13;neutron/plugins/ml2/drivers/type_tunnel.py;249;262
19;12;rally-jobs/neutron-neutron.yaml;58;69
20;12;neutron/extensions/tag_ext.py;72;83
20;12;neutron/extensions/tag.py;72;83
21;12;neutron/plugins/ml2/drivers/linuxbridge/agent/linuxbridge_neutron_agent.py;897;911
22;11;rally-jobs/neutron-neutron.yaml;58;68
23;11;neutron/extensions/qos_bw_limit_direction.py;53;66
23;11;neutron/extensions/qos_rule_type_details.py;53;66
23;11;neutron/extensions/qos_default.py;53;66
24;11;neutron/extensions/l3agentscheduler.py;47;58
25;11;playbooks/legacy/neutron-grenade-dvr-multinode/run.yaml;36;47
25;11;playbooks/legacy/neutron-tempest-dvr-ha-multinode-full/run.yaml;36;47
26;11;rally-jobs/neutron-neutron.yaml;76;86
27;11;playbooks/legacy/neutron-grenade-multinode/run.yaml;53;64
27;11;playbooks/legacy/neutron-tempest-multinode-full/run.yaml;53;64
28;10;playbooks/legacy/neutron-tempest-dvr/post.yaml;1;11
28;10;playbooks/legacy/neutron-functional/post.yaml;1;11
28;10;playbooks/legacy/neutron-tempest-full/post.yaml;1;11
28;10;playbooks/legacy/neutron-fullstack/post.yaml;1;11
28;10;playbooks/legacy/neutron-tempest-ovsfw/post.yaml;1;11
28;10;playbooks/legacy/neutron-tempest-multinode-full/post.yaml;1;11
28;10;playbooks/legacy/neutron-grenade-dvr-multinode/post.yaml;1;11
28;10;playbooks/legacy/neutron-rally-neutron/post.yaml;1;11
28;10;playbooks/legacy/neutron-grenade-multinode/post.yaml;1;11
28;10;playbooks/legacy/neutron-grenade/post.yaml;1;11
28;10;playbooks/legacy/neutron-tempest-dvr-ha-multinode-full/post.yaml;1;11
28;10;playbooks/legacy/neutron-tempest-linuxbridge/post.yaml;1;11
29;10;playbooks/legacy/neutron-functional/post.yaml;40;50
29;10;playbooks/legacy/neutron-fullstack/post.yaml;40;50
29;10;playbooks/legacy/neutron-rally-neutron/post.yaml;40;50
30;10;playbooks/legacy/neutron-tempest-full/run.yaml;37;47
30;10;playbooks/legacy/neutron-tempest-linuxbridge/run.yaml;37;47
30;10;playbooks/legacy/neutron-tempest-dvr-ha-multinode-full/run.yaml;37;47
30;10;playbooks/legacy/neutron-tempest-multinode-full/run.yaml;37;47
31;10;rally-jobs/neutron-neutron.yaml;58;67
32;10;playbooks/legacy/neutron-tempest-full/run.yaml;48;57
32;10;playbooks/legacy/neutron-tempest-linuxbridge/run.yaml;48;57
32;10;playbooks/legacy/neutron-tempest-dvr/run.yaml;48;57
33;10;playbooks/legacy/neutron-grenade-dvr-multinode/run.yaml;54;64
33;10;playbooks/legacy/neutron-grenade-multinode/run.yaml;54;64
33;10;playbooks/legacy/neutron-tempest-multinode-full/run.yaml;54;64
34;10;neutron/plugins/ml2/drivers/openvswitch/agent/ovs_dvr_neutron_agent.py;359;368
35;10;neutron/conf/plugins/ml2/drivers/macvtap.py;24;33
35;10;neutron/conf/plugins/ml2/drivers/linuxbridge.py;24;33
36;10;neutron/plugins/ml2/drivers/openvswitch/agent/openflow/ovs_ofctl/br_int.py;32;44
36;10;neutron/plugins/ml2/drivers/openvswitch/agent/openflow/native/br_int.py;32;44
37;10;neutron/quota/resource.py;130;139
38;10;neutron/agent/linux/ip_lib.py;1005;1015
38;10;neutron/privileged/agent/linux/ip_lib.py;1005;1015
39;10;neutron/services/metering/drivers/iptables/iptables_driver.py;224;236
40;9;playbooks/legacy/neutron-tempest-full/run.yaml;49;57
40;9;playbooks/legacy/neutron-tempest-linuxbridge/run.yaml;49;57
40;9;playbooks/legacy/neutron-grenade/run.yaml;49;57
40;9;playbooks/legacy/neutron-tempest-dvr/run.yaml;49;57
41;9;rally-jobs/neutron-neutron.yaml;170;178
42;9;neutron/services/qos/drivers/linuxbridge/driver.py;24;34
42;9;neutron/services/qos/drivers/sriov/driver.py;24;34
42;9;neutron/services/qos/drivers/openvswitch/driver.py;24;34
43;9;neutron/agent/linux/openvswitch_firewall/firewall.py;890;898
44;9;neutron/policy.py;339;348
45;9;neutron/api/v2/base.py;154;168
45;9;neutron/pecan_wsgi/hooks/policy_enforcement.py;154;168
46;9;neutron/extensions/qos_rule_type_details.py;69;79
46;9;neutron/extensions/qos_default.py;69;79
47;9;neutron/extensions/dhcpagentscheduler.py;98;107
47;9;neutron/extensions/l3agentscheduler.py;98;107
48;9;neutron/neutron_plugin_base_v2.py;224;232
49;9;neutron/quota/__init__.py;282;293
49;9;neutron/db/quota/driver.py;282;293
50;8;playbooks/legacy/neutron-grenade-dvr-multinode/post.yaml;4;11
50;8;playbooks/legacy/neutron-rally-neutron/post.yaml;4;11
50;8;playbooks/legacy/neutron-grenade-multinode/post.yaml;4;11
50;8;playbooks/legacy/neutron-grenade/post.yaml;4;11
50;8;playbooks/legacy/neutron-fullstack/post.yaml;4;11
51;8;playbooks/legacy/neutron-fullstack/run.yaml;38;46
51;8;playbooks/legacy/neutron-tempest-full/run.yaml;38;46
51;8;playbooks/legacy/neutron-tempest-linuxbridge/run.yaml;38;46
51;8;playbooks/legacy/neutron-functional/run.yaml;38;46
51;8;playbooks/legacy/neutron-tempest-dvr-ha-multinode-full/run.yaml;38;46
51;8;playbooks/legacy/neutron-tempest-multinode-full/run.yaml;38;46
52;8;playbooks/legacy/neutron-tempest-full/run.yaml;37;45
52;8;playbooks/legacy/neutron-tempest-linuxbridge/run.yaml;37;45
52;8;playbooks/legacy/neutron-grenade/run.yaml;37;45
52;8;playbooks/legacy/neutron-tempest-dvr-ha-multinode-full/run.yaml;37;45
52;8;playbooks/legacy/neutron-tempest-multinode-full/run.yaml;37;45
53;8;neutron/services/metering/drivers/iptables/iptables_driver.py;368;376
54;8;rally-jobs/neutron-neutron.yaml;123;130
55;8;neutron/services/qos/drivers/linuxbridge/driver.py;28;35
55;8;neutron/agent/l3/extensions/fip_qos.py;28;35
55;8;neutron/services/qos/drivers/openvswitch/driver.py;28;35
56;8;neutron/agent/l3/router_info.py;1016;1023
56;8;neutron/agent/l3/dvr_edge_router.py;1016;1023
57;8;rally-jobs/neutron-neutron.yaml;214;221
58;8;neutron/objects/subnet.py;79;87
58;8;neutron/objects/router.py;79;87
59;8;neutron/plugins/ml2/drivers/openvswitch/agent/ovs_neutron_agent.py;735;744
60;8;neutron/plugins/ml2/drivers/openvswitch/agent/ovs_neutron_agent.py;1814;1821
60;8;neutron/plugins/ml2/drivers/mech_sriov/agent/sriov_nic_agent.py;1814;1821
61;8;neutron/plugins/ml2/drivers/openvswitch/agent/ovs_neutron_agent.py;749;756
61;8;neutron/agent/l3/agent.py;749;756
62;8;neutron/agent/l3/dvr_local_router.py;610;617
63;8;neutron/plugins/ml2/drivers/openvswitch/agent/openflow/native/br_phys.py;21;33
63;8;neutron/plugins/ml2/drivers/openvswitch/agent/openflow/ovs_ofctl/br_phys.py;21;33
64;8;neutron/opts.py;187;194
65;8;neutron/db/l3_db.py;1830;1838
65;8;neutron/db/db_base_plugin_v2.py;1830;1838
66;8;neutron/extensions/tag_ext.py;88;95
66;8;neutron/extensions/tag.py;88;95
67;8;neutron/services/logapi/common/db_api.py;204;211
68;8;neutron/plugins/ml2/drivers/agent/_common_agent.py;461;468
68;8;neutron/plugins/ml2/drivers/mech_sriov/agent/sriov_nic_agent.py;461;468
69;8;neutron/plugins/ml2/drivers/openvswitch/agent/openflow/ovs_ofctl/br_int.py;152;160
69;8;neutron/plugins/ml2/drivers/openvswitch/agent/openflow/native/br_int.py;152;160
70;8;neutron/services/trunk/drivers/linuxbridge/driver.py;45;53
70;8;neutron/services/trunk/drivers/openvswitch/driver.py;45;53
71;8;neutron/services/qos/qos_plugin.py;305;315
72;8;neutron/db/securitygroups_rpc_base.py;191;198
73;8;neutron/agent/l3/dvr_edge_router.py;294;301
74;7;rally-jobs/neutron-neutron.yaml;18;24
75;7;rally-jobs/neutron-neutron.yaml;170;176
76;7;playbooks/legacy/neutron-functional/run.yaml;36;43
76;7;playbooks/legacy/neutron-fullstack/run.yaml;36;43
76;7;playbooks/legacy/neutron-grenade/run.yaml;36;43
77;7;neutron/plugins/ml2/drivers/linuxbridge/agent/linuxbridge_neutron_agent.py;898;906
78;7;neutron/quota/resource.py;65;71
79;7;neutron/db/servicetype_db.py;146;154
79;7;neutron/quota/resource_registry.py;146;154
79;7;neutron/notifiers/nova.py;146;154
80;7;neutron/plugins/ml2/drivers/openvswitch/agent/openflow/ovs_ofctl/br_int.py;115;124
80;7;neutron/plugins/ml2/drivers/openvswitch/agent/openflow/native/br_int.py;115;124
81;7;neutron/agent/linux/openvswitch_firewall/firewall.py;882;888
82;7;neutron/plugins/ml2/drivers/openvswitch/agent/openflow/ovs_ofctl/br_int.py;103;110
82;7;neutron/plugins/ml2/drivers/openvswitch/agent/openflow/native/br_int.py;103;110
83;7;neutron/extensions/flavors.py;53;60
83;7;neutron/extensions/qos.py;53;60
84;7;neutron/pecan_wsgi/controllers/extensions.py;35;43
85;7;neutron/neutron_plugin_base_v2.py;67;73
86;7;neutron/neutron_plugin_base_v2.py;207;213
87;7;neutron/agent/linux/ip_lib.py;987;994
87;7;neutron/privileged/agent/linux/ip_lib.py;987;994
88;7;neutron/cmd/ovs_cleanup.py;24;33
88;7;neutron/cmd/ipset_cleanup.py;24;33
89;7;neutron/services/qos/drivers/sriov/driver.py;28;34
89;7;neutron/agent/l3/extensions/fip_qos.py;28;34
90;7;neutron/extensions/segment.py;168;175
91;7;neutron/objects/logapi/event_types.py;27;33
91;7;neutron/objects/common_types.py;27;33
92;7;neutron/services/qos/drivers/linuxbridge/driver.py;51;59
92;7;neutron/services/qos/drivers/openvswitch/driver.py;51;59
93;7;neutron/agent/linux/iptables_manager.py;421;427
93;7;neutron/services/logapi/agent/log_extension.py;421;427
94;7;neutron/pecan_wsgi/controllers/root.py;59;65
