System;System element;Type;Depth;Weight;LINES_OF_CODE;DUPLICATION;CODE_BREAKDOWN;CODE_BREAKDOWN Rating;DEPLOYMENT_BREAKDOWN;DEPLOYMENT_BREAKDOWN Rating;INTER_COMPONENT_DUPLICATION;INTER_COMPONENT_DUPLICATION Rating;SHARED_CODE;SHARED_CODE Rating;SHARED_DEPENDENCIES;SHARED_DEPENDENCIES Rating;COMMUNICATION_CENTRALIZATION;COMMUNICATION_CENTRALIZATION Rating;INTERFACE_CENTRALIZATION;INTERFACE_CENTRALIZATION Rating;DATA_STORE_ENCAPSULATION;DATA_STORE_ENCAPSULATION Rating;COMPONENT_COHESION;COMPONENT_COHESION Rating;USAGE_COHESION;USAGE_COHESION Rating;INCOMING_DEPENDENCIES;INCOMING_DEPENDENCIES Rating;OUTGOING_DEPENDENCIES;OUTGOING_DEPENDENCIES Rating;COMMUNICATION_COMPLEXITY;COMMUNICATION_COMPLEXITY Rating;STATELESSNESS;STATELESSNESS Rating;ASYNCHRONOUS_COMMUNICATION;ASYNCHRONOUS_COMMUNICATION Rating;COMMUNICATION_BOTTLENECKS;COMMUNICATION_BOTTLENECKS Rating;DATA_STORE_SCALABILITY;DATA_STORE_SCALABILITY Rating;TECHNOLOGY_COHESION;TECHNOLOGY_COHESION Rating;CBA Rating;SOA Rating;CLOUD_NATIVENESS Rating;ARCHITECTURE_MAINTAINABILITY Rating;ID;Parent ID
opensource-openstack-neutron;opensource-openstack-neutron;SystemLevel;;71690.0;71690.0;3.6;26943.0;1.7;66832.0;2.0;1.0;5.3;;;;;24.7;3.8;;;6.0;3.5;0.4;2.3;;;674.0;3.9;679.0;3.0;0.2;2.1;0.0;5.5;;;;;1.0;;;;3.3;2.0;5.5;3.6;e2e1a244-94c1-4e04-b9d6-e30184a7d260;e2e1a244-94c1-4e04-b9d6-e30184a7d260
opensource-openstack-neutron;REMAINDER;CodeComponent;1L;4858.0;4858.0;21.4;4858.0;1.3;;;0.0;5.5;;;;;75.5;4.5;;;;;;;;;0.0;5.5;9.0;3.1;;;;;;;;;;;;;;;;;f4f2f6ae-f3ed-4e67-b284-f3701fa5f5e4;f4f2f6ae-f3ed-4e67-b284-f3701fa5f5e4
opensource-openstack-neutron;neutron.agent;CodeComponent;1;14832.0;14832.0;1.7;781.0;2.2;;;1.1;4.2;;;;;14.4;2.8;;;3.0;3.5;0.5;2.5;;;56.0;1.5;90.0;1.3;;;;;;;;;;;;;;;;;bfbea2b7-d97a-4146-8119-f251b5208fbe;4e023ac7-1488-485f-a10d-50ac087ebedc bfbea2b7-d97a-4146-8119-f251b5208fbe
opensource-openstack-neutron;neutron.agent.common;CodeComponent;2L;510.0;510.0;0.0;510.0;2.4;;;0.0;5.5;;;;;4.9;2.0;;;;;;;;;26.0;2.1;11.0;2.9;;;;;;;;;;;;;;;;;388f38f4-cc7f-44e9-9242-7bc99164dbb3;388f38f4-cc7f-44e9-9242-7bc99164dbb3 4e023ac7-1488-485f-a10d-50ac087ebedc bfbea2b7-d97a-4146-8119-f251b5208fbe
opensource-openstack-neutron;neutron.agent.dhcp;CodeComponent;2L;551.0;551.0;2.4;551.0;2.4;;;3.3;3.8;;;;;0.0;0.5;;;;;;;;;0.0;5.5;4.0;3.8;;;;;;;;;;;;;;;;;0c533ef4-7618-484a-a7e4-7a37f1c69e83;4e023ac7-1488-485f-a10d-50ac087ebedc 0c533ef4-7618-484a-a7e4-7a37f1c69e83 bfbea2b7-d97a-4146-8119-f251b5208fbe
opensource-openstack-neutron;neutron.agent.l2;CodeComponent;2;360.0;360.0;0.0;60.0;5.5;;;0.0;5.5;;;;;2.2;1.7;;;;;0.3;1.7;;;6.0;3.0;11.0;2.9;;;;;;;;;;;;;;;;;2a5eb87c-8e7f-4de1-b250-037595c3bbbb;2a5eb87c-8e7f-4de1-b250-037595c3bbbb 4e023ac7-1488-485f-a10d-50ac087ebedc bfbea2b7-d97a-4146-8119-f251b5208fbe
opensource-openstack-neutron;neutron.agent.l2.extensions;CodeComponent;3L;300.0;300.0;0.0;300.0;2.8;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;3.0;3.5;10.0;3.0;;;;;;;;;;;;;;;;;9173a61b-7eec-4076-8ce0-269d0d3c6436;2a5eb87c-8e7f-4de1-b250-037595c3bbbb 4e023ac7-1488-485f-a10d-50ac087ebedc bfbea2b7-d97a-4146-8119-f251b5208fbe 9173a61b-7eec-4076-8ce0-269d0d3c6436
opensource-openstack-neutron;neutron.agent.l3;CodeComponent;2;4089.0;4089.0;2.5;3842.0;1.4;;;1.8;4.1;;;;;8.4;2.5;;;;;0.3;1.7;;;5.0;3.2;37.0;1.9;;;;;;;;;;;;;;;;;2c5d1488-eb99-46cb-a41b-f0a4b6f6448a;4e023ac7-1488-485f-a10d-50ac087ebedc bfbea2b7-d97a-4146-8119-f251b5208fbe 2c5d1488-eb99-46cb-a41b-f0a4b6f6448a
opensource-openstack-neutron;neutron.agent.l3.extensions;CodeComponent;3L;247.0;247.0;3.2;247.0;3.1;;;6.1;3.3;;;;;0.0;0.5;;;;;;;;;0.0;5.5;5.0;3.6;;;;;;;;;;;;;;;;;56f9c90d-4738-4e3c-bd84-3fd9ea70f738;4e023ac7-1488-485f-a10d-50ac087ebedc bfbea2b7-d97a-4146-8119-f251b5208fbe 2c5d1488-eb99-46cb-a41b-f0a4b6f6448a 56f9c90d-4738-4e3c-bd84-3fd9ea70f738
opensource-openstack-neutron;neutron.agent.linux;CodeComponent;2;7329.0;7329.0;1.6;6133.0;1.3;;;1.1;4.2;;;;;9.0;2.5;;;3.0;3.5;0.4;2.0;;;38.0;1.9;40.0;1.8;;;;;;;;;;;;;;;;;41a13e8b-e636-45fb-8b7e-c710a57c164f;4e023ac7-1488-485f-a10d-50ac087ebedc bfbea2b7-d97a-4146-8119-f251b5208fbe 41a13e8b-e636-45fb-8b7e-c710a57c164f
