Source;Source top level component;Target;Target top level component;Dependency type
DB::DataStore;;%s::DataStoreEntity;;STORES
DB::DataStore;;(%s)::DataStoreEntity;;STORES
DB::DataStore;;the::DataStoreEntity;;STORES
REMAINDER::CodeComponent;REMAINDER;api-guide/source/conf.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;api-ref/source/conf.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;api-ref/source/parameters.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;bandit.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/availability_zones.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/baserpc.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/block_device.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/cache_utils.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/config.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/context.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/crypto.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/debugger.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/exception.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/exception_wrapper.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/filters.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/hooks.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/i18n.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/loadables.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/manager.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/opts.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/policy.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/quota.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/rpc.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/safe_utils.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/service.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/signature_utils.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/utils.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/version.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/weights.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/wsgi.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/wsgi/nova-api.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;nova/wsgi/nova-metadata.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;plugins/xenserver/networking/etc/xensource/scripts/novalib.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;plugins/xenserver/networking/etc/xensource/scripts/ovs_configure_base_flows.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;plugins/xenserver/networking/etc/xensource/scripts/ovs_configure_vif_flows.py;REMAINDER;CONTAINS
