ID;Length;File;Start line;End line
0;42;nova/compute/task_states.py;27;114
0;42;nova/objects/fields.py;27;114
1;36;nova/image/glance.py;306;347
2;34;nova/quota.py;446;483
3;32;nova/image/glance.py;349;383
4;25;nova/network/neutronv2/api.py;2114;2146
4;25;nova/network/base_api.py;2114;2146
5;24;nova/image/glance.py;256;284
6;24;nova/quota.py;379;406
7;23;nova/db/sqlalchemy/api_models.py;1473;1497
7;23;nova/db/sqlalchemy/models.py;1473;1497
8;21;nova/network/security_group/neutron_driver.py;437;458
9;21;nova/api/openstack/compute/schemas/cells.py;21;50
10;19;nova/quota.py;622;642
11;19;nova/virt/libvirt/config.py;770;790
12;19;nova/virt/vmwareapi/ds_util.py;247;267
13;18;nova/quota.py;198;216
14;18;nova/image/glance.py;286;304
15;17;nova/db/sqlalchemy/migrate_repo/versions/234_add_expire_reservations_index.py;20;45
15;17;nova/db/sqlalchemy/migrate_repo/versions/248_add_expire_reservations_index.py;20;45
16;17;nova/quota.py;152;169
17;16;nova/virt/libvirt/config.py;862;878
18;15;nova/db/sqlalchemy/migrate_repo/versions/277_add_fixed_ip_updated_index.py;29;45
18;15;nova/db/sqlalchemy/migrate_repo/versions/319_add_instances_deleted_created_at_index.py;29;45
18;15;nova/db/sqlalchemy/migrate_repo/versions/295_add_virtual_interfaces_uuid_index.py;29;45
19;15;nova/db/sqlalchemy/api_models.py;1504;1520
19;15;nova/db/sqlalchemy/models.py;1504;1520
20;15;nova/db/sqlalchemy/api_models.py;1453;1469
20;15;nova/db/sqlalchemy/models.py;1453;1469
21;14;nova/api/openstack/compute/remote_consoles.py;84;99
22;14;nova/quota.py;1356;1369
23;14;nova/db/sqlalchemy/api_models.py;1129;1145
23;14;nova/db/sqlalchemy/models.py;1129;1145
24;14;nova/image/glance.py;236;250
25;14;nova/quota.py;75;91
26;14;nova/cmd/compute.py;52;69
26;14;nova/cmd/network.py;52;69
27;14;nova/image/glance.py;198;219
28;14;nova/quota.py;548;563
29;13;nova/compute/manager.py;4428;4442
30;13;nova/api/openstack/compute/schemas/agents.py;33;45
31;13;nova/virt/libvirt/driver.py;5770;5782
32;12;nova/virt/libvirt/imagebackend.py;117;129
33;12;nova/quota.py;545;557
34;12;nova/virt/driver.py;498;509
34;12;nova/virt/xenapi/driver.py;498;509
35;12;nova/api/openstack/compute/floating_ips_bulk.py;134;146
35;12;nova/cmd/manage.py;134;146
36;12;nova/quota.py;568;580
37;12;nova/conductor/manager.py;168;179
38;12;nova/network/api.py;490;502
39;12;nova/api/openstack/compute/schemas/networks.py;17;28
39;12;nova/api/openstack/compute/schemas/tenant_networks.py;17;28
40;12;nova/virt/libvirt/config.py;714;725
41;12;nova/compute/vm_states.py;30;47
41;12;nova/objects/fields.py;30;47
42;11;nova/virt/driver.py;498;508
42;11;nova/virt/xenapi/driver.py;498;508
42;11;nova/virt/libvirt/driver.py;498;508
43;11;nova/quota.py;159;169
44;11;nova/quota.py;1429;1441
45;11;nova/quota.py;632;642
46;11;nova/api/openstack/compute/schemas/networks.py;32;42
46;11;nova/api/openstack/compute/schemas/tenant_networks.py;32;42
47;11;nova/objects/block_device.py;277;288
47;11;nova/objects/instance.py;277;288
48;11;nova/virt/xenapi/driver.py;564;576
48;11;nova/virt/libvirt/driver.py;564;576
49;11;nova/compute/manager.py;1553;1563
49;11;nova/compute/api.py;1553;1563
50;11;nova/utils.py;1038;1052
51;11;nova/conf/scheduler.py;538;552
52;11;plugins/xenserver/xenapi/etc/xapi.d/plugins/utils.py;489;501
52;11;nova/utils.py;489;501
53;11;nova/virt/driver.py;1036;1051
53;11;nova/virt/firewall.py;1036;1051
54;11;nova/api/openstack/compute/schemas/keypairs.py;44;54
55;11;nova/network/linux_net.py;1718;1728
56;10;nova/conf/scheduler.py;510;523
57;10;nova/api/openstack/compute/extended_server_attributes.py;62;71
58;10;nova/network/api.py;226;235
58;10;nova/network/base_api.py;226;235
59;10;nova/volume/encryptors/luks.py;88;99
59;10;nova/volume/encryptors/cryptsetup.py;88;99
60;10;nova/cmd/api_os_compute.py;19;46
60;10;nova/cmd/conductor.py;19;46
61;10;nova/conductor/api.py;366;375
61;10;nova/conductor/rpcapi.py;366;375
62;10;nova/virt/vmwareapi/vmops.py;1396;1405
63;10;nova/conductor/api.py;231;240
63;10;nova/conductor/manager.py;231;240
64;10;nova/compute/manager.py;1831;1840
65;10;nova/virt/hyperv/migrationops.py;174;185
66;10;nova/api/openstack/compute/schemas/flavor_access.py;19;29
67;10;nova/quota.py;548;557
68;10;nova/virt/vmwareapi/driver.py;417;429
68;10;nova/virt/xenapi/driver.py;417;429
69;10;nova/api/openstack/compute/images.py;119;130
70;9;api-ref/source/parameters.yaml;1461;1472
71;9;nova/conf/scheduler.py;485;497
72;9;nova/cmd/cells.py;17;38
72;9;nova/cmd/scheduler.py;17;38
72;9;nova/cmd/api_metadata.py;17;38
72;9;nova/cmd/cert.py;17;38
73;9;nova/conductor/api.py;114;122
73;9;nova/conductor/manager.py;114;122
74;9;nova/db/sqlalchemy/migrate_repo/versions/216_havana.py;835;843
75;9;nova/image/api.py;242;250
75;9;nova/image/glance.py;242;250
76;9;nova/db/sqlalchemy/api_models.py;1335;1343
76;9;nova/db/sqlalchemy/models.py;1335;1343
77;9;nova/quota.py;1230;1238
78;9;nova/api/openstack/compute/security_groups.py;122;131
79;9;nova/compute/api.py;1799;1807
80;9;nova/virt/xenapi/vif.py;88;99
81;9;nova/quota.py;801;809
82;9;nova/db/sqlalchemy/api_migrations/migrate_repo/versions/016_resource_providers.py;55;63
82;9;nova/db/sqlalchemy/migrate_repo/versions/314_add_resource_provider_tables.py;55;63
83;9;nova/virt/storage_users.py;58;66
84;9;nova/compute/manager.py;279;291
84;9;nova/conductor/manager.py;279;291
85;9;nova/db/sqlalchemy/api.py;6051;6066
86;9;nova/conductor/api.py;73;82
87;9;nova/api/openstack/compute/schemas/services.py;18;27
88;9;nova/quota.py;255;264
89;9;nova/virt/vmwareapi/vmops.py;871;879
89;9;nova/virt/vmwareapi/volumeops.py;871;879
90;9;nova/virt/driver.py;305;313
91;9;nova/api/openstack/compute/hypervisors.py;98;107
92;9;nova/virt/vmwareapi/vmops.py;1485;1496
92;9;nova/virt/xenapi/vmops.py;1485;1496
93;9;api-ref/source/parameters.yaml;782;790
94;9;nova/cert/rpcapi.py;46;55
94;9;nova/console/rpcapi.py;46;55
95;9;nova/virt/libvirt/imagebackend.py;445;453
96;9;nova/virt/vmwareapi/images.py;373;384
97;9;nova/api/openstack/compute/migrate_server.py;103;111
97;9;nova/conductor/manager.py;103;111
98;9;nova/api/openstack/compute/floating_ips.py;118;127
99;9;nova/compute/manager.py;6229;6237
100;9;nova/virt/libvirt/designer.py;100;109
101;9;nova/compute/rpcapi.py;385;393
102;9;nova/virt/driver.py;923;933
102;9;nova/virt/libvirt/driver.py;923;933
103;9;nova/scheduler/ironic_host_manager.py;49;57
103;9;nova/scheduler/host_manager.py;49;57
104;9;nova/virt/hardware.py;550;559
105;9;api-ref/source/parameters.yaml;327;338
106;8;nova/policies/admin_password.py;26;35
106;8;nova/policies/config_drive.py;26;35
106;8;nova/policies/limits.py;26;35
106;8;nova/policies/fping.py;26;35
106;8;nova/policies/image_size.py;26;35
106;8;nova/policies/console_output.py;26;35
106;8;nova/policies/rescue.py;26;35
106;8;nova/policies/create_backup.py;26;35
106;8;nova/policies/extended_status.py;26;35
106;8;nova/policies/volumes.py;26;35
106;8;nova/policies/floating_ip_pools.py;26;35
106;8;nova/policies/server_groups.py;26;35
106;8;nova/policies/flavors.py;26;35
106;8;nova/policies/virtual_interfaces.py;26;35
106;8;nova/policies/deferred_delete.py;26;35
107;8;nova/policies/server_usage.py;26;35
107;8;nova/policies/attach_interfaces.py;26;35
107;8;nova/policies/extended_availability_zone.py;26;35
107;8;nova/policies/flavor_rxtx.py;26;35
107;8;nova/policies/extensions.py;26;35
107;8;nova/policies/multinic.py;26;35
107;8;nova/policies/floating_ips.py;26;35
107;8;nova/policies/remote_consoles.py;26;35
107;8;nova/policies/server_password.py;26;35
107;8;nova/policies/extended_volumes.py;26;35
107;8;nova/policies/security_groups.py;26;35
107;8;nova/policies/instance_actions.py;26;35
107;8;nova/policies/tenant_networks.py;26;35
108;8;nova/policies/hypervisors.py;26;35
108;8;nova/policies/evacuate.py;26;35
108;8;nova/policies/used_limits.py;26;35
108;8;nova/policies/baremetal_nodes.py;26;35
108;8;nova/policies/security_group_default_rules.py;26;35
108;8;nova/policies/fixed_ips.py;26;35
108;8;nova/policies/floating_ips_bulk.py;26;35
108;8;nova/policies/hosts.py;26;35
108;8;nova/policies/console_auth_tokens.py;26;35
109;8;nova/policies/server_diagnostics.py;26;35
109;8;nova/policies/services.py;26;35
109;8;nova/policies/extended_server_attributes.py;26;35
109;8;nova/policies/networks_associate.py;26;35
109;8;nova/policies/flavor_manage.py;26;35
109;8;nova/policies/cloudpipe.py;26;35
109;8;nova/policies/agents.py;26;35
109;8;nova/policies/instance_usage_audit_log.py;26;35
110;8;nova/cmd/cells.py;17;36
110;8;nova/cmd/scheduler.py;17;36
110;8;nova/cmd/api_os_compute.py;17;36
110;8;nova/cmd/api_metadata.py;17;36
110;8;nova/cmd/cert.py;17;36
110;8;nova/cmd/conductor.py;17;36
111;8;nova/compute/api.py;2886;2895
112;8;nova/conf/scheduler.py;459;470
113;8;nova/compute/manager.py;4568;4577
114;8;nova/db/sqlalchemy/migrate_repo/versions/270_flavor_data_in_extra.py;24;32
114;8;nova/db/sqlalchemy/migrate_repo/versions/300_migration_context.py;24;32
114;8;nova/db/sqlalchemy/migrate_repo/versions/276_vcpu_model.py;24;32
114;8;nova/db/sqlalchemy/migrate_repo/versions/253_add_pci_requests_to_instance_extra_table.py;24;32
115;8;nova/quota.py;454;463
116;8;nova/quota.py;568;576
117;8;nova/quota.py;835;844
118;8;nova/quota.py;1381;1389
119;8;nova/quota.py;209;216
120;8;nova/virt/libvirt/guest.py;243;250
121;8;nova/servicegroup/drivers/db.py;54;62
121;8;nova/servicegroup/drivers/mc.py;54;62
122;8;nova/cells/filters/target_cell.py;29;36
122;8;nova/cells/filters/different_cell.py;29;36
123;8;nova/virt/ironic/driver.py;45;53
123;8;nova/virt/ironic/client_wrapper.py;45;53
124;8;nova/virt/hyperv/volumeops.py;238;248
125;8;nova/conductor/api.py;95;103
126;8;nova/virt/libvirt/vif.py;307;315
127;8;nova/api/openstack/compute/schemas/keypairs.py;27;34
128;8;nova/api/openstack/extensions.py;188;196
128;8;nova/api/openstack/compute/extension_info.py;188;196
129;8;api-ref/source/parameters.yaml;406;413
130;8;nova/conductor/api.py;366;373
130;8;nova/conductor/rpcapi.py;366;373
131;8;nova/api/openstack/compute/schemas/remote_consoles.py;103;110
132;8;nova/api/openstack/compute/security_group_default_rules.py;74;83
133;8;nova/virt/driver.py;247;254
134;8;nova/policies/availability_zone.py;28;37
134;8;nova/policies/quota_sets.py;28;37
135;8;nova/cmd/manage.py;905;912
136;8;nova/conf/scheduler.py;615;626
137;8;nova/api/openstack/common.py;405;413
137;8;nova/api/openstack/compute/views/images.py;405;413
138;8;nova/api/openstack/compute/schemas/server_metadata.py;15;26
138;8;nova/api/openstack/compute/schemas/image_metadata.py;15;26
139;8;nova/db/sqlalchemy/migration.py;99;110
139;8;nova/db/sqlalchemy/migrate_repo/versions/267_instance_uuid_non_nullable.py;99;110
140;8;nova/quota.py;943;952
141;8;nova/conf/cells.py;330;342
142;8;nova/objects/pci_device.py;301;308
143;8;nova/db/sqlalchemy/api_models.py;1524;1533
143;8;nova/db/sqlalchemy/models.py;1524;1533
144;8;nova/api/openstack/compute/schemas/aggregates.py;86;93
145;8;nova/virt/driver.py;469;478
145;8;nova/virt/xenapi/driver.py;469;478
146;8;plugins/xenserver/networking/etc/xensource/scripts/vif_rules.py;57;65
146;8;plugins/xenserver/networking/etc/xensource/scripts/ovs_configure_vif_flows.py;57;65
147;8;nova/api/openstack/compute/migrate_server.py;104;111
147;8;nova/conductor/manager.py;104;111
148;8;nova/wsgi/nova-metadata.py;17;37
148;8;nova/wsgi/nova-api.py;17;37
149;8;nova/api/openstack/compute/hypervisors.py;159;166
150;8;nova/objects/instance_numa_topology.py;221;231
150;8;nova/objects/numa.py;221;231
151;8;nova/image/glance.py;733;743
152;7;nova/quota.py;918;924
153;7;nova/cmd/api_metadata.py;22;36
153;7;nova/cmd/cells.py;22;36
153;7;nova/cmd/scheduler.py;22;36
153;7;nova/cmd/api_os_compute.py;22;36
153;7;nova/cmd/api.py;22;36
153;7;nova/cmd/cert.py;22;36
153;7;nova/cmd/conductor.py;22;36
154;7;nova/conf/scheduler.py;434;444
155;7;nova/compute/manager.py;4399;4405
156;7;nova/virt/libvirt/volume/remotefs.py;124;131
157;7;nova/cmd/compute.py;37;45
157;7;nova/cmd/network.py;37;45
157;7;nova/cmd/api_metadata.py;37;45
158;7;nova/conf/scheduler.py;205;215
159;7;nova/policies/volumes_attachments.py;34;40
159;7;nova/policies/cells.py;34;40
159;7;nova/policies/flavor_extra_specs.py;34;40
160;7;nova/cells/messaging.py;298;305
160;7;nova/cells/rpcapi.py;298;305
160;7;nova/compute/cells_api.py;298;305
161;7;nova/cmd/dhcpbridge.py;63;69
161;7;nova/cmd/compute.py;63;69
161;7;nova/cmd/network.py;63;69
162;7;nova/api/openstack/compute/schemas/keypairs.py;77;83
163;7;nova/api/openstack/compute/block_device_mapping.py;35;48
163;7;nova/api/openstack/compute/multiple_create.py;35;48
163;7;nova/api/openstack/compute/block_device_mapping_v1.py;35;48
164;7;nova/quota.py;968;975
165;7;nova/conf/scheduler.py;798;808
166;7;nova/db/sqlalchemy/models.py;237;243
166;7;nova/objects/instance.py;237;243
167;7;nova/db/sqlalchemy/api.py;3902;3908
168;7;nova/virt/vmwareapi/driver.py;437;445
168;7;nova/virt/xenapi/driver.py;437;445
169;7;nova/virt/vmwareapi/ds_util.py;368;374
170;7;nova/quota.py;622;630
171;7;nova/virt/libvirt/volume/remotefs.py;284;290
172;7;nova/virt/libvirt/vif.py;709;715
173;7;nova/cert/rpcapi.py;30;39
173;7;nova/console/rpcapi.py;30;39
174;7;nova/virt/vmwareapi/volumeops.py;213;219
175;7;nova/virt/libvirt/vif.py;380;389
176;7;nova/virt/libvirt/config.py;761;768
177;7;nova/policies/volumes_attachments.py;35;41
177;7;nova/policies/flavor_extra_specs.py;35;41
178;7;nova/conductor/manager.py;234;240
179;7;nova/virt/libvirt/config.py;750;756
180;7;nova/virt/vmwareapi/driver.py;235;241
180;7;nova/virt/xenapi/driver.py;235;241
181;7;nova/conf/api.py;197;208
182;7;api-ref/source/parameters.yaml;416;422
183;7;nova/virt/libvirt/volume/fibrechannel.py;42;50
183;7;nova/virt/libvirt/volume/iscsi.py;42;50
184;7;nova/virt/vmwareapi/vmops.py;431;440
185;7;nova/conf/vnc.py;91;102
186;7;nova/conf/cells.py;168;179
187;7;nova/cells/rpcapi.py;297;304
187;7;nova/cells/manager.py;297;304
188;7;nova/db/api.py;6361;6372
188;7;nova/db/sqlalchemy/api.py;6361;6372
189;7;nova/quota.py;778;784
190;7;nova/image/glance.py;226;234
191;7;nova/compute/api.py;3937;3943
192;7;nova/db/sqlalchemy/api_models.py;1101;1107
192;7;nova/db/sqlalchemy/models.py;1101;1107
193;7;nova/image/glance.py;415;423
194;7;nova/network/api.py;399;406
194;7;nova/network/base_api.py;399;406
195;7;nova/api/openstack/compute/consoles.py;114;121
195;7;nova/api/openstack/compute/ips.py;114;121
196;7;nova/objects/service.py;49;55
196;7;nova/notifications/objects/service.py;49;55
197;7;nova/api/openstack/common.py;567;574
