System;System element;Type;Depth;Weight;LINES_OF_CODE;DUPLICATION;CODE_BREAKDOWN;CODE_BREAKDOWN Rating;DEPLOYMENT_BREAKDOWN;DEPLOYMENT_BREAKDOWN Rating;INTER_COMPONENT_DUPLICATION;INTER_COMPONENT_DUPLICATION Rating;SHARED_CODE;SHARED_CODE Rating;SHARED_DEPENDENCIES;SHARED_DEPENDENCIES Rating;COMMUNICATION_CENTRALIZATION;COMMUNICATION_CENTRALIZATION Rating;INTERFACE_CENTRALIZATION;INTERFACE_CENTRALIZATION Rating;DATA_STORE_ENCAPSULATION;DATA_STORE_ENCAPSULATION Rating;COMPONENT_COHESION;COMPONENT_COHESION Rating;USAGE_COHESION;USAGE_COHESION Rating;INCOMING_DEPENDENCIES;INCOMING_DEPENDENCIES Rating;OUTGOING_DEPENDENCIES;OUTGOING_DEPENDENCIES Rating;COMMUNICATION_COMPLEXITY;COMMUNICATION_COMPLEXITY Rating;STATELESSNESS;STATELESSNESS Rating;ASYNCHRONOUS_COMMUNICATION;ASYNCHRONOUS_COMMUNICATION Rating;COMMUNICATION_BOTTLENECKS;COMMUNICATION_BOTTLENECKS Rating;DATA_STORE_SCALABILITY;DATA_STORE_SCALABILITY Rating;TECHNOLOGY_COHESION;TECHNOLOGY_COHESION Rating;CBA Rating;SOA Rating;CLOUD_NATIVENESS Rating;ARCHITECTURE_MAINTAINABILITY Rating;ID;Parent ID
opensource-openstack-nova;opensource-openstack-nova;SystemLevel;;113477.0;113477.0;5.4;55872.0;1.4;103073.0;1.7;1.5;4.5;;;;;25.6;3.9;;;4.0;3.8;0.5;2.3;;;521.0;3.3;524.0;2.8;0.1;2.3;0.0;5.5;;;;;1.0;;;;3.1;1.7;5.5;3.4;4b85d4d7-9d5a-4f60-a49e-6c2a3f67d6d7;4b85d4d7-9d5a-4f60-a49e-6c2a3f67d6d7
opensource-openstack-nova;REMAINDER;CodeComponent;1L;10404.0;10404.0;7.5;10404.0;1.1;;;0.1;4.4;;;;;54.6;4.0;;;;;;;;;0.0;5.5;33.0;2.0;;;;;;;;;;;;;;;;;eab58e01-e908-4199-9baf-004f305d87e1;eab58e01-e908-4199-9baf-004f305d87e1
opensource-openstack-nova;nova.api;CodeComponent;1;14966.0;14966.0;5.9;189.0;3.3;;;2.8;3.9;;;;;26.8;3.4;;;;;0.6;3.2;;;10.0;2.5;131.0;1.1;;;;;;;;;;;;;;;;;a9e942dc-617b-4868-a4ac-d16b12599137;e3b5714e-9904-444d-b53d-9b8a2b50df70 a9e942dc-617b-4868-a4ac-d16b12599137
opensource-openstack-nova;nova.api.ec2;CodeComponent;2L;224.0;224.0;0.0;224.0;3.2;;;0.0;5.5;;;;;22.3;3.2;;;;;;;;;4.0;3.3;2.0;4.1;;;;;;;;;;;;;;;;;c846758b-7fd0-49c7-953a-ddfc1000ba06;e3b5714e-9904-444d-b53d-9b8a2b50df70 c846758b-7fd0-49c7-953a-ddfc1000ba06 a9e942dc-617b-4868-a4ac-d16b12599137
opensource-openstack-nova;nova.api.metadata;CodeComponent;2L;747.0;747.0;0.8;747.0;2.3;;;0.8;4.3;;;;;6.6;2.2;;;;;;;;;7.0;2.9;9.0;3.1;;;;;;;;;;;;;;;;;681fb319-e2c1-4ce5-aeb4-892f6a8dc607;681fb319-e2c1-4ce5-aeb4-892f6a8dc607 e3b5714e-9904-444d-b53d-9b8a2b50df70 a9e942dc-617b-4868-a4ac-d16b12599137
opensource-openstack-nova;nova.api.openstack;CodeComponent;2;13330.0;13330.0;6.4;1823.0;1.7;;;3.1;3.8;;;;;16.0;2.9;;;;;0.5;2.3;;;1.0;4.1;191.0;0.8;;;;;;;;;;;;;;;;;2e9eb6e3-90ca-4faa-8612-c8a230e77845;e3b5714e-9904-444d-b53d-9b8a2b50df70 2e9eb6e3-90ca-4faa-8612-c8a230e77845 a9e942dc-617b-4868-a4ac-d16b12599137
opensource-openstack-nova;nova.api.openstack.compute;CodeComponent;3;11507.0;11507.0;7.2;9234.0;1.2;;;3.5;3.7;;;;;4.5;2.0;;;;;0.2;1.4;;;0.0;5.5;279.0;0.5;;;;;;;;;;;;;;;;;6186c6c4-3cdf-4f18-ba6c-9c43cdf404c8;e3b5714e-9904-444d-b53d-9b8a2b50df70 6186c6c4-3cdf-4f18-ba6c-9c43cdf404c8 2e9eb6e3-90ca-4faa-8612-c8a230e77845 a9e942dc-617b-4868-a4ac-d16b12599137
opensource-openstack-nova;nova.api.openstack.compute.schemas;CodeComponent;4L;1725.0;1725.0;19.0;1725.0;1.8;;;9.7;2.9;;;;;24.2;3.3;;;;;;;;;46.0;1.7;35.0;2.0;;;;;;;;;;;;;;;;;7853db2f-7d7a-4fa8-8b03-83e2ea7e19eb;e3b5714e-9904-444d-b53d-9b8a2b50df70 6186c6c4-3cdf-4f18-ba6c-9c43cdf404c8 7853db2f-7d7a-4fa8-8b03-83e2ea7e19eb 2e9eb6e3-90ca-4faa-8612-c8a230e77845 a9e942dc-617b-4868-a4ac-d16b12599137
opensource-openstack-nova;nova.api.openstack.compute.views;CodeComponent;4L;548.0;548.0;3.6;548.0;2.4;;;2.6;3.9;;;;;7.7;2.4;;;;;;;;;11.0;2.4;10.0;3.0;;;;;;;;;;;;;;;;;22ee70bd-8893-42dd-bb81-235e34046d7d;e3b5714e-9904-444d-b53d-9b8a2b50df70 6186c6c4-3cdf-4f18-ba6c-9c43cdf404c8 22ee70bd-8893-42dd-bb81-235e34046d7d 2e9eb6e3-90ca-4faa-8612-c8a230e77845 a9e942dc-617b-4868-a4ac-d16b12599137
opensource-openstack-nova;nova.api.validation;CodeComponent;2L;476.0;476.0;5.0;476.0;2.4;;;1.3;4.2;;;;;92.6;5.2;;;;;;;;;34.0;1.9;1.0;4.3;;;;;;;;;;;;;;;;;033681a2-49c3-48b5-8df3-0c0b390cbfad;e3b5714e-9904-444d-b53d-9b8a2b50df70 033681a2-49c3-48b5-8df3-0c0b390cbfad a9e942dc-617b-4868-a4ac-d16b12599137
opensource-openstack-nova;nova.cells;CodeComponent;1;3002.0;3002.0;2.7;2816.0;1.4;;;0.7;4.3;;;;;5.0;2.0;;;;;0.3;1.9;;;11.0;2.4;23.0;2.3;;;;;;;;;;;;;;;;;9085b4be-07a4-4b50-940f-cb6cc7a80558;e3b5714e-9904-444d-b53d-9b8a2b50df70 9085b4be-07a4-4b50-940f-cb6cc7a80558
opensource-openstack-nova;nova.cells.filters;CodeComponent;2L;116.0;116.0;13.8;116.0;4.0;;;6.9;3.2;;;;;17.2;2.9;;;;;;;;;0.0;5.5;3.0;4.0;;;;;;;;;;;;;;;;;2580246b-ed2f-48a5-99fa-c592fdd522ab;e3b5714e-9904-444d-b53d-9b8a2b50df70 2580246b-ed2f-48a5-99fa-c592fdd522ab 9085b4be-07a4-4b50-940f-cb6cc7a80558
opensource-openstack-nova;nova.cells.weights;CodeComponent;2L;70.0;70.0;0.0;70.0;4.5;;;0.0;5.5;;;;;21.4;3.1;;;;;;;;;0.0;5.5;6.0;3.5;;;;;;;;;;;;;;;;;598fb589-114d-4032-887a-a64a3a79ba12;598fb589-114d-4032-887a-a64a3a79ba12 e3b5714e-9904-444d-b53d-9b8a2b50df70 9085b4be-07a4-4b50-940f-cb6cc7a80558
opensource-openstack-nova;nova.cert;CodeComponent;1L;99.0;99.0;16.2;99.0;4.1;;;16.2;2.4;;;;;34.3;3.6;;;;;;;;;0.0;5.5;1.0;4.3;;;;;;;;;;;;;;;;;3377f1a4-b039-480c-a6dd-2cbe36347a5e;e3b5714e-9904-444d-b53d-9b8a2b50df70 3377f1a4-b039-480c-a6dd-2cbe36347a5e
opensource-openstack-nova;nova.cloudpipe;CodeComponent;1L;112.0;112.0;0.0;112.0;4.0;;;0.0;5.5;;;;;6.3;2.2;;;;;;;;;3.0;3.5;2.0;4.1;;;;;;;;;;;;;;;;;12fead3d-c37f-496e-994d-e69a7e027db2;12fead3d-c37f-496e-994d-e69a7e027db2 e3b5714e-9904-444d-b53d-9b8a2b50df70
opensource-openstack-nova;nova.cmd;CodeComponent;1L;1810.0;1810.0;8.7;1810.0;1.7;;;0.7;4.3;;;;;11.3;2.6;;;;;;;;;0.0;5.5;32.0;2.0;;;;;;;;;;;;;;;;;09a0a6fb-3fd7-45f2-952f-1b0478dc5678;09a0a6fb-3fd7-45f2-952f-1b0478dc5678 e3b5714e-9904-444d-b53d-9b8a2b50df70
opensource-openstack-nova;nova.common;CodeComponent;1L;22.0;22.0;0.0;22.0;5.5;;;0.0;5.5;;;;;;;;;;;;;;;1.0;4.1;0.0;5.5;;;;;;;;;;;;;;;;;538513f9-b434-4d9d-b75a-00a0235d86d4;e3b5714e-9904-444d-b53d-9b8a2b50df70 538513f9-b434-4d9d-b75a-00a0235d86d4
opensource-openstack-nova;nova.compute;CodeComponent;1;11074.0;11074.0;3.6;10926.0;1.1;;;0.7;4.3;;;;;4.3;2.0;;;;;0.1;1.2;;;52.0;1.6;40.0;1.8;;;;;;;;;;;;;;;;;62ac80e6-3cbd-43a4-9b55-a36f47c354fe;62ac80e6-3cbd-43a4-9b55-a36f47c354fe e3b5714e-9904-444d-b53d-9b8a2b50df70
opensource-openstack-nova;nova.compute.monitors;CodeComponent;2;148.0;148.0;0.0;88.0;4.3;;;0.0;5.5;;;;;0.0;0.5;;;;;0.3;1.6;;;0.0;5.5;3.0;4.0;;;;;;;;;;;;;;;;;290eae6d-49d4-4dc9-baaf-1e90e6e843b9;290eae6d-49d4-4dc9-baaf-1e90e6e843b9 62ac80e6-3cbd-43a4-9b55-a36f47c354fe e3b5714e-9904-444d-b53d-9b8a2b50df70
opensource-openstack-nova;nova.compute.monitors.cpu;CodeComponent;3L;60.0;60.0;0.0;60.0;5.5;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;0.0;5.5;2.0;4.1;;;;;;;;;;;;;;;;;ca63f345-2723-451f-9f13-a4f578706b27;290eae6d-49d4-4dc9-baaf-1e90e6e843b9 62ac80e6-3cbd-43a4-9b55-a36f47c354fe e3b5714e-9904-444d-b53d-9b8a2b50df70 ca63f345-2723-451f-9f13-a4f578706b27
opensource-openstack-nova;nova.conductor;CodeComponent;1;1262.0;1262.0;10.6;1022.0;2.1;;;2.1;4.0;;;;;2.4;1.7;;;;;0.3;1.8;;;4.0;3.3;12.0;2.8;;;;;;;;;;;;;;;;;e41d4d1d-679d-4ed5-9b3a-fe5e1f923e68;e3b5714e-9904-444d-b53d-9b8a2b50df70 e41d4d1d-679d-4ed5-9b3a-fe5e1f923e68
opensource-openstack-nova;nova.conductor.tasks;CodeComponent;2L;240.0;240.0;0.0;240.0;3.1;;;0.0;5.5;;;;;12.5;2.7;;;;;;;;;1.0;4.1;4.0;3.8;;;;;;;;;;;;;;;;;f46081f0-767c-4888-b87b-d9242b75cc7f;f46081f0-767c-4888-b87b-d9242b75cc7f e3b5714e-9904-444d-b53d-9b8a2b50df70 e41d4d1d-679d-4ed5-9b3a-fe5e1f923e68
opensource-openstack-nova;nova.conf;CodeComponent;1L;4174.0;4174.0;9.2;4174.0;1.4;;;0.1;4.4;;;;;94.3;5.2;;;2.0;3.8;;;;;199.0;1.1;1.0;4.3;;;;;;;;;;;;;;;;;ca0dff89-f797-4c96-91d2-73f44ccf352b;e3b5714e-9904-444d-b53d-9b8a2b50df70 ca0dff89-f797-4c96-91d2-73f44ccf352b
opensource-openstack-nova;nova.console;CodeComponent;1L;505.0;505.0;3.2;505.0;2.4;;;3.2;3.8;;;;;10.1;2.5;;;;;;;;;8.0;2.7;10.0;3.0;;;;;;;;;;;;;;;;;bd06037e-77f1-45db-a137-2c031dbd7e1c;e3b5714e-9904-444d-b53d-9b8a2b50df70 bd06037e-77f1-45db-a137-2c031dbd7e1c
opensource-openstack-nova;nova.consoleauth;CodeComponent;1L;158.0;158.0;0.0;158.0;3.5;;;0.0;5.5;;;;;0.6;1.5;;;;;;;;;5.0;3.2;4.0;3.8;;;;;;;;;;;;;;;;;e2dd75eb-ff0c-4d44-92c7-184393eeaa22;e3b5714e-9904-444d-b53d-9b8a2b50df70 e2dd75eb-ff0c-4d44-92c7-184393eeaa22
opensource-openstack-nova;nova.db;CodeComponent;1;10192.0;10192.0;5.7;822.0;2.2;;;2.7;3.9;;;;;44.8;3.8;;;2.0;3.8;0.4;2.3;;;20.0;2.2;10.0;3.0;;;;;;;;;;;;;;;;;5ad1a581-cc48-415f-b49d-75b065b7e824;e3b5714e-9904-444d-b53d-9b8a2b50df70 5ad1a581-cc48-415f-b49d-75b065b7e824
opensource-openstack-nova;nova.db.sqlalchemy;CodeComponent;2;9370.0;9370.0;6.0;6301.0;1.3;;;3.0;3.8;;;;;48.5;3.9;;;2.0;3.8;0.5;2.5;;;11.0;2.4;7.0;3.3;;;;;;;;;;;;;;;;;5a705edb-d33b-4e4c-adf8-2b671a837adc;e3b5714e-9904-444d-b53d-9b8a2b50df70 5ad1a581-cc48-415f-b49d-75b065b7e824 5a705edb-d33b-4e4c-adf8-2b671a837adc
opensource-openstack-nova;nova.db.sqlalchemy.api_migrations;CodeComponent;3;522.0;522.0;1.7;0.0;5.5;;;1.7;4.1;;;;;93.9;5.2;;;;;0.0;0.5;;;0.0;5.5;1.0;4.3;;;;;;;;;;;;;;;;;6ebf6c00-3fb2-4ca4-b0b5-ec5eed0df83b;6ebf6c00-3fb2-4ca4-b0b5-ec5eed0df83b e3b5714e-9904-444d-b53d-9b8a2b50df70 5ad1a581-cc48-415f-b49d-75b065b7e824 5a705edb-d33b-4e4c-adf8-2b671a837adc
