Source;Source top level component;Target;Target top level component;Dependency type
DB::DataStore;;%s::DataStoreEntity;;STORES
DB::DataStore;;%s_stat::DataStoreEntity;;STORES
DB::DataStore;;%s_sync::DataStoreEntity;;STORES
DB::DataStore;;SQLITE_SEQUENCE::DataStoreEntity;;STORES
DB::DataStore;;account_stat)::DataStoreEntity;;STORES
DB::DataStore;;account_stat::DataStoreEntity;;STORES
DB::DataStore;;container::DataStoreEntity;;STORES
DB::DataStore;;container_info::DataStoreEntity;;STORES
DB::DataStore;;container_stat::DataStoreEntity;;STORES
DB::DataStore;;incoming_sync::DataStoreEntity;;STORES
DB::DataStore;;it::DataStoreEntity;;STORES
DB::DataStore;;object::DataStoreEntity;;STORES
DB::DataStore;;outgoing_sync::DataStoreEntity;;STORES
DB::DataStore;;policy_stat::DataStoreEntity;;STORES
DB::DataStore;;sqlite_master::DataStoreEntity;;STORES
REMAINDER::CodeComponent;REMAINDER;api-ref/source/conf.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;api-ref/source/parameters.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;bandit.yaml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;install-guide/source/conf.py;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;setup.cfg;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;setup.py;REMAINDER;CONTAINS
swift.account::CodeComponent;swift.account;swift/account/__init__.py;swift.account;CONTAINS
swift.account::CodeComponent;swift.account;swift/account/__init__.py;swift.account;CONTAINS
swift.account::CodeComponent;swift.account;swift/account/auditor.py;swift.account;CONTAINS
swift.account::CodeComponent;swift.account;swift/account/backend.py;swift.account;CONTAINS
swift.account::CodeComponent;swift.account;swift/account/reaper.py;swift.account;CONTAINS
swift.account::CodeComponent;swift.account;swift/account/replicator.py;swift.account;CONTAINS
swift.account::CodeComponent;swift.account;swift/account/server.py;swift.account;CONTAINS
swift.account::CodeComponent;swift.account;swift/account/utils.py;swift.account;CONTAINS
swift.cli::CodeComponent;swift.cli;swift/cli/__init__.py;swift.cli;CONTAINS
swift.cli::CodeComponent;swift.cli;swift/cli/__init__.py;swift.cli;CONTAINS
swift.cli::CodeComponent;swift.cli;swift/cli/form_signature.py;swift.cli;CONTAINS
swift.cli::CodeComponent;swift.cli;swift/cli/info.py;swift.cli;CONTAINS
swift.cli::CodeComponent;swift.cli;swift/cli/recon.py;swift.cli;CONTAINS
swift.cli::CodeComponent;swift.cli;swift/cli/ring_builder_analyzer.py;swift.cli;CONTAINS
swift.cli::CodeComponent;swift.cli;swift/cli/ringbuilder.py;swift.cli;CONTAINS
swift.common.middleware.crypto::CodeComponent;swift.common;swift/common/middleware/crypto/__init__.py;swift.common;CONTAINS
swift.common.middleware.crypto::CodeComponent;swift.common;swift/common/middleware/crypto/__init__.py;swift.common;CONTAINS
swift.common.middleware.crypto::CodeComponent;swift.common;swift/common/middleware/crypto/crypto_utils.py;swift.common;CONTAINS
swift.common.middleware.crypto::CodeComponent;swift.common;swift/common/middleware/crypto/decrypter.py;swift.common;CONTAINS
swift.common.middleware.crypto::CodeComponent;swift.common;swift/common/middleware/crypto/encrypter.py;swift.common;CONTAINS
swift.common.middleware.crypto::CodeComponent;swift.common;swift/common/middleware/crypto/keymaster.py;swift.common;CONTAINS
swift.common.middleware.x_profile::CodeComponent;swift.common;swift/common/middleware/x_profile/__init__.py;swift.common;CONTAINS
swift.common.middleware.x_profile::CodeComponent;swift.common;swift/common/middleware/x_profile/__init__.py;swift.common;CONTAINS
swift.common.middleware.x_profile::CodeComponent;swift.common;swift/common/middleware/x_profile/exceptions.py;swift.common;CONTAINS
swift.common.middleware.x_profile::CodeComponent;swift.common;swift/common/middleware/x_profile/html_viewer.py;swift.common;CONTAINS
swift.common.middleware.x_profile::CodeComponent;swift.common;swift/common/middleware/x_profile/profile_model.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift.common.middleware.crypto::CodeComponent;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift.common.middleware.x_profile::CodeComponent;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/__init__.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/__init__.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/account_quotas.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/acl.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/bulk.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/catch_errors.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/cname_lookup.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/container_quotas.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/container_sync.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/copy.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/crossdomain.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/dlo.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/domain_remap.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/formpost.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/gatekeeper.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/healthcheck.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/keystoneauth.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/list_endpoints.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/memcache.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/name_check.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/proxy_logging.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/ratelimit.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/recon.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/slo.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/staticweb.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/tempauth.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/tempurl.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/versioned_writes.py;swift.common;CONTAINS
swift.common.middleware::CodeComponent;swift.common;swift/common/middleware/xprofile.py;swift.common;CONTAINS
swift.common.ring::CodeComponent;swift.common;swift/common/ring/__init__.py;swift.common;CONTAINS
swift.common.ring::CodeComponent;swift.common;swift/common/ring/__init__.py;swift.common;CONTAINS
swift.common.ring::CodeComponent;swift.common;swift/common/ring/builder.py;swift.common;CONTAINS
swift.common.ring::CodeComponent;swift.common;swift/common/ring/ring.py;swift.common;CONTAINS
swift.common.ring::CodeComponent;swift.common;swift/common/ring/utils.py;swift.common;CONTAINS
