ID;Length;File;Start line;End line
0;21;swift/container/backend.py;403;425
0;21;swift/account/backend.py;403;425
1;21;swift/proxy/controllers/obj.py;785;807
2;18;swift/obj/mem_diskfile.py;1705;1724
2;18;swift/obj/diskfile.py;1705;1724
3;16;swift/account/server.py;254;271
3;16;swift/container/server.py;254;271
4;16;swift/obj/replicator.py;375;390
4;16;swift/obj/reconstructor.py;375;390
5;16;swift/account/server.py;224;240
5;16;swift/container/server.py;224;240
6;16;swift/obj/diskfile.py;391;406
6;16;swift/common/utils.py;391;406
7;15;swift/obj/replicator.py;124;138
7;15;swift/obj/reconstructor.py;124;138
8;12;swift/proxy/controllers/base.py;915;929
9;12;swift/container/backend.py;440;452
9;12;swift/account/backend.py;440;452
10;12;swift/cli/recon.py;85;96
11;12;swift/common/middleware/copy.py;375;389
11;12;swift/common/middleware/dlo.py;375;389
12;11;swift/common/internal_client.py;534;545
13;11;swift/account/server.py;1046;1058
13;11;swift/obj/server.py;1046;1058
13;11;swift/container/server.py;1046;1058
14;11;swift/obj/replicator.py;166;177
14;11;swift/obj/reconstructor.py;166;177
15;11;swift/obj/mem_diskfile.py;1729;1739
15;11;swift/obj/diskfile.py;1729;1739
16;10;swift/common/internal_client.py;330;340
17;10;swift/container/auditor.py;83;92
17;10;swift/account/auditor.py;83;92
18;10;swift/account/reaper.py;422;431
19;10;swift/obj/server.py;494;503
20;10;swift/common/middleware/cname_lookup.py;80;89
20;10;swift/common/middleware/domain_remap.py;80;89
21;10;swift/obj/replicator.py;392;403
21;10;swift/obj/reconstructor.py;392;403
22;9;swift/cli/ringbuilder.py;243;252
23;9;swift/container/server.py;171;181
23;9;swift/container/sync.py;171;181
24;9;swift/common/middleware/slo.py;398;406
24;9;swift/common/middleware/dlo.py;398;406
25;9;swift/obj/server.py;844;852
26;9;swift/common/swob.py;1021;1029
26;9;swift/common/utils.py;1021;1029
27;9;swift/common/memcached.py;238;246
28;9;swift/container/sync.py;451;459
29;9;swift/common/memcached.py;286;294
30;9;swift/proxy/controllers/obj.py;833;841
31;9;swift/obj/server.py;525;533
32;9;swift/obj/server.py;864;872
33;9;swift/common/ring/builder.py;1039;1049
34;9;swift/container/server.py;346;354
35;8;swift/common/internal_client.py;464;473
36;8;swift/obj/replicator.py;113;121
36;8;swift/obj/reconstructor.py;113;121
37;8;swift/account/server.py;170;177
38;8;swift/cli/ringbuilder.py;832;839
39;8;swift/obj/replicator.py;156;164
39;8;swift/obj/reconstructor.py;156;164
40;8;swift/common/internal_client.py;444;453
41;8;swift/account/reaper.py;377;384
42;8;swift/common/wsgi.py;1098;1105
43;8;swift/obj/mem_diskfile.py;2117;2126
43;8;swift/obj/diskfile.py;2117;2126
44;8;swift/common/internal_client.py;333;342
45;8;swift/obj/diskfile.py;881;889
46;7;swift/common/internal_client.py;538;545
47;7;swift/common/internal_client.py;333;340
48;7;swift/obj/server.py;494;500
49;7;api-ref/source/parameters.yaml;940;950
50;7;swift/account/reaper.py;370;376
51;7;swift/obj/diskfile.py;2495;2502
52;7;swift/common/direct_client.py;301;307
53;7;swift/container/server.py;272;278
54;7;swift/common/memcached.py;249;255
55;7;swift/common/utils.py;2079;2085
56;7;swift/obj/replicator.py;790;796
57;7;swift/common/middleware/staticweb.py;231;237
58;7;swift/cli/recon.py;645;651
59;7;swift/container/backend.py;392;398
59;7;swift/account/backend.py;392;398
60;7;swift/container/backend.py;454;461
60;7;swift/account/backend.py;454;461
61;7;swift/obj/mem_diskfile.py;2103;2109
61;7;swift/obj/diskfile.py;2103;2109
62;7;swift/cli/recon.py;435;441
63;7;swift/obj/replicator.py;139;146
63;7;swift/obj/reconstructor.py;139;146
64;7;swift/cli/ringbuilder.py;637;644
65;7;swift/obj/updater.py;83;89
66;7;swift/common/bufferedhttp.py;195;201
67;7;swift/common/ring/builder.py;510;516
67;7;swift/cli/ringbuilder.py;510;516
68;7;swift/common/middleware/ratelimit.py;300;307
68;7;swift/proxy/server.py;300;307
69;7;swift/proxy/controllers/obj.py;774;780
70;7;swift/common/middleware/tempurl.py;189;198
70;7;swift/common/middleware/formpost.py;189;198
71;7;swift/container/server.py;420;426
72;7;swift/obj/mem_diskfile.py;2330;2337
72;7;swift/obj/diskfile.py;2330;2337
73;7;swift/cli/recon.py;275;281
74;7;swift/obj/mem_diskfile.py;1568;1574
74;7;swift/obj/diskfile.py;1568;1574
75;7;swift/common/middleware/tempurl.py;200;207
75;7;swift/common/middleware/formpost.py;200;207
76;7;swift/obj/mem_server.py;194;201
76;7;swift/obj/server.py;194;201
77;7;swift/common/request_helpers.py;406;412
78;6;swift/common/internal_client.py;406;412
79;6;swift/common/internal_client.py;491;497
80;6;swift/common/middleware/formpost.py;189;196
80;6;swift/common/middleware/domain_remap.py;189;196
80;6;swift/common/middleware/tempurl.py;189;196
80;6;swift/common/middleware/list_endpoints.py;189;196
81;6;swift/common/internal_client.py;678;684
82;6;swift/proxy/controllers/account.py;56;64
83;6;api-ref/source/parameters.yaml;177;182
84;6;swift/container/sync.py;532;537
85;6;swift/common/internal_client.py;218;224
86;6;swift/container/sync.py;631;636
87;6;swift/proxy/controllers/obj.py;646;653
88;6;swift/obj/diskfile.py;1231;1236
89;6;swift/proxy/controllers/container.py;199;204
90;6;swift/obj/server.py;535;540
91;6;swift/common/direct_client.py;254;261
92;6;swift/obj/mem_diskfile.py;2287;2293
92;6;swift/obj/diskfile.py;2287;2293
93;6;swift/common/wsgi.py;748;755
93;6;swift/common/utils.py;748;755
94;6;swift/common/ring/utils.py;336;341
95;6;swift/cli/ringbuilder.py;483;489
96;6;swift/obj/diskfile.py;1477;1483
97;6;api-ref/source/parameters.yaml;398;403
98;6;swift/obj/replicator.py;226;231
98;6;swift/common/db_replicator.py;226;231
99;6;swift/common/middleware/cname_lookup.py;61;68
99;6;swift/common/middleware/domain_remap.py;61;68
100;6;swift/container/backend.py;193;199
100;6;swift/account/backend.py;193;199
101;6;swift/obj/diskfile.py;2256;2261
102;6;swift/proxy/controllers/obj.py;223;228
103;6;swift/common/middleware/recon.py;404;411
103;6;swift/common/middleware/crossdomain.py;404;411
104;6;api-ref/source/parameters.yaml;722;727
105;6;swift/obj/diskfile.py;698;703
106;6;swift/common/direct_client.py;134;139
107;6;swift/common/splice.py;88;94
108;6;swift/container/server.py;394;399
109;6;swift/common/base_storage_server.py;65;71
109;6;swift/proxy/controllers/base.py;65;71
110;6;swift/common/direct_client.py;167;172
111;6;swift/obj/ssync_sender.py;297;302
112;6;swift/proxy/controllers/base.py;1452;1457
113;6;swift/obj/diskfile.py;123;128
114;6;swift/container/backend.py;201;207
114;6;swift/account/backend.py;201;207
115;6;swift/proxy/controllers/obj.py;827;832
116;6;swift/common/bufferedhttp.py;186;192
117;6;swift/common/ring/builder.py;329;334
117;6;swift/common/ring/ring.py;329;334
118;6;swift/cli/info.py;102;107
119;6;swift/proxy/controllers/obj.py;443;448
120;6;swift/container/backend.py;344;349
120;6;swift/account/backend.py;344;349
121;6;swift/common/middleware/recon.py;208;214
122;6;swift/cli/ringbuilder.py;398;403
123;6;swift/common/middleware/crypto/encrypter.py;368;375
123;6;swift/common/middleware/crypto/decrypter.py;368;375
124;6;swift/common/ring/builder.py;1020;1030
125;6;swift/obj/server.py;883;888
126;6;swift/obj/server.py;143;148
126;6;swift/proxy/server.py;143;148
127;6;swift/container/server.py;388;393
