System;System element;Type;Depth;Weight;LINES_OF_CODE;DUPLICATION;CODE_BREAKDOWN;CODE_BREAKDOWN Rating;DEPLOYMENT_BREAKDOWN;DEPLOYMENT_BREAKDOWN Rating;INTER_COMPONENT_DUPLICATION;INTER_COMPONENT_DUPLICATION Rating;SHARED_CODE;SHARED_CODE Rating;SHARED_DEPENDENCIES;SHARED_DEPENDENCIES Rating;COMMUNICATION_CENTRALIZATION;COMMUNICATION_CENTRALIZATION Rating;INTERFACE_CENTRALIZATION;INTERFACE_CENTRALIZATION Rating;DATA_STORE_ENCAPSULATION;DATA_STORE_ENCAPSULATION Rating;COMPONENT_COHESION;COMPONENT_COHESION Rating;USAGE_COHESION;USAGE_COHESION Rating;INCOMING_DEPENDENCIES;INCOMING_DEPENDENCIES Rating;OUTGOING_DEPENDENCIES;OUTGOING_DEPENDENCIES Rating;COMMUNICATION_COMPLEXITY;COMMUNICATION_COMPLEXITY Rating;STATELESSNESS;STATELESSNESS Rating;ASYNCHRONOUS_COMMUNICATION;ASYNCHRONOUS_COMMUNICATION Rating;COMMUNICATION_BOTTLENECKS;COMMUNICATION_BOTTLENECKS Rating;DATA_STORE_SCALABILITY;DATA_STORE_SCALABILITY Rating;TECHNOLOGY_COHESION;TECHNOLOGY_COHESION Rating;CBA Rating;SOA Rating;CLOUD_NATIVENESS Rating;ARCHITECTURE_MAINTAINABILITY Rating;ID;Parent ID
opensource-openstack-swift;opensource-openstack-swift;SystemLevel;;33725.0;33725.0;6.0;21355.0;1.5;32511.0;2.3;1.6;4.1;;;;;64.9;3.5;;;6.0;3.8;0.4;1.3;;;21.0;5.4;77.0;3.5;0.0;5.5;0.0;5.5;;;;;1.0;;;;3.8;2.3;5.5;3.9;06ea4f3f-8905-4acb-b0fb-3b5e0575522c;06ea4f3f-8905-4acb-b0fb-3b5e0575522c
opensource-openstack-swift;REMAINDER;CodeComponent;1L;1214.0;1214.0;5.2;1214.0;2.0;;;0.0;5.5;;;;;;;;;;;;;;;0.0;5.5;0.0;5.5;;;;;;;;;;;;;;;;;0fd3dee1-a5eb-4547-b979-15f52111120a;0fd3dee1-a5eb-4547-b979-15f52111120a
opensource-openstack-swift;swift.account;CodeComponent;1L;1143.0;1143.0;14.5;1143.0;2.1;;;10.3;2.8;;;;;18.5;3.0;;;2.0;3.8;;;;;0.0;5.5;18.0;2.4;;;;;;;;;;;;;;;;;c88d1fef-c7b0-4ff8-86cd-84923f7643a7;c88d1fef-c7b0-4ff8-86cd-84923f7643a7 d4bc9e30-049e-4fa1-b10e-7f1e130c0357
opensource-openstack-swift;swift.cli;CodeComponent;1L;2490.0;2490.0;6.7;2490.0;1.4;;;0.3;4.4;;;;;4.3;2.0;;;;;;;;;0.0;5.5;5.0;3.6;;;;;;;;;;;;;;;;;3b11a2e9-0afb-4f5c-b759-f7d87508ba16;3b11a2e9-0afb-4f5c-b759-f7d87508ba16 d4bc9e30-049e-4fa1-b10e-7f1e130c0357
opensource-openstack-swift;swift.common;CodeComponent;1;17639.0;17639.0;3.5;8204.0;1.2;;;0.9;4.3;;;;;84.5;4.9;;;2.0;3.8;0.4;2.1;;;21.0;2.2;21.0;2.3;;;;;;;;;;;;;;;;;d68760be-0563-451d-a59a-ff9f25ab2b56;d4bc9e30-049e-4fa1-b10e-7f1e130c0357 d68760be-0563-451d-a59a-ff9f25ab2b56
opensource-openstack-swift;swift.common.middleware;CodeComponent;2;7712.0;7712.0;2.2;6327.0;1.3;;;1.2;4.2;;;;;79.1;4.7;;;;;0.2;1.5;;;0.0;5.5;4.0;3.8;;;;;;;;;;;;;;;;;86d725c9-3016-478e-871a-25fc2e6821d8;86d725c9-3016-478e-871a-25fc2e6821d8 d4bc9e30-049e-4fa1-b10e-7f1e130c0357 d68760be-0563-451d-a59a-ff9f25ab2b56
opensource-openstack-swift;swift.common.middleware.crypto;CodeComponent;3L;768.0;768.0;1.6;768.0;2.3;;;0.8;4.3;;;;;;;;;;;;;;;0.0;5.5;0.0;5.5;;;;;;;;;;;;;;;;;bea1eee7-3002-4f5c-954b-0edd98f24d26;86d725c9-3016-478e-871a-25fc2e6821d8 d4bc9e30-049e-4fa1-b10e-7f1e130c0357 bea1eee7-3002-4f5c-954b-0edd98f24d26 d68760be-0563-451d-a59a-ff9f25ab2b56
opensource-openstack-swift;swift.common.middleware.x_profile;CodeComponent;3L;617.0;617.0;0.0;617.0;2.3;;;0.0;5.5;;;;;;;;;;;;;;;0.0;5.5;0.0;5.5;;;;;;;;;;;;;;;;;7e8064ea-1a44-4c10-ae85-cc4bd6a608d8;86d725c9-3016-478e-871a-25fc2e6821d8 d4bc9e30-049e-4fa1-b10e-7f1e130c0357 7e8064ea-1a44-4c10-ae85-cc4bd6a608d8 d68760be-0563-451d-a59a-ff9f25ab2b56
opensource-openstack-swift;swift.common.ring;CodeComponent;2L;1723.0;1723.0;3.5;1723.0;1.8;;;2.0;4.0;;;;;42.3;3.8;;;;;;;;;10.0;2.5;1.0;4.3;;;;;;;;;;;;;;;;;8c230692-79c2-46a3-a34f-65df9caa3654;d4bc9e30-049e-4fa1-b10e-7f1e130c0357 8c230692-79c2-46a3-a34f-65df9caa3654 d68760be-0563-451d-a59a-ff9f25ab2b56
opensource-openstack-swift;swift.container;CodeComponent;1L;2578.0;2578.0;9.0;2578.0;1.4;;;4.6;3.5;;;;;7.3;2.3;;;2.0;3.8;;;;;0.0;5.5;25.0;2.2;;;;;;;;;;;;;;;;;b96f65de-b29b-45b1-9609-535a4cad3867;b96f65de-b29b-45b1-9609-535a4cad3867 d4bc9e30-049e-4fa1-b10e-7f1e130c0357
