System;System element;Type;Depth;Weight;LINES_OF_CODE;DUPLICATION;CODE_BREAKDOWN;CODE_BREAKDOWN Rating;DEPLOYMENT_BREAKDOWN;DEPLOYMENT_BREAKDOWN Rating;INTER_COMPONENT_DUPLICATION;INTER_COMPONENT_DUPLICATION Rating;SHARED_CODE;SHARED_CODE Rating;SHARED_DEPENDENCIES;SHARED_DEPENDENCIES Rating;COMMUNICATION_CENTRALIZATION;COMMUNICATION_CENTRALIZATION Rating;INTERFACE_CENTRALIZATION;INTERFACE_CENTRALIZATION Rating;DATA_STORE_ENCAPSULATION;DATA_STORE_ENCAPSULATION Rating;COMPONENT_COHESION;COMPONENT_COHESION Rating;USAGE_COHESION;USAGE_COHESION Rating;INCOMING_DEPENDENCIES;INCOMING_DEPENDENCIES Rating;OUTGOING_DEPENDENCIES;OUTGOING_DEPENDENCIES Rating;COMMUNICATION_COMPLEXITY;COMMUNICATION_COMPLEXITY Rating;STATELESSNESS;STATELESSNESS Rating;ASYNCHRONOUS_COMMUNICATION;ASYNCHRONOUS_COMMUNICATION Rating;COMMUNICATION_BOTTLENECKS;COMMUNICATION_BOTTLENECKS Rating;DATA_STORE_SCALABILITY;DATA_STORE_SCALABILITY Rating;TECHNOLOGY_COHESION;TECHNOLOGY_COHESION Rating;CBA Rating;SOA Rating;CLOUD_NATIVENESS Rating;ARCHITECTURE_MAINTAINABILITY Rating;ID;Parent ID
opensource-pockethub;opensource-pockethub;SystemLevel;;21612.0;21612.0;7.2;2252.0;2.0;21612.0;2.4;3.6;3.5;;;;;99.9;2.1;;;0.0;5.5;1.0;4.4;;;0.0;2.6;3.0;2.0;0.0;5.5;0.0;5.5;;;;;0.0;;;;3.4;2.4;5.5;3.7;4332d986-2f17-4850-9922-4d3893822463;4332d986-2f17-4850-9922-4d3893822463
opensource-pockethub;app;CodeComponent;1;21612.0;21612.0;7.2;2252.0;1.5;;;3.6;3.7;;;;;99.9;5.4;;;0.0;5.5;1.0;4.4;;;0.0;5.5;3.0;4.0;;;;;;;;;;;;;;;;;211f0b42-faa6-4169-a31b-fe3c3d21eb82;211f0b42-faa6-4169-a31b-fe3c3d21eb82 fdc2e117-7476-4405-8398-0993f0204581
opensource-pockethub;com.github.pockethub.android;CodeComponent;2L;432.0;432.0;4.6;432.0;2.4;;;2.3;4.0;;;;;46.3;3.9;;;;;;;;;256.0;0.9;8.0;3.2;;;;;;;;;;;;;;;;;66df26c0-949f-419c-a100-b9f5b7b3ad03;211f0b42-faa6-4169-a31b-fe3c3d21eb82 66df26c0-949f-419c-a100-b9f5b7b3ad03 fdc2e117-7476-4405-8398-0993f0204581
opensource-pockethub;com.github.pockethub.android.accounts;CodeComponent;2L;670.0;670.0;0.0;670.0;2.3;;;0.0;5.5;;;;;29.6;3.5;;;;;;;;;13.0;2.4;6.0;3.5;;;;;;;;;;;;;;;;;26865942-e9ea-4b50-bece-ac996010f084;211f0b42-faa6-4169-a31b-fe3c3d21eb82 fdc2e117-7476-4405-8398-0993f0204581 26865942-e9ea-4b50-bece-ac996010f084
opensource-pockethub;com.github.pockethub.android.core;CodeComponent;2L;171.0;171.0;0.0;171.0;3.4;;;0.0;5.5;;;;;;;;;;;;;;;52.0;1.6;0.0;5.5;;;;;;;;;;;;;;;;;5d2d77ad-fbff-416a-8903-acdcba03711b;5d2d77ad-fbff-416a-8903-acdcba03711b 211f0b42-faa6-4169-a31b-fe3c3d21eb82 fdc2e117-7476-4405-8398-0993f0204581
opensource-pockethub;com.github.pockethub.android.core.code;CodeComponent;2L;214.0;214.0;0.0;214.0;3.2;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;6.0;3.0;3.0;4.0;;;;;;;;;;;;;;;;;ffcb057f-5ad8-4056-a3d1-7a2b71fa9bd1;211f0b42-faa6-4169-a31b-fe3c3d21eb82 ffcb057f-5ad8-4056-a3d1-7a2b71fa9bd1 fdc2e117-7476-4405-8398-0993f0204581
opensource-pockethub;com.github.pockethub.android.core.commit;CodeComponent;2L;416.0;416.0;1.7;416.0;2.4;;;1.7;4.1;;;;;31.7;3.5;;;;;;;;;19.0;2.3;9.0;3.1;;;;;;;;;;;;;;;;;d7b78d12-fa00-48e9-9a40-77e60f02c3d4;211f0b42-faa6-4169-a31b-fe3c3d21eb82 d7b78d12-fa00-48e9-9a40-77e60f02c3d4 fdc2e117-7476-4405-8398-0993f0204581
opensource-pockethub;com.github.pockethub.android.core.gist;CodeComponent;2L;201.0;201.0;0.0;201.0;3.3;;;0.0;5.5;;;;;27.9;3.5;;;;;;;;;15.0;2.3;4.0;3.8;;;;;;;;;;;;;;;;;0b727e46-8c32-41b7-a6de-3849ddbe5513;211f0b42-faa6-4169-a31b-fe3c3d21eb82 0b727e46-8c32-41b7-a6de-3849ddbe5513 fdc2e117-7476-4405-8398-0993f0204581
opensource-pockethub;com.github.pockethub.android.core.issue;CodeComponent;2L;623.0;623.0;4.2;623.0;2.3;;;4.2;3.6;;;;;55.9;4.1;;;;;;;;;29.0;2.0;10.0;3.0;;;;;;;;;;;;;;;;;ca1f2e54-647c-4541-90cd-09c7d46fd7b4;211f0b42-faa6-4169-a31b-fe3c3d21eb82 ca1f2e54-647c-4541-90cd-09c7d46fd7b4 fdc2e117-7476-4405-8398-0993f0204581
opensource-pockethub;com.github.pockethub.android.core.ref;CodeComponent;2L;63.0;63.0;0.0;63.0;5.2;;;0.0;5.5;;;;;;;;;;;;;;;6.0;3.0;0.0;5.5;;;;;;;;;;;;;;;;;027f3e45-5123-4b7e-b162-a1f08be93a8f;027f3e45-5123-4b7e-b162-a1f08be93a8f 211f0b42-faa6-4169-a31b-fe3c3d21eb82 fdc2e117-7476-4405-8398-0993f0204581
