Source;Source top level component;Target;Target top level component;Dependency type
REMAINDER::CodeComponent;REMAINDER;appveyor.yml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;include/rapidjson/allocators.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;include/rapidjson/cursorstreamwrapper.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;include/rapidjson/document.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;include/rapidjson/encodedstream.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;include/rapidjson/encodings.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;include/rapidjson/error/en.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;include/rapidjson/error/error.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;include/rapidjson/filereadstream.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;include/rapidjson/filewritestream.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;include/rapidjson/fwd.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;include/rapidjson/internal/biginteger.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;include/rapidjson/internal/diyfp.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;include/rapidjson/internal/dtoa.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;include/rapidjson/internal/ieee754.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;include/rapidjson/internal/itoa.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;include/rapidjson/internal/meta.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;include/rapidjson/internal/pow10.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;include/rapidjson/internal/regex.h;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;include/rapidjson/internal/stack.h;REMAINDER;CONTAINS
