ID;Length;File;Start line;End line
0;18;include/rapidjson/writer.h;571;592
1;17;include/rapidjson/reader.h;1888;1908
2;17;include/rapidjson/reader.h;1113;1138
3;15;include/rapidjson/internal/itoa.h;59;76
4;14;include/rapidjson/internal/itoa.h;175;194
5;14;include/rapidjson/reader.h;1078;1092
6;13;include/rapidjson/reader.h;1843;1857
7;13;include/rapidjson/writer.h;353;367
8;12;include/rapidjson/reader.h;328;347
9;12;include/rapidjson/reader.h;1149;1162
10;11;include/rapidjson/reader.h;283;296
11;11;include/rapidjson/reader.h;440;452
12;11;include/rapidjson/reader.h;1242;1254
13;11;include/rapidjson/reader.h;1879;1891
14;10;include/rapidjson/reader.h;361;372
15;10;include/rapidjson/schema.h;1588;1597
16;10;include/rapidjson/reader.h;1171;1185
17;9;include/rapidjson/reader.h;1064;1075
18;9;include/rapidjson/reader.h;1820;1832
19;9;include/rapidjson/internal/itoa.h;211;220
20;8;include/rapidjson/internal/itoa.h;101;108
21;8;include/rapidjson/reader.h;345;357
22;8;include/rapidjson/encodings.h;164;171
23;8;include/rapidjson/reader.h;662;670
23;8;include/rapidjson/writer.h;662;670
24;8;include/rapidjson/reader.h;1828;1837
25;8;include/rapidjson/encodings.h;343;352
26;8;include/rapidjson/encodings.h;458;467
27;8;include/rapidjson/reader.h;1311;1319
28;7;include/rapidjson/reader.h;603;609
28;7;include/rapidjson/writer.h;603;609
29;7;include/rapidjson/encodedstream.h;111;120
30;7;include/rapidjson/reader.h;1854;1862
31;7;include/rapidjson/reader.h;1242;1249
32;7;include/rapidjson/reader.h;430;437
33;7;include/rapidjson/encodings.h;235;243
34;7;include/rapidjson/reader.h;1822;1832
35;6;include/rapidjson/reader.h;595;600
35;6;include/rapidjson/writer.h;595;600
36;6;include/rapidjson/internal/itoa.h;70;76
37;6;include/rapidjson/internal/regex.h;564;569
38;6;include/rapidjson/reader.h;1822;1829
39;6;include/rapidjson/encodings.h;355;362
40;6;include/rapidjson/internal/itoa.h;56;63
41;6;include/rapidjson/encodedstream.h;50;58
42;6;include/rapidjson/schema.h;1594;1599
43;6;include/rapidjson/reader.h;2071;2077
44;6;include/rapidjson/internal/stack.h;52;57
45;6;include/rapidjson/ostreamwrapper.h;75;81
45;6;include/rapidjson/filewritestream.h;75;81
46;6;include/rapidjson/reader.h;483;489
47;6;include/rapidjson/reader.h;1101;1108
