System;System element;Type;Depth;Weight;LINES_OF_CODE;DUPLICATION;CODE_BREAKDOWN;CODE_BREAKDOWN Rating;DEPLOYMENT_BREAKDOWN;DEPLOYMENT_BREAKDOWN Rating;INTER_COMPONENT_DUPLICATION;INTER_COMPONENT_DUPLICATION Rating;SHARED_CODE;SHARED_CODE Rating;SHARED_DEPENDENCIES;SHARED_DEPENDENCIES Rating;COMMUNICATION_CENTRALIZATION;COMMUNICATION_CENTRALIZATION Rating;INTERFACE_CENTRALIZATION;INTERFACE_CENTRALIZATION Rating;DATA_STORE_ENCAPSULATION;DATA_STORE_ENCAPSULATION Rating;COMPONENT_COHESION;COMPONENT_COHESION Rating;USAGE_COHESION;USAGE_COHESION Rating;INCOMING_DEPENDENCIES;INCOMING_DEPENDENCIES Rating;OUTGOING_DEPENDENCIES;OUTGOING_DEPENDENCIES Rating;COMMUNICATION_COMPLEXITY;COMMUNICATION_COMPLEXITY Rating;STATELESSNESS;STATELESSNESS Rating;ASYNCHRONOUS_COMMUNICATION;ASYNCHRONOUS_COMMUNICATION Rating;COMMUNICATION_BOTTLENECKS;COMMUNICATION_BOTTLENECKS Rating;DATA_STORE_SCALABILITY;DATA_STORE_SCALABILITY Rating;TECHNOLOGY_COHESION;TECHNOLOGY_COHESION Rating;CBA Rating;SOA Rating;CLOUD_NATIVENESS Rating;ARCHITECTURE_MAINTAINABILITY Rating;ID;Parent ID
opensource-signal;opensource-signal;SystemLevel;;68127.0;68127.0;3.2;68127.0;1.7;;;0.4;4.9;;;;;14.5;2.3;;;0.0;5.5;;;;;2340.0;1.7;2394.0;1.6;0.1;3.7;;;;;;;;;;;2.9;;;2.9;46696b98-efce-440c-99f8-ebffd4759149;46696b98-efce-440c-99f8-ebffd4759149
opensource-signal;REMAINDER;CodeComponent;1L;685.0;685.0;2.0;685.0;2.3;;;0.0;5.5;;;;;87.2;5.0;;;0.0;5.5;;;;;0.0;5.5;2.0;4.1;;;;;;;;;;;;;;;;;42e38641-4ef6-457e-9c58-c0a75e260986;42e38641-4ef6-457e-9c58-c0a75e260986
opensource-signal;org.thoughtcrime.securesms;CodeComponent;1L;13929.0;13929.0;2.7;13929.0;1.0;;;0.6;4.3;;;;;2.4;1.7;;;;;;;;;239.0;1.0;661.0;0.5;;;;;;;;;;;;;;;;;ce446ff7-864a-439a-8e9f-59ea4284468b;ce446ff7-864a-439a-8e9f-59ea4284468b
opensource-signal;org.thoughtcrime.securesms.attachments;CodeComponent;1L;588.0;588.0;2.7;588.0;2.3;;;0.0;5.5;;;;;6.8;2.3;;;;;;;;;56.0;1.5;11.0;2.9;;;;;;;;;;;;;;;;;804ddf5c-de6c-4a14-99ad-a12dec00ec4b;804ddf5c-de6c-4a14-99ad-a12dec00ec4b
opensource-signal;org.thoughtcrime.securesms.audio;CodeComponent;1L;547.0;547.0;3.7;547.0;2.4;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;3.0;3.5;14.0;2.6;;;;;;;;;;;;;;;;;97466941-ea57-41cd-be1e-4aa3bcbcd6a0;97466941-ea57-41cd-be1e-4aa3bcbcd6a0
opensource-signal;org.thoughtcrime.securesms.color;CodeComponent;1L;160.0;160.0;0.0;160.0;3.5;;;0.0;5.5;;;;;33.8;3.6;;;;;;;;;12.0;2.4;1.0;4.3;;;;;;;;;;;;;;;;;777aa007-cdc6-437d-8131-0f0f30ce99b2;777aa007-cdc6-437d-8131-0f0f30ce99b2
opensource-signal;org.thoughtcrime.securesms.components;CodeComponent;1L;4042.0;4042.0;1.5;4042.0;1.4;;;1.3;4.2;;;;;4.4;2.0;;;;;;;;;56.0;1.5;117.0;1.2;;;;;;;;;;;;;;;;;d6cc1a4b-f321-4710-bd9a-b03fac3c0950;d6cc1a4b-f321-4710-bd9a-b03fac3c0950
opensource-signal;org.thoughtcrime.securesms.components.camera;CodeComponent;1L;1121.0;1121.0;0.0;1121.0;2.1;;;0.0;5.5;;;;;9.9;2.5;;;;;;;;;9.0;2.6;11.0;2.9;;;;;;;;;;;;;;;;;62c6ff56-7e52-4438-aaef-568ef25d0e9f;62c6ff56-7e52-4438-aaef-568ef25d0e9f
opensource-signal;org.thoughtcrime.securesms.components.emoji;CodeComponent;1L;894.0;894.0;0.0;894.0;2.2;;;0.0;5.5;;;;;7.8;2.4;;;;;;;;;8.0;2.7;26.0;2.2;;;;;;;;;;;;;;;;;2a3a2c1d-d79c-4a70-9c22-bb9e3e521921;2a3a2c1d-d79c-4a70-9c22-bb9e3e521921
opensource-signal;org.thoughtcrime.securesms.components.emoji.parsing;CodeComponent;1L;282.0;282.0;0.0;282.0;2.9;;;0.0;5.5;;;;;73.0;4.4;;;;;;;;;5.0;3.2;5.0;3.6;;;;;;;;;;;;;;;;;7f16a222-d389-4acd-bfc7-f2b1fff9053b;7f16a222-d389-4acd-bfc7-f2b1fff9053b
opensource-signal;org.thoughtcrime.securesms.components.identity;CodeComponent;1L;185.0;185.0;23.8;185.0;3.3;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;3.0;3.5;12.0;2.8;;;;;;;;;;;;;;;;;25add039-8830-481d-9640-068d4c37192e;25add039-8830-481d-9640-068d4c37192e
opensource-signal;org.thoughtcrime.securesms.components.location;CodeComponent;1L;138.0;138.0;0.0;138.0;3.7;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;4.0;3.3;5.0;3.6;;;;;;;;;;;;;;;;;2cd04b17-a216-4781-a021-1a29a0da9cf6;2cd04b17-a216-4781-a021-1a29a0da9cf6
