Source;Source top level component;Target;Target top level component;Dependency type
:rootProject::DeployableComponent;;com.netflix.simianarmy.aws.conformity.crawler::CodeComponent;com.netflix.simianarmy.aws.conformity.crawler;DEPLOYS
:rootProject::DeployableComponent;;com.netflix.simianarmy.aws.conformity.rule::CodeComponent;com.netflix.simianarmy.aws.conformity.rule;DEPLOYS
:rootProject::DeployableComponent;;com.netflix.simianarmy.aws.conformity::CodeComponent;com.netflix.simianarmy.aws.conformity;DEPLOYS
:rootProject::DeployableComponent;;com.netflix.simianarmy.aws.janitor.crawler.edda::CodeComponent;com.netflix.simianarmy.aws.janitor.crawler.edda;DEPLOYS
:rootProject::DeployableComponent;;com.netflix.simianarmy.aws.janitor.crawler::CodeComponent;com.netflix.simianarmy.aws.janitor.crawler;DEPLOYS
:rootProject::DeployableComponent;;com.netflix.simianarmy.aws.janitor.rule.ami::CodeComponent;com.netflix.simianarmy.aws.janitor.rule.ami;DEPLOYS
:rootProject::DeployableComponent;;com.netflix.simianarmy.aws.janitor.rule.asg::CodeComponent;com.netflix.simianarmy.aws.janitor.rule.asg;DEPLOYS
:rootProject::DeployableComponent;;com.netflix.simianarmy.aws.janitor.rule.elb::CodeComponent;com.netflix.simianarmy.aws.janitor.rule.elb;DEPLOYS
:rootProject::DeployableComponent;;com.netflix.simianarmy.aws.janitor.rule.generic::CodeComponent;com.netflix.simianarmy.aws.janitor.rule.generic;DEPLOYS
:rootProject::DeployableComponent;;com.netflix.simianarmy.aws.janitor.rule.instance::CodeComponent;com.netflix.simianarmy.aws.janitor.rule.instance;DEPLOYS
:rootProject::DeployableComponent;;com.netflix.simianarmy.aws.janitor.rule.launchconfig::CodeComponent;com.netflix.simianarmy.aws.janitor.rule.launchconfig;DEPLOYS
:rootProject::DeployableComponent;;com.netflix.simianarmy.aws.janitor.rule.snapshot::CodeComponent;com.netflix.simianarmy.aws.janitor.rule.snapshot;DEPLOYS
:rootProject::DeployableComponent;;com.netflix.simianarmy.aws.janitor.rule.volume::CodeComponent;com.netflix.simianarmy.aws.janitor.rule.volume;DEPLOYS
:rootProject::DeployableComponent;;com.netflix.simianarmy.aws.janitor::CodeComponent;com.netflix.simianarmy.aws.janitor;DEPLOYS
:rootProject::DeployableComponent;;com.netflix.simianarmy.aws::CodeComponent;com.netflix.simianarmy.aws;DEPLOYS
:rootProject::DeployableComponent;;com.netflix.simianarmy.basic.calendars::CodeComponent;com.netflix.simianarmy.basic.calendars;DEPLOYS
:rootProject::DeployableComponent;;com.netflix.simianarmy.basic.chaos::CodeComponent;com.netflix.simianarmy.basic.chaos;DEPLOYS
:rootProject::DeployableComponent;;com.netflix.simianarmy.basic.conformity::CodeComponent;com.netflix.simianarmy.basic.conformity;DEPLOYS
:rootProject::DeployableComponent;;com.netflix.simianarmy.basic.janitor::CodeComponent;com.netflix.simianarmy.basic.janitor;DEPLOYS
:rootProject::DeployableComponent;;com.netflix.simianarmy.basic::CodeComponent;com.netflix.simianarmy.basic;DEPLOYS
:rootProject::DeployableComponent;;com.netflix.simianarmy.chaos::CodeComponent;com.netflix.simianarmy.chaos;DEPLOYS
:rootProject::DeployableComponent;;com.netflix.simianarmy.client.aws.chaos::CodeComponent;com.netflix.simianarmy.client.aws.chaos;DEPLOYS
:rootProject::DeployableComponent;;com.netflix.simianarmy.client.aws::CodeComponent;com.netflix.simianarmy.client.aws;DEPLOYS
:rootProject::DeployableComponent;;com.netflix.simianarmy.client.edda::CodeComponent;com.netflix.simianarmy.client.edda;DEPLOYS
:rootProject::DeployableComponent;;com.netflix.simianarmy.client.vsphere::CodeComponent;com.netflix.simianarmy.client.vsphere;DEPLOYS
