ID;Length;File;Start line;End line
0;22;src/main/java/com/netflix/simianarmy/aws/janitor/rule/volume/OldDetachedVolumeRule.java;62;91
0;22;src/main/java/com/netflix/simianarmy/aws/janitor/rule/volume/DeleteOnTerminationRule.java;62;91
1;15;src/main/java/com/netflix/simianarmy/aws/janitor/crawler/edda/EddaImageJanitorCrawler.java;408;425
2;14;src/main/java/com/netflix/simianarmy/aws/conformity/rule/CrossZoneLoadBalancing.java;83;106
2;14;src/main/java/com/netflix/simianarmy/aws/conformity/rule/SameZonesInElbAndAsg.java;83;106
3;13;src/main/java/com/netflix/simianarmy/aws/janitor/crawler/LaunchConfigJanitorCrawler.java;54;73
3;13;src/main/java/com/netflix/simianarmy/aws/janitor/crawler/edda/EddaLaunchConfigJanitorCrawler.java;54;73
4;13;src/main/java/com/netflix/simianarmy/aws/janitor/rule/asg/DiscoveryASGInstanceValidator.java;46;62
4;13;src/main/java/com/netflix/simianarmy/aws/janitor/rule/asg/DummyASGInstanceValidator.java;46;62
5;13;src/main/java/com/netflix/simianarmy/aws/conformity/SimpleDBConformityClusterTracker.java;207;220
5;13;src/main/java/com/netflix/simianarmy/aws/janitor/SimpleDBJanitorResourceTracker.java;207;220
6;12;src/main/java/com/netflix/simianarmy/aws/janitor/crawler/edda/EddaASGJanitorCrawler.java;254;268
6;12;src/main/java/com/netflix/simianarmy/aws/janitor/crawler/edda/EddaELBJanitorCrawler.java;254;268
7;12;src/main/java/com/netflix/simianarmy/aws/janitor/RDSJanitorResourceTracker.java;118;129
8;12;src/main/java/com/netflix/simianarmy/aws/janitor/crawler/edda/EddaEBSSnapshotJanitorCrawler.java;64;82
8;12;src/main/java/com/netflix/simianarmy/aws/janitor/crawler/EBSSnapshotJanitorCrawler.java;64;82
9;11;src/main/java/com/netflix/simianarmy/aws/janitor/crawler/EBSVolumeJanitorCrawler.java;50;65
9;11;src/main/java/com/netflix/simianarmy/aws/janitor/crawler/edda/EddaEBSVolumeJanitorCrawler.java;50;65
10;11;src/main/java/com/netflix/simianarmy/aws/janitor/crawler/ELBJanitorCrawler.java;75;90
10;11;src/main/java/com/netflix/simianarmy/aws/janitor/crawler/edda/EddaELBJanitorCrawler.java;75;90
11;11;src/main/java/com/netflix/simianarmy/aws/janitor/crawler/ELBJanitorCrawler.java;157;167
11;11;src/main/java/com/netflix/simianarmy/aws/janitor/crawler/edda/EddaELBJanitorCrawler.java;157;167
12;11;src/main/java/com/netflix/simianarmy/resources/chaos/ChaosMonkeyResource.java;202;213
