System;System element;Type;Depth;Weight;LINES_OF_CODE;DUPLICATION;CODE_BREAKDOWN;CODE_BREAKDOWN Rating;DEPLOYMENT_BREAKDOWN;DEPLOYMENT_BREAKDOWN Rating;INTER_COMPONENT_DUPLICATION;INTER_COMPONENT_DUPLICATION Rating;SHARED_CODE;SHARED_CODE Rating;SHARED_DEPENDENCIES;SHARED_DEPENDENCIES Rating;COMMUNICATION_CENTRALIZATION;COMMUNICATION_CENTRALIZATION Rating;INTERFACE_CENTRALIZATION;INTERFACE_CENTRALIZATION Rating;DATA_STORE_ENCAPSULATION;DATA_STORE_ENCAPSULATION Rating;COMPONENT_COHESION;COMPONENT_COHESION Rating;USAGE_COHESION;USAGE_COHESION Rating;INCOMING_DEPENDENCIES;INCOMING_DEPENDENCIES Rating;OUTGOING_DEPENDENCIES;OUTGOING_DEPENDENCIES Rating;COMMUNICATION_COMPLEXITY;COMMUNICATION_COMPLEXITY Rating;STATELESSNESS;STATELESSNESS Rating;ASYNCHRONOUS_COMMUNICATION;ASYNCHRONOUS_COMMUNICATION Rating;COMMUNICATION_BOTTLENECKS;COMMUNICATION_BOTTLENECKS Rating;DATA_STORE_SCALABILITY;DATA_STORE_SCALABILITY Rating;TECHNOLOGY_COHESION;TECHNOLOGY_COHESION Rating;CBA Rating;SOA Rating;CLOUD_NATIVENESS Rating;ARCHITECTURE_MAINTAINABILITY Rating;ID;Parent ID
opensource-simianarmy;opensource-simianarmy;SystemLevel;;12652.0;12652.0;8.8;12652.0;2.5;12547.0;3.1;3.7;4.4;;;;;3.8;0.9;;;6.0;3.8;;;;;478.0;2.9;491.0;2.5;0.1;3.6;0.0;5.5;;;;;1.0;;;;2.9;3.1;5.5;3.8;d1f65326-f56e-4c74-bd4c-7d784d545971;d1f65326-f56e-4c74-bd4c-7d784d545971
opensource-simianarmy;REMAINDER;CodeComponent;1L;105.0;105.0;0.0;105.0;4.1;;;0.0;5.5;;;;;;;;;;;;;;;0.0;5.5;0.0;5.5;;;;;;;;;;;;;;;;;fe1e800d-9bc0-4b4b-ac3c-7c4071bc57bd;fe1e800d-9bc0-4b4b-ac3c-7c4071bc57bd
opensource-simianarmy;com.netflix.simianarmy;CodeComponent;1L;426.0;426.0;0.0;426.0;2.4;;;0.0;5.5;;;;;;;;;;;;;;;192.0;1.1;0.0;5.5;;;;;;;;;;;;;;;;;58409052-ef3b-47c0-9be5-f7cb87d4480d;9b7c3941-44e1-495e-916b-63793d8b8abb 58409052-ef3b-47c0-9be5-f7cb87d4480d
opensource-simianarmy;com.netflix.simianarmy.aws;CodeComponent;1L;880.0;880.0;2.3;880.0;2.2;;;0.9;4.3;;;;;8.3;2.4;;;2.0;3.8;;;;;50.0;1.6;17.0;2.4;;;;;;;;;;;;;;;;;1853aeb0-45c9-42a8-91e2-2efc885e1607;9b7c3941-44e1-495e-916b-63793d8b8abb 1853aeb0-45c9-42a8-91e2-2efc885e1607
opensource-simianarmy;com.netflix.simianarmy.aws.conformity;CodeComponent;1L;421.0;421.0;29.2;421.0;2.4;;;12.6;2.5;;;;;0.0;0.5;;;2.0;3.8;;;;;2.0;3.8;12.0;2.8;;;;;;;;;;;;;;;;;76c06c1c-db1c-486a-ac75-7a938da0af67;9b7c3941-44e1-495e-916b-63793d8b8abb 76c06c1c-db1c-486a-ac75-7a938da0af67
opensource-simianarmy;com.netflix.simianarmy.aws.conformity.crawler;CodeComponent;1L;129.0;129.0;0.0;129.0;3.8;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;1.0;4.1;5.0;3.6;;;;;;;;;;;;;;;;;559e3ffd-bc8d-469e-ba71-2d267ecddd5a;559e3ffd-bc8d-469e-ba71-2d267ecddd5a 9b7c3941-44e1-495e-916b-63793d8b8abb
opensource-simianarmy;com.netflix.simianarmy.aws.conformity.rule;CodeComponent;1L;657.0;657.0;18.4;657.0;2.3;;;0.0;5.5;;;;;9.6;2.5;;;;;;;;;10.0;2.5;38.0;1.9;;;;;;;;;;;;;;;;;7e1a02c4-ec86-4d2e-8e44-40f070abdee0;9b7c3941-44e1-495e-916b-63793d8b8abb 7e1a02c4-ec86-4d2e-8e44-40f070abdee0
opensource-simianarmy;com.netflix.simianarmy.aws.janitor;CodeComponent;1L;894.0;894.0;20.0;894.0;2.2;;;5.9;3.3;;;;;0.0;0.5;;;2.0;3.8;;;;;5.0;3.2;55.0;1.5;;;;;;;;;;;;;;;;;d97829fb-3d6b-42c5-9c21-743fd5ca801b;9b7c3941-44e1-495e-916b-63793d8b8abb d97829fb-3d6b-42c5-9c21-743fd5ca801b
opensource-simianarmy;com.netflix.simianarmy.aws.janitor.crawler;CodeComponent;1L;582.0;582.0;19.4;582.0;2.4;;;19.4;2.3;;;;;0.0;0.5;;;;;;;;;9.0;2.6;38.0;1.9;;;;;;;;;;;;;;;;;fe6abc58-dc88-4649-ab9a-7385788f55b2;9b7c3941-44e1-495e-916b-63793d8b8abb fe6abc58-dc88-4649-ab9a-7385788f55b2
opensource-simianarmy;com.netflix.simianarmy.aws.janitor.crawler.edda;CodeComponent;1L;1805.0;1805.0;15.8;1805.0;1.7;;;6.3;3.3;;;;;0.0;0.5;;;;;;;;;4.0;3.3;51.0;1.6;;;;;;;;;;;;;;;;;32296c4f-363a-49f3-951b-7b2a07591410;9b7c3941-44e1-495e-916b-63793d8b8abb 32296c4f-363a-49f3-951b-7b2a07591410
