Source;Source top level component;Target;Target top level component;Dependency type
DB::DataStore;;(SELECT::DataStoreEntity;;STORES
DB::DataStore;;blocked_users::DataStoreEntity;;STORES
DB::DataStore;;bot_info::DataStoreEntity;;STORES
DB::DataStore;;bot_keyboard::DataStoreEntity;;STORES
DB::DataStore;;botcache::DataStoreEntity;;STORES
DB::DataStore;;channel_users_v2::DataStoreEntity;;STORES
DB::DataStore;;chat_hints::DataStoreEntity;;STORES
DB::DataStore;;chat_pinned::DataStoreEntity;;STORES
DB::DataStore;;chat_settings::DataStoreEntity;;STORES
DB::DataStore;;chat_settings_v2::DataStoreEntity;;STORES
DB::DataStore;;chats::DataStoreEntity;;STORES
DB::DataStore;;contacts::DataStoreEntity;;STORES
DB::DataStore;;dialogs::DataStoreEntity;;STORES
DB::DataStore;;download_queue::DataStoreEntity;;STORES
DB::DataStore;;enc_chats::DataStoreEntity;;STORES
DB::DataStore;;enc_tasks::DataStoreEntity;;STORES
DB::DataStore;;enc_tasks_v2::DataStoreEntity;;STORES
DB::DataStore;;hashtag_recent_v2::DataStoreEntity;;STORES
DB::DataStore;;media_counts_v2::DataStoreEntity;;STORES
DB::DataStore;;media_holes_v2::DataStoreEntity;;STORES
DB::DataStore;;media_v2::DataStoreEntity;;STORES
DB::DataStore;;messages::DataStoreEntity;;STORES
DB::DataStore;;messages_holes::DataStoreEntity;;STORES
DB::DataStore;;messages_seq::DataStoreEntity;;STORES
DB::DataStore;;params::DataStoreEntity;;STORES
DB::DataStore;;pending_tasks::DataStoreEntity;;STORES
DB::DataStore;;randoms::DataStoreEntity;;STORES
DB::DataStore;;requested_holes::DataStoreEntity;;STORES
DB::DataStore;;search_recent::DataStoreEntity;;STORES
DB::DataStore;;sent_files_v2::DataStoreEntity;;STORES
DB::DataStore;;sqlite_master::DataStoreEntity;;STORES
DB::DataStore;;stickers_featured::DataStoreEntity;;STORES
DB::DataStore;;stickers_v2::DataStoreEntity;;STORES
DB::DataStore;;user_contacts_v6::DataStoreEntity;;STORES
DB::DataStore;;user_phones_v6::DataStoreEntity;;STORES
