ID;Length;File;Start line;End line
0;235;TMessagesProj/jni/boringssl/crypto/bn/asm/x86_64-gcc.c;774;1022
0;235;TMessagesProj/jni/boringssl/crypto/bn/generic.c;774;1022
1;128;TMessagesProj/jni/libwebp/dec/tree.c;39;171
1;128;TMessagesProj/jni/libwebp/enc/tree.c;39;171
2;128;TMessagesProj/jni/libwebp/dec/tree.c;362;494
2;128;TMessagesProj/jni/libwebp/enc/tree.c;362;494
3;120;TMessagesProj/jni/opus/celt/static_modes_fixed.h;105;224
4;110;TMessagesProj/src/main/java/org/telegram/ui/LoginActivity.java;449;593
4;110;TMessagesProj/src/main/java/org/telegram/ui/ChangePhoneActivity.java;449;593
5;102;TMessagesProj/jni/libwebp/dec/tree.c;174;275
5;102;TMessagesProj/jni/libwebp/enc/tree.c;174;275
6;98;TMessagesProj/src/main/java/org/telegram/ui/CancelAccountDeletionActivity.java;662;783
6;98;TMessagesProj/src/main/java/org/telegram/ui/ChangePhoneActivity.java;662;783
7;95;TMessagesProj/src/main/java/org/telegram/ui/LoginActivity.java;849;969
7;95;TMessagesProj/src/main/java/org/telegram/ui/ChangePhoneActivity.java;849;969
8;90;TMessagesProj/src/main/java/org/telegram/ui/LoginActivity.java;1122;1231
8;90;TMessagesProj/src/main/java/org/telegram/ui/ChangePhoneActivity.java;1122;1231
9;90;TMessagesProj/src/main/java/org/telegram/ui/LoginActivity.java;287;396
9;90;TMessagesProj/src/main/java/org/telegram/ui/ChangePhoneActivity.java;287;396
10;85;TMessagesProj/src/main/java/org/telegram/ui/PhotoViewer.java;4846;4964
10;85;TMessagesProj/src/main/java/org/telegram/ui/ArticleViewer.java;4846;4964
11;80;TMessagesProj/jni/libwebp/dsp/dec_sse2.c;121;275
11;80;TMessagesProj/jni/libwebp/dsp/enc_sse2.c;121;275
12;79;TMessagesProj/src/main/java/org/telegram/ui/CancelAccountDeletionActivity.java;686;783
12;79;TMessagesProj/src/main/java/org/telegram/ui/LoginActivity.java;686;783
13;78;TMessagesProj/jni/opus/silk/fixed/x86/burg_modified_FIX_sse.c;258;375
13;78;TMessagesProj/jni/opus/silk/fixed/burg_modified_FIX.c;258;375
14;78;TMessagesProj/src/main/java/org/telegram/ui/NewContactActivity.java;372;469
14;78;TMessagesProj/src/main/java/org/telegram/ui/ChangePhoneActivity.java;372;469
15;77;TMessagesProj/src/main/java/org/telegram/ui/PhotoViewer.java;2173;2275
15;77;TMessagesProj/src/main/java/org/telegram/ui/VideoEditorActivity.java;2173;2275
16;76;TMessagesProj/src/main/java/org/telegram/ui/PhotoViewer.java;5539;5639
16;76;TMessagesProj/src/main/java/org/telegram/ui/VideoEditorActivity.java;5539;5639
17;73;TMessagesProj/jni/libwebp/dsp/dec_clip_tables.c;67;139
18;72;TMessagesProj/jni/libwebp/dsp/dec_clip_tables.c;163;234
19;71;TMessagesProj/jni/opus/celt/static_modes_float.h;345;433
19;71;TMessagesProj/jni/opus/celt/static_modes_fixed.h;345;433
20;64;TMessagesProj/src/main/java/org/telegram/ui/PhotoPickerActivity.java;165;257
20;64;TMessagesProj/src/main/java/org/telegram/ui/Adapters/BaseLocationAdapter.java;165;257
21;63;TMessagesProj/jni/libwebp/enc/cost.c;150;212
22;61;TMessagesProj/src/main/java/org/telegram/ui/PhotoViewer.java;6240;6322
22;61;TMessagesProj/src/main/java/org/telegram/ui/ArticleViewer.java;6240;6322
23;59;TMessagesProj/jni/opus/celt/static_modes_float.h;166;224
24;59;TMessagesProj/jni/opus/celt/static_modes_float.h;106;164
25;57;TMessagesProj/src/main/java/org/telegram/ui/LoginActivity.java;1051;1120
25;57;TMessagesProj/src/main/java/org/telegram/ui/ChangePhoneActivity.java;1051;1120
26;57;TMessagesProj/src/main/java/org/telegram/ui/ChannelCreateActivity.java;732;799
26;57;TMessagesProj/src/main/java/org/telegram/ui/ChannelEditTypeActivity.java;732;799
27;56;TMessagesProj/src/main/java/org/telegram/ui/NewContactActivity.java;472;548
27;56;TMessagesProj/src/main/java/org/telegram/ui/LoginActivity.java;472;548
27;56;TMessagesProj/src/main/java/org/telegram/ui/ChangePhoneActivity.java;472;548
28;56;TMessagesProj/src/main/java/org/telegram/ui/CancelAccountDeletionActivity.java;493;566
28;56;TMessagesProj/src/main/java/org/telegram/ui/LoginActivity.java;493;566
28;56;TMessagesProj/src/main/java/org/telegram/ui/ChangePhoneActivity.java;493;566
29;56;TMessagesProj/src/main/java/org/telegram/ui/ChannelCreateActivity.java;488;562
29;56;TMessagesProj/src/main/java/org/telegram/ui/ChannelEditTypeActivity.java;488;562
