System;System element;Type;Depth;Weight;LINES_OF_CODE;DUPLICATION;CODE_BREAKDOWN;CODE_BREAKDOWN Rating;DEPLOYMENT_BREAKDOWN;DEPLOYMENT_BREAKDOWN Rating;INTER_COMPONENT_DUPLICATION;INTER_COMPONENT_DUPLICATION Rating;SHARED_CODE;SHARED_CODE Rating;SHARED_DEPENDENCIES;SHARED_DEPENDENCIES Rating;COMMUNICATION_CENTRALIZATION;COMMUNICATION_CENTRALIZATION Rating;INTERFACE_CENTRALIZATION;INTERFACE_CENTRALIZATION Rating;DATA_STORE_ENCAPSULATION;DATA_STORE_ENCAPSULATION Rating;COMPONENT_COHESION;COMPONENT_COHESION Rating;USAGE_COHESION;USAGE_COHESION Rating;INCOMING_DEPENDENCIES;INCOMING_DEPENDENCIES Rating;OUTGOING_DEPENDENCIES;OUTGOING_DEPENDENCIES Rating;COMMUNICATION_COMPLEXITY;COMMUNICATION_COMPLEXITY Rating;STATELESSNESS;STATELESSNESS Rating;ASYNCHRONOUS_COMMUNICATION;ASYNCHRONOUS_COMMUNICATION Rating;COMMUNICATION_BOTTLENECKS;COMMUNICATION_BOTTLENECKS Rating;DATA_STORE_SCALABILITY;DATA_STORE_SCALABILITY Rating;TECHNOLOGY_COHESION;TECHNOLOGY_COHESION Rating;CBA Rating;SOA Rating;CLOUD_NATIVENESS Rating;ARCHITECTURE_MAINTAINABILITY Rating;ID;Parent ID
opensource-telegram;opensource-telegram;SystemLevel;;436511.0;436511.0;12.1;164948.0;0.9;;;5.2;3.1;;;;;95.0;2.0;;;6.0;3.2;1.0;4.3;;;0.0;3.4;299.0;1.4;0.0;5.5;;;;;;;;;;;3.0;;;3.0;08b636be-2cfd-42a8-acec-3316e97de4b8;08b636be-2cfd-42a8-acec-3316e97de4b8
opensource-telegram;TMessagesProj;CodeComponent;1;436511.0;436511.0;12.1;164948.0;0.5;;;5.2;3.4;;;;;95.0;5.3;;;6.0;3.2;1.0;4.3;;;0.0;5.5;299.0;0.5;;;;;;;;;;;;;;;;;797e6f26-2f84-4204-a312-0bbfdb7d0c20;797e6f26-2f84-4204-a312-0bbfdb7d0c20
opensource-telegram;com.android.internal.telephony;CodeComponent;2L;6.0;6.0;0.0;6.0;5.5;;;0.0;5.5;;;;;;;;;;;;;;;1.0;4.1;0.0;5.5;;;;;;;;;;;;;;;;;7ed4992f-99a5-474f-8fc0-ac71e780f4f2;7ed4992f-99a5-474f-8fc0-ac71e780f4f2 797e6f26-2f84-4204-a312-0bbfdb7d0c20
opensource-telegram;org.telegram;CodeComponent;2L;294.0;294.0;0.0;294.0;2.9;;;0.0;5.5;;;;;6.5;2.2;;;6.0;3.2;;;;;0.0;5.5;7.0;3.3;;;;;;;;;;;;;;;;;55383d61-05a6-4595-91b5-e8d734471d86;797e6f26-2f84-4204-a312-0bbfdb7d0c20 55383d61-05a6-4595-91b5-e8d734471d86
opensource-telegram;org.telegram;CodeComponent;2L;613.0;613.0;7.5;613.0;2.3;;;3.8;3.7;;;;;42.7;3.8;;;;;;;;;0.0;5.5;2.0;4.1;;;;;;;;;;;;;;;;;967a2c5b-0608-4826-9414-d3ac7cd8dc94;797e6f26-2f84-4204-a312-0bbfdb7d0c20 967a2c5b-0608-4826-9414-d3ac7cd8dc94
opensource-telegram;org.telegram.messenger;CodeComponent;2L;42052.0;42052.0;9.3;42052.0;0.5;;;5.4;3.4;;;;;8.2;2.4;;;6.0;3.2;;;;;1318.0;0.5;339.0;0.5;;;;;;;;;;;;;;;;;1b7fd993-82b4-4175-a2db-1547aec7aa5d;797e6f26-2f84-4204-a312-0bbfdb7d0c20 1b7fd993-82b4-4175-a2db-1547aec7aa5d
opensource-telegram;org.telegram.messenger.audioinfo;CodeComponent;2L;112.0;112.0;0.0;112.0;4.0;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;9.0;2.6;2.0;4.1;;;;;;;;;;;;;;;;;2aa0a0ca-d4ce-4ebb-a08c-71e9df24afd9;2aa0a0ca-d4ce-4ebb-a08c-71e9df24afd9 797e6f26-2f84-4204-a312-0bbfdb7d0c20
opensource-telegram;org.telegram.messenger.audioinfo.m4a;CodeComponent;2L;479.0;479.0;4.0;479.0;2.4;;;4.0;3.6;;;;;0.0;0.5;;;;;;;;;1.0;4.1;6.0;3.5;;;;;;;;;;;;;;;;;bda1077f-484e-43f9-a733-a99a877a0d9d;bda1077f-484e-43f9-a733-a99a877a0d9d 797e6f26-2f84-4204-a312-0bbfdb7d0c20
opensource-telegram;org.telegram.messenger.audioinfo.mp3;CodeComponent;2L;1542.0;1542.0;3.0;1542.0;1.9;;;2.1;4.0;;;;;38.7;3.7;;;;;;;;;2.0;3.8;7.0;3.3;;;;;;;;;;;;;;;;;61788266-d1fc-4258-84f4-9370f3d02692;797e6f26-2f84-4204-a312-0bbfdb7d0c20 61788266-d1fc-4258-84f4-9370f3d02692
opensource-telegram;org.telegram.messenger.audioinfo.util;CodeComponent;2L;90.0;90.0;0.0;90.0;4.2;;;0.0;5.5;;;;;;;;;;;;;;;8.0;2.7;0.0;5.5;;;;;;;;;;;;;;;;;4777a037-675e-44d9-8ef0-b029cd591f6c;797e6f26-2f84-4204-a312-0bbfdb7d0c20 4777a037-675e-44d9-8ef0-b029cd591f6c
