Source;Source top level component;Target;Target top level component;Dependency type
DB::DataStore;;history::DataStoreEntity;;STORES
DB::DataStore;;the::DataStoreEntity;;STORES
REMAINDER::CodeComponent;REMAINDER;.github/classifier.yml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;.github/commands.yml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;.github/copycat.yml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;.github/insiders.yml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;.github/locker.yml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;.github/needs_more_info.yml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;.github/new_release.yml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;appveyor.yml;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/bat/package.json;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/clojure/package.json;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/coffeescript/package.json;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/configuration-editing/package.json;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/configuration-editing/src/extension.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/configuration-editing/src/settingsDocumentHelper.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/configuration-editing/src/typings/ref.d.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/cpp/package.json;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/csharp/package.json;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/css/client/src/cssMain.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/css/client/src/typings/ref.d.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/css/package.json;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/css/server/package.json;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/css/server/src/cssServerMain.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/css/server/src/languageModelCache.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/css/server/src/utils/errors.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/diff/package.json;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/docker/package.json;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/package.json;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/src/abbreviationActions.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/src/balance.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/src/bufferStream.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/src/defaultCompletionProvider.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/src/editPoint.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/src/evaluateMathExpression.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/src/extension.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/src/imageSizeHelper.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/src/incrementDecrement.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/src/locateFile.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/src/matchTag.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/src/mergeLines.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/src/reflectCssValue.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/src/removeTag.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/src/selectItem.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/src/selectItemHTML.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/src/selectItemStylesheet.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/src/splitJoinTag.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/src/toggleComment.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/src/typings/EmmetNode.d.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/src/typings/refs.d.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/src/updateImageSize.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/src/updateTag.ts;REMAINDER;CONTAINS
REMAINDER::CodeComponent;REMAINDER;extensions/emmet/src/util.ts;REMAINDER;CONTAINS
