ID;Length;File;Start line;End line
0;205;src/vs/base/browser/ui/octiconLabel/octicons/octicons.less;10;220
0;205;src/vs/base/browser/ui/octiconLabel/octicons/octicons.css;10;220
1;113;src/vs/monaco.d.ts;47;215
1;113;src/vs/editor/common/standalone/standaloneBase.ts;47;215
2;113;src/vs/editor/common/standalone/standaloneBase.ts;51;220
2;113;src/vs/base/common/keyCodes.ts;51;220
3;112;src/vs/monaco.d.ts;13;188
3;112;src/vs/base/common/keyCodes.ts;13;188
4;83;extensions/grunt/src/main.ts;162;291
4;83;extensions/jake/src/main.ts;162;291
4;83;extensions/gulp/src/main.ts;162;291
5;66;src/vs/css.build.js;23;94
5;66;src/vs/css.js;23;94
6;57;extensions/css/server/src/languageModelCache.ts;5;81
6;57;extensions/html/server/src/languageModelCache.ts;5;81
7;56;src/vs/workbench/parts/update/electron-browser/media/markdown.css;6;91
7;56;src/vs/workbench/parts/extensions/browser/media/markdown.css;6;91
8;48;extensions/json/server/src/languageModelCache.ts;19;81
8;48;extensions/css/server/src/languageModelCache.ts;19;81
8;48;extensions/html/server/src/languageModelCache.ts;19;81
9;46;src/vs/editor/common/config/editorOptions.ts;1196;1333
9;46;src/vs/monaco.d.ts;1196;1333
10;37;src/vs/base/common/hash.ts;5;58
10;37;extensions/json/client/src/utils/hash.ts;5;58
11;37;src/vs/workbench/parts/update/electron-browser/media/markdown.css;144;208
11;37;src/vs/workbench/parts/extensions/browser/media/markdown.css;144;208
12;36;src/vs/editor/standalone/browser/accessibilityHelp/accessibilityHelp.ts;134;188
12;36;src/vs/workbench/parts/codeEditor/electron-browser/accessibility.ts;134;188
13;34;src/vs/workbench/parts/codeEditor/electron-browser/textMate/inspectTMScopes.ts;291;335
13;34;src/vs/editor/standalone/browser/inspectTokens/inspectTokens.ts;291;335
14;34;extensions/grunt/src/main.ts;5;60
14;34;extensions/gulp/src/main.ts;5;60
15;33;src/vs/editor/common/config/editorOptions.ts;769;803
15;33;src/vs/monaco.d.ts;769;803
16;32;extensions/grunt/src/main.ts;5;57
16;32;extensions/jake/src/main.ts;5;57
16;32;extensions/gulp/src/main.ts;5;57
17;32;src/vs/monaco.d.ts;1334;1500
17;32;src/vs/editor/common/editorCommon.ts;1334;1500
18;30;src/vs/editor/browser/controller/pointerHandler.ts;62;106
19;29;src/vs/editor/common/config/editorOptions.ts;480;592
19;29;src/vs/monaco.d.ts;480;592
20;29;src/vs/workbench/parts/quickopen/browser/gotoLineHandler.ts;261;301
20;29;src/vs/workbench/parts/quickopen/browser/gotoSymbolHandler.ts;261;301
21;28;src/vs/base/common/winjs.base.d.ts;43;80
21;28;src/vs/monaco.d.ts;43;80
22;28;extensions/typescript/src/utils/electronForkStart.ts;136;185
22;28;src/vs/base/node/stdForkStart.js;136;185
23;27;src/vs/editor/common/modes.ts;746;772
23;27;src/vs/workbench/api/node/extHostTypes.ts;746;772
24;25;src/vs/monaco.d.ts;2182;2267
24;25;src/vs/editor/common/model/textModelEvents.ts;2182;2267
25;24;src/vs/base/common/json.ts;652;675
25;24;src/vs/platform/configuration/common/configurationModels.ts;652;675
26;24;src/vs/editor/browser/widget/diffEditorWidget.ts;1677;1704
27;23;src/vs/workbench/parts/update/electron-browser/media/markdown.css;11;43
27;23;src/vs/workbench/parts/extensions/browser/media/markdown.css;11;43
27;23;extensions/markdown/media/markdown.css;11;43
28;23;src/vs/workbench/parts/update/electron-browser/media/markdown.css;172;208
28;23;src/vs/workbench/parts/extensions/browser/media/markdown.css;172;208
28;23;extensions/markdown/media/markdown.css;172;208
29;23;src/vs/workbench/parts/update/electron-browser/media/markdown.css;46;80
29;23;src/vs/workbench/parts/extensions/browser/media/markdown.css;46;80
29;23;extensions/markdown/media/markdown.css;46;80
30;23;src/vs/workbench/parts/tasks/electron-browser/terminalTaskSystem.ts;376;403
30;23;src/vs/workbench/parts/tasks/node/processTaskSystem.ts;376;403
31;23;src/vs/platform/keybinding/common/usLayoutResolvedKeybinding.ts;141;178
31;23;src/vs/workbench/services/keybinding/common/windowsKeyboardMapper.ts;141;178
32;23;src/vs/editor/common/config/editorOptions.ts;254;375
32;23;src/vs/monaco.d.ts;254;375
33;23;src/vs/workbench/parts/files/common/editors/fileEditorInput.ts;112;144
33;23;src/vs/workbench/common/editor/untitledEditorInput.ts;112;144
34;22;extensions/css/server/src/utils/errors.ts;5;31
34;22;extensions/json/server/src/utils/errors.ts;5;31
34;22;extensions/html/server/src/utils/errors.ts;5;31
35;22;src/vs/workbench/parts/codeEditor/electron-browser/textMate/inspectTMScopes.ts;139;167
35;22;src/vs/editor/standalone/browser/inspectTokens/inspectTokens.ts;139;167
36;21;extensions/typescript/src/utils/electronForkStart.ts;65;99
36;21;src/vs/base/node/stdForkStart.js;65;99
37;21;src/vs/editor/common/config/editorOptions.ts;805;825
37;21;src/vs/monaco.d.ts;805;825
38;21;src/vs/monaco.d.ts;1151;1203
38;21;src/vs/editor/common/editorCommon.ts;1151;1203
39;21;src/vs/editor/common/config/editorOptions.ts;141;243
39;21;src/vs/monaco.d.ts;141;243
40;21;src/vs/editor/common/config/editorOptions.ts;718;742
40;21;src/vs/monaco.d.ts;718;742
